symbol,tf,start_d,w1_d,w2_d,w3_d,w4_d,w5_d,start,w1,w2,w3,w4,w5,retr2,retr4,ext3,trunc,gain,thr,d618
APEUSDT,1d,2022-11-17,2022-12-12,2022-12-19,2023-01-27,2023-02-13,2023-02-20,2.876,4.394,3.41,6.279,4.995,5.865,0.648,0.448,1.89,True,2.04,0.1,0.030000000000000027
SOLUSDT,1d,2024-09-06,2024-09-29,2024-10-03,2024-11-22,2024-12-22,2025-01-06,124.941,158.412,136.738,257.066,180.468,218.103,0.648,0.637,3.59,True,1.75,0.1,0.030000000000000027
RSRUSDT,1d,2024-11-04,2024-11-11,2024-11-14,2024-12-03,2024-12-19,2025-01-04,0.005469,0.008341,0.006655,0.025873,0.01056,0.017101,0.587,0.797,6.69,True,3.13,0.13,0.031000000000000028
WLDUSDT,1d,2023-09-17,2023-09-27,2023-10-19,2023-12-17,2024-01-09,2024-01-13,1.2625,1.7979,1.4505,4.2029,2.5002,2.8648,0.649,0.619,5.14,True,2.27,0.13,0.031000000000000028
TRIAUSDT,1d,2026-02-22,2026-02-25,2026-03-05,2026-03-22,2026-03-27,2026-03-29,0.015191,0.022743,0.017839,0.047493,0.026375,0.033188,0.649,0.712,3.93,True,2.18,0.1,0.031000000000000028
REDUSDT,1d,2025-06-22,2025-07-02,2025-07-04,2025-07-26,2025-08-02,2025-08-09,0.2505,0.3077,0.2706,0.3924,0.3199,0.4507,0.649,0.595,2.13,False,1.8,0.1,0.031000000000000028
LTCUSDT,1d,2020-03-12,2020-08-17,2020-09-23,2021-05-09,2021-05-23,2021-05-26,29.88,67.34,42.99,388.34,142.35,198.85,0.65,0.712,9.22,True,6.65,0.13,0.03200000000000003
WLDUSDT,1w,2023-09-04,2023-12-11,2024-01-29,2024-03-04,2024-04-22,2024-05-06,1.0914,4.2029,2.1805,9.5587,4.7008,5.9454,0.65,0.658,2.37,True,5.45,0.1,0.03200000000000003
IOTAUSDT,1d,2024-11-17,2024-11-18,2024-11-20,2024-12-04,2024-12-10,2024-12-13,0.1548,0.1882,0.1665,0.4957,0.3772,0.4212,0.65,0.36,9.86,True,2.72,0.1,0.03200000000000003
ARKMUSDT,1d,2024-10-09,2024-10-15,2024-10-25,2024-12-06,2024-12-10,2024-12-13,1.3167,1.8293,1.496,2.5256,1.8766,2.0909,0.65,0.63,2.01,True,1.59,0.1,0.03200000000000003
PENGUUSDT,1d,2025-04-08,2025-04-12,2025-04-15,2025-05-10,2025-05-17,2025-05-22,0.00386,0.005444,0.004517,0.015128,0.012025,0.014613,0.585,0.292,6.7,True,3.79,0.1,0.03300000000000003
ZKUSDT,1d,2024-09-03,2024-09-13,2024-09-16,2024-09-27,2024-10-03,2024-10-20,0.0984,0.1189,0.1069,0.1508,0.119,0.1489,0.585,0.724,2.14,True,1.51,0.1,0.03300000000000003
COMPUSDT,1w,2023-09-04,2023-09-25,2023-10-09,2023-12-25,2024-01-01,2024-02-26,37.06,47.92,40.84,57.37,48.06,89.46,0.652,0.563,1.52,False,2.41,0.1,0.03400000000000003
BASUSDT,1d,2026-04-29,2026-05-04,2026-05-07,2026-05-14,2026-05-18,2026-05-29,0.01367,0.018423,0.015323,0.026013,0.019861,0.031432,0.652,0.575,2.25,False,2.3,0.1,0.03400000000000003
JCTUSDT,1d,2026-03-08,2026-03-10,2026-03-11,2026-03-22,2026-03-25,2026-03-27,0.001528,0.002033,0.001738,0.004147,0.002742,0.003122,0.584,0.583,4.77,True,2.04,0.1,0.03400000000000003
TOSHIUSDT,1d,2025-09-04,2025-09-13,2025-09-15,2025-09-17,2025-09-25,2025-10-08,0.0005586,0.0006832,0.000602,0.0009131,0.0007164,0.0010497,0.652,0.632,2.5,False,1.88,0.1,0.03400000000000003
LUNCUSDT,1d,2024-09-01,2024-09-29,2024-10-03,2024-12-06,2024-12-19,2025-01-05,7.383e-05,9.906e-05,8.26e-05,0.00017008,0.00010296,0.0001213,0.652,0.767,3.47,True,1.64,0.13,0.03400000000000003
API3USDT,1d,2023-11-21,2023-12-31,2024-01-09,2024-01-20,2024-01-25,2024-02-14,1.283,1.998,1.531,2.687,2.011,4.621,0.653,0.585,1.62,False,3.6,0.1,0.03500000000000003
COWUSDT,1d,2024-11-20,2024-12-08,2024-12-09,2024-12-15,2024-12-19,2024-12-25,0.3319,0.5178,0.4095,0.9602,0.6525,1.1615,0.583,0.559,2.96,False,3.5,0.1,0.03500000000000003
PIPPINUSDT,1d,2025-04-15,2025-04-28,2025-05-07,2025-05-12,2025-05-17,2025-05-22,0.01074,0.02445,0.01646,0.0392,0.02449,0.03205,0.583,0.647,1.66,True,2.98,0.1,0.03500000000000003
ATHUSDT,1d,2025-04-17,2025-05-02,2025-05-04,2025-05-27,2025-06-02,2025-06-07,0.02654,0.03414,0.02918,0.05314,0.04652,0.05121,0.653,0.276,3.15,True,1.93,0.1,0.03500000000000003
XRPUSDT,1d,2020-12-30,2021-01-09,2021-01-27,2021-02-13,2021-02-28,2021-04-14,0.2112,0.3257,0.2508,0.6353,0.4157,1.837,0.654,0.571,3.36,False,8.7,0.13,0.03600000000000003
XAIUSDT,1d,2025-04-16,2025-04-26,2025-05-06,2025-05-13,2025-05-17,2025-05-22,0.04024,0.06597,0.05099,0.09735,0.07545,0.08952,0.582,0.472,1.8,True,2.22,0.1,0.03600000000000003
MASKUSDT,1d,2023-01-18,2023-01-22,2023-01-24,2023-02-04,2023-02-13,2023-02-20,2.631,3.296,2.909,5.029,3.391,4.158,0.582,0.773,3.19,True,1.58,0.1,0.03600000000000003
SUPERUSDT,1d,2024-08-16,2024-08-24,2024-09-07,2024-12-15,2024-12-22,2024-12-24,0.5245,0.7647,0.6074,2.1674,1.4746,1.745,0.655,0.444,6.49,True,3.33,0.1,0.03700000000000003
BTCUSDT,1d,2020-05-11,2020-08-17,2020-09-08,2021-04-13,2021-04-25,2021-05-08,8557.5,12298.5,10129.5,63651.0,49037.0,58923.5,0.58,0.273,14.31,True,6.89,0.13,0.038000000000000034
OPUSDT,1d,2025-06-22,2025-06-29,2025-07-01,2025-07-21,2025-08-02,2025-08-13,0.4857,0.6053,0.5267,0.8076,0.6313,0.8731,0.657,0.628,2.35,False,1.8,0.1,0.039000000000000035
1MBABYDOGEUSDT,1d,2025-04-06,2025-04-26,2025-05-04,2025-05-13,2025-05-17,2025-05-22,0.0010479,0.0014592,0.0012212,0.002006,0.0015924,0.0018576,0.579,0.527,1.91,True,1.77,0.1,0.039000000000000035
GMXUSDT,1d,2023-09-10,2023-10-01,2023-10-12,2023-11-11,2023-11-21,2023-12-10,30.56,42.41,34.62,54.83,47.7,54.22,0.657,0.353,1.71,True,1.77,0.1,0.039000000000000035
TONUSDT,1d,2026-03-01,2026-04-11,2026-04-19,2026-05-07,2026-05-24,2026-06-01,1.1994,1.4533,1.2865,2.7123,1.7622,2.094,0.657,0.666,5.62,True,1.75,0.1,0.039000000000000035
OPENUSDT,1d,2026-03-06,2026-03-26,2026-04-02,2026-04-29,2026-05-04,2026-05-08,0.1419,0.1749,0.1558,0.2756,0.1976,0.2312,0.579,0.651,3.63,True,1.63,0.1,0.039000000000000035
PEOPLEUSDT,1d,2023-09-11,2023-11-12,2023-11-21,2024-01-07,2024-01-09,2024-01-11,0.00877,0.01424,0.01108,0.04223,0.03207,0.04004,0.578,0.326,5.69,True,4.57,0.2,0.040000000000000036
CELOUSDT,1d,2023-09-11,2023-11-04,2023-11-21,2023-12-28,2024-01-07,2024-01-13,0.402,0.596,0.484,0.866,0.663,0.815,0.577,0.531,1.97,True,2.03,0.13,0.041000000000000036
ORDIUSDT,1d,2025-04-17,2025-04-26,2025-05-07,2025-05-13,2025-05-17,2025-05-22,5.948,8.806,6.923,12.379,9.312,11.284,0.659,0.562,1.91,True,1.9,0.1,0.041000000000000036
UNIUSDT,1d,2022-07-01,2022-07-09,2022-07-12,2022-07-28,2022-08-02,2022-08-10,4.855,6.452,5.53,9.277,8.243,9.213,0.577,0.276,2.35,True,1.9,0.1,0.041000000000000036
ETHUSDT,1d,2019-08-10,2020-09-01,2020-09-23,2021-05-11,2021-05-23,2021-05-26,206.39,475.69,320.63,4176.59,2094.95,2884.02,0.576,0.54,14.32,True,13.97,0.2,0.04200000000000004
JASMYUSDT,1d,2023-10-19,2023-12-25,2024-01-23,2024-06-06,2024-07-05,2024-07-27,0.003004,0.007261,0.004807,0.040791,0.021285,0.031955,0.576,0.542,8.45,True,10.64,0.16,0.04200000000000004
