symbol,tf,start_d,w1_d,w2_d,w3_d,w4_d,w5_d,start,w1,w2,w3,w4,w5,retr2,retr4,ext3,trunc,gain,thr,d618
STOUSDT,1w,2025-09-01,2025-09-15,2025-09-22,2025-10-13,2025-12-01,2025-12-08,0.08157,0.09872,0.08835,0.17611,0.112,0.12679,0.605,0.731,5.12,True,1.55,0.1,0.013000000000000012
RUNEUSDT,1w,2023-06-12,2023-06-26,2023-07-24,2024-03-11,2024-04-22,2024-05-20,0.831,1.071,0.926,8.965,5.101,6.694,0.604,0.481,33.5,True,8.06,0.1,0.014000000000000012
AINUSDT,1d,2026-02-08,2026-02-26,2026-03-09,2026-03-18,2026-04-01,2026-04-11,0.02866,0.04695,0.0359,0.09416,0.0544,0.1049,0.604,0.682,3.19,False,3.66,0.1,0.014000000000000012
WIFUSDT,1d,2024-09-01,2024-10-14,2024-11-04,2024-11-13,2024-11-26,2024-12-07,1.3948,2.8277,1.9214,4.1687,3.0139,3.885,0.632,0.514,1.57,True,2.79,0.16,0.014000000000000012
ZROUSDT,1d,2024-11-04,2024-11-11,2024-11-20,2024-12-06,2024-12-09,2024-12-15,3.005,4.067,3.396,7.181,5.888,6.992,0.632,0.342,3.56,True,2.33,0.13,0.014000000000000012
KAIAUSDT,1d,2024-01-07,2024-01-16,2024-01-23,2024-03-03,2024-03-05,2024-03-13,0.1696,0.2261,0.1904,0.319,0.2656,0.3155,0.632,0.415,2.28,True,1.86,0.1,0.014000000000000012
JASMYUSDT,1d,2025-06-22,2025-06-29,2025-07-05,2025-07-22,2025-08-02,2025-08-13,0.010985,0.01379,0.012016,0.020026,0.014367,0.018744,0.632,0.706,2.86,True,1.71,0.1,0.014000000000000012
FILUSDT,1d,2023-01-18,2023-02-01,2023-02-09,2023-02-20,2023-02-28,2023-03-01,4.255,5.688,4.783,8.551,6.488,7.251,0.632,0.548,2.63,True,1.7,0.1,0.014000000000000012
GALAUSDT,1d,2023-10-19,2023-12-25,2024-02-04,2024-03-10,2024-03-19,2024-03-31,0.01268,0.0357,0.02113,0.0828,0.05341,0.06911,0.633,0.477,2.68,True,5.45,0.16,0.015000000000000013
PARTIUSDT,1d,2025-11-20,2025-11-21,2025-11-22,2025-11-24,2025-11-29,2025-12-02,0.0578,0.0829,0.067,0.1363,0.0966,0.1372,0.633,0.573,2.76,False,2.37,0.1,0.015000000000000013
IOSTUSDT,1w,2023-09-04,2023-12-04,2024-01-29,2024-03-04,2024-03-18,2024-03-25,0.006872,0.0101,0.008152,0.012887,0.011166,0.012801,0.603,0.363,1.47,True,1.86,0.1,0.015000000000000013
BCHUSDT,1d,2020-09-23,2020-11-24,2020-12-11,2021-01-10,2021-01-27,2021-02-14,207.92,348.72,259.4,601.78,377.85,723.0,0.634,0.654,2.43,False,3.48,0.25,0.016000000000000014
SSVUSDT,1w,2023-11-13,2023-11-27,2023-12-11,2024-03-18,2024-04-08,2024-04-22,17.23,28.8,21.47,60.38,39.04,52.46,0.634,0.548,3.36,True,3.04,0.1,0.016000000000000014
FORMUSDT,1d,2025-03-19,2025-04-05,2025-04-06,2025-05-27,2025-06-21,2025-08-09,1.7399,2.1743,1.9128,3.0005,2.3424,4.0948,0.602,0.605,2.5,False,2.35,0.1,0.016000000000000014
POPCATUSDT,1w,2024-08-12,2024-08-19,2024-08-26,2024-11-11,2024-11-25,2024-12-02,0.4073,0.7602,0.5362,1.9102,1.3438,1.5198,0.635,0.412,3.89,True,3.73,0.1,0.017000000000000015
DYDXUSDT,1d,2023-06-14,2023-08-12,2023-10-17,2023-11-15,2023-11-21,2023-11-24,1.548,2.228,1.819,3.984,3.021,3.591,0.601,0.445,3.18,True,2.32,0.16,0.017000000000000015
MEMEUSDT,1d,2025-06-22,2025-07-21,2025-08-05,2025-08-22,2025-09-04,2025-09-11,0.001328,0.002152,0.001657,0.004095,0.002423,0.002819,0.601,0.686,2.96,True,2.12,0.16,0.017000000000000015
MOCAUSDT,1d,2025-04-06,2025-04-12,2025-04-16,2025-04-28,2025-05-06,2025-05-14,0.06832,0.08164,0.07318,0.10456,0.08343,0.10734,0.635,0.673,2.36,False,1.57,0.1,0.017000000000000015
NAORISUSDT,1d,2026-02-11,2026-02-20,2026-02-25,2026-05-04,2026-05-05,2026-05-06,0.01991,0.04502,0.02906,0.15878,0.13302,0.14867,0.636,0.199,5.17,True,7.47,0.1,0.018000000000000016
TAOUSDT,1d,2026-02-11,2026-02-16,2026-02-24,2026-03-25,2026-04-02,2026-04-07,145.76,198.6,166.9,346.56,300.18,335.22,0.6,0.258,3.4,True,2.3,0.1,0.018000000000000016
SUNUSDT,1d,2025-06-22,2025-08-22,2025-09-06,2025-09-20,2025-09-21,2025-09-22,0.016077,0.024895,0.019604,0.032686,0.027612,0.032325,0.6,0.388,1.48,True,2.01,0.1,0.018000000000000016
ARBUSDT,1d,2025-04-16,2025-04-26,2025-05-06,2025-05-10,2025-05-17,2025-05-22,0.2787,0.3525,0.3082,0.4845,0.3759,0.429,0.6,0.616,2.39,True,1.54,0.1,0.018000000000000016
DOTUSDT,1d,2020-10-06,2020-11-23,2020-12-11,2021-05-14,2021-05-23,2021-05-26,3.742,5.917,4.614,48.06,17.875,24.521,0.599,0.695,19.98,True,6.55,0.16,0.019000000000000017
COMPUSDT,1d,2024-11-03,2024-11-11,2024-11-14,2024-12-04,2024-12-10,2024-12-12,40.65,53.73,45.89,120.59,95.54,112.49,0.599,0.335,5.71,True,2.77,0.1,0.019000000000000017
MAVUSDT,1d,2025-04-16,2025-04-30,2025-05-06,2025-05-13,2025-05-19,2025-05-22,0.04662,0.06508,0.05333,0.08152,0.06625,0.07527,0.637,0.542,1.53,True,1.61,0.1,0.019000000000000017
RSRUSDT,1d,2025-04-08,2025-04-12,2025-04-16,2025-05-10,2025-05-17,2025-05-22,0.006149,0.007794,0.006809,0.010617,0.008522,0.009722,0.599,0.55,2.31,True,1.58,0.1,0.019000000000000017
GRIFFAINUSDT,1d,2025-07-01,2025-07-02,2025-07-08,2025-07-10,2025-07-19,2025-07-21,0.03729,0.04615,0.04084,0.05746,0.04852,0.05737,0.599,0.538,1.88,True,1.54,0.1,0.019000000000000017
PENDLEUSDT,1w,2023-08-14,2023-09-25,2023-10-09,2024-04-08,2024-05-06,2024-05-20,0.5548,0.7638,0.6389,6.8247,4.2061,6.7689,0.598,0.423,29.6,True,12.2,0.1,0.020000000000000018
CRVUSDT,1d,2022-06-18,2022-06-24,2022-06-30,2022-07-28,2022-08-01,2022-08-05,0.583,0.8418,0.687,1.5426,1.3048,1.4423,0.598,0.278,3.31,True,2.47,0.1,0.020000000000000018
EULUSDT,1d,2026-04-03,2026-04-10,2026-04-12,2026-04-17,2026-04-19,2026-04-23,0.887,1.086,0.959,1.577,1.192,1.654,0.638,0.623,3.11,False,1.86,0.1,0.020000000000000018
LQTYUSDT,1d,2025-05-30,2025-06-10,2025-06-17,2025-06-27,2025-07-05,2025-07-10,0.7045,1.1402,0.8795,1.6189,1.1611,1.2818,0.598,0.619,1.7,True,1.82,0.1,0.020000000000000018
ARUSDT,1d,2024-04-17,2024-04-29,2024-05-01,2024-05-19,2024-05-28,2024-06-04,24.453,36.123,28.67,48.15,38.089,46.391,0.639,0.516,1.67,True,1.9,0.1,0.02100000000000002
ATOMUSDT,1d,2021-08-26,2021-09-05,2021-09-08,2021-09-19,2021-09-21,2021-09-24,17.944,25.75,20.756,44.297,30.427,42.623,0.64,0.589,3.02,True,2.38,0.1,0.02200000000000002
