Symbol,entry_date,entry_close,bars_held,ret_pct,exit_reason,close_ma_atr,ma60_slope,ma20_slope_atr,dd_from_high,rsi14,vol_dist,Name
000050,2026-01-02,9370,1,-4.375667022411955,STOP,0.2724824986537426,9.19257329924252,1.3597199784598815,5.3204092622509425,61.1358574610245,1.8840826131080992,경방
000050,2026-01-30,9350,10,10.909090909090914,TIMEOUT,1.9910141206675225,7.845325630252101,-1.1617458279845956,0.43645699614890887,70.48458149779736,0.1754360935614492,경방
000050,2026-02-24,10400,3,-1.9230769230769273,STOP,0.31102882835228773,13.59308261277216,1.12404125892621,5.088600899233007,58.64909390444811,2.7016825352375617,경방
000070,2025-09-02,56921,10,7.385674882732207,TIMEOUT,0.6906044072840654,5.877495295599456,-0.4987954368312934,1.1818890384751648,53.91530944625408,1.1953735734774527,삼양홀딩스
000070,2025-11-07,69800,10,0.0,TIMEOUT,0.5977714724833008,4.946424135704784,2.2978364958325943,0.9859904238340131,56.41271976174465,1.6552699396206052,삼양홀딩스
000070,2025-12-22,62200,4,-4.983922829581989,STOP,0.4383561643835616,1.486586677905263,-2.0931506849315067,0.7123287671232876,46.666666666666664,0.5117176336096028,삼양홀딩스
000080,2025-09-12,19450,4,-1.3881748071979394,STOP,1.3893557422969187,-1.2282363701695416,-1.6862745098039216,1.0084033613445378,62.50000000000001,0.9521397278368895,하이트진로
000100,2025-09-02,114000,10,4.649122807017547,TIMEOUT,0.01874414245548266,2.551090177011315,-0.9878163074039362,1.5370196813495782,60.869565217391305,1.4175678644345906,유한양행
000100,2025-09-08,121700,7,-4.519309778142977,STOP,2.2706896551724136,2.8648828621587263,0.13275862068965516,1.0344827586206897,72.83236994219654,0.7853963995772558,유한양행
000100,2025-09-22,123200,3,-4.2207792207792245,STOP,2.0283018867924527,4.005142848599919,1.0226415094339623,0.5660377358490566,70.53571428571429,0.7770604230621888,유한양행
000100,2025-10-02,119900,2,-1.2510425354462007,STOP,0.2356637863315004,4.154420995111573,0.5734485467399842,1.5082482325216024,50.40322580645162,0.54363977848114,유한양행
000100,2025-11-14,125000,3,-7.199999999999996,STOP,1.6914285714285715,-0.14294408197348574,-0.08228571428571428,0.96,59.13621262458472,0.29797753464116095,유한양행
000100,2025-11-20,118700,1,-1.6849199663016012,STOP,0.15550755939524838,0.7271330183846464,0.06479481641468683,2.2678185745140387,50.964187327823694,0.4350903635144433,유한양행
000100,2025-11-26,119400,6,-0.8375209380234505,STOP,0.34450261780104713,0.974113955644307,0.16544502617801046,2.0523560209424083,56.60377358490566,0.6412179470109072,유한양행
000120,2025-09-15,86500,5,-3.583815028901738,STOP,2.0759493670886076,-0.12969179127251645,-0.6772151898734177,0.6329113924050633,65.95744680851064,0.7198833364616873,CJ대한통운
000120,2025-12-02,93400,1,7.601713062098492,T_star,0.6089193825042881,3.0386574767755468,1.8061749571183534,1.234991423670669,42.063492063492056,0.423312209547951,CJ대한통운
000120,2025-12-12,95300,6,-0.41972717733472775,STOP,0.2719594594594595,4.548703490449919,1.3902027027027026,2.195945945945946,55.77889447236181,1.1851527281992909,CJ대한통운
000120,2025-12-17,96000,3,-1.1458333333333348,STOP,0.39065108514190316,4.479084451460135,0.7278797996661102,1.9365609348914858,58.41121495327103,3.405672969262982,CJ대한통운
000120,2026-01-14,99600,10,-0.3012048192771122,TIMEOUT,1.0977961432506886,4.578688493457654,-0.01928374655647383,0.6887052341597796,63.12849162011173,0.9323199749272147,CJ대한통운
000120,2026-01-28,99300,6,10.171198388721049,T_star,0.561624649859944,5.3559145581974565,0.47058823529411764,1.288515406162465,62.85714285714286,1.2473566022214388,CJ대한통운
000150,2025-09-08,596000,10,0.8389261744966348,TIMEOUT,1.414802065404475,4.0283971423884095,-0.4802065404475043,0.5163511187607573,67.66169154228855,1.7363035652243415,두산
000150,2025-10-20,722000,10,40.99722991689752,TIMEOUT,3.585014409221902,-0.4206490013163166,0.29827089337175794,0.2017291066282421,73.91304347826087,0.3220651282643478,두산
000150,2025-11-18,932000,1,-2.682403433476399,STOP,0.012987012987012988,20.53180843459615,2.3896103896103895,2.1645021645021645,46.189735614307935,0.9666248715428265,두산
000150,2026-01-16,828000,10,2.777777777777768,TIMEOUT,0.9257425742574258,7.793341369134212,-1.0272277227722773,0.9405940594059405,52.98245614035089,0.8782953892359888,두산
000150,2026-02-09,885000,2,3.7288135593220417,T_star,0.36970837253057387,-0.5628810159125833,0.9369708372530574,1.3734713076199436,52.68389662027833,1.275934413222636,두산
000150,2026-03-12,1143000,2,-4.81189851268592,STOP,0.8644948064211521,5.9587769854449455,1.0609065155807365,1.4353163361661945,57.566765578635014,0.6078850824397187,두산
000150,2026-03-24,1151000,1,8.60121633362294,T_star,0.32671896631287495,10.097396916736338,0.846792801107522,1.329026303645593,61.691542288557216,0.4998766490842663,두산
000150,2026-04-14,1370000,10,15.547445255474447,TIMEOUT,2.1098958333333333,13.712496358869796,0.5822916666666667,0.3020833333333333,57.12589073634204,0.3629969119933887,두산
000150,2026-06-02,1918000,3,-17.72679874869656,STOP,1.0664788732394366,20.902964378601297,0.7098591549295775,3.2169014084507044,57.667934093789604,0.9829975179983659,두산
000150,2026-06-12,1896000,1,-9.862869198312241,STOP,0.92103948025987,16.899378553484073,0.25037481259370314,2.9635182408795604,58.105147864184005,0.8885026905923491,두산
000155,2025-09-11,364500,6,-4.115226337448563,STOP,1.3154471544715447,-1.6124709665892338,-1.2113821138211383,0.8780487804878049,58.41584158415842,0.4082514072267905,두산우
000155,2026-01-15,512000,9,-2.83203125,STOP,0.9030837004405287,8.506508137338162,-0.801762114537445,0.5286343612334802,57.48502994011976,0.4761373449596112,두산우
000155,2026-04-14,557000,10,12.746858168761221,TIMEOUT,1.6539548022598871,0.4535597821588745,0.015536723163841809,0.7627118644067796,55.820895522388064,0.44468196545591854,두산우
000210,2026-01-26,39350,10,13.850063532401524,TIMEOUT,2.126679462571977,-0.6613813606790344,-0.944337811900192,0.8829174664107485,66.29834254143645,0.36862478458491743,DL
000210,2026-03-23,64700,10,-3.091190108191655,TIMEOUT,4.05919395465995,7.712587880816886,0.3910579345088161,0.6297229219143576,70.19704433497537,0.27320897871605987,DL
000210,2026-04-14,65500,10,7.480916030534357,TIMEOUT,0.7489914836396235,19.192929131338975,1.8041237113402062,0.9502465262214254,61.58730158730159,0.33587257015246796,DL
000210,2026-04-21,63900,6,20.187793427230048,T_star,0.21046511627906977,20.297096556380822,1.6104651162790697,1.6046511627906976,52.189781021897815,0.6602787185861747,DL
000210,2026-05-11,67000,1,-7.910447761194028,STOP,0.12198067632850242,18.820234431727823,0.6980676328502415,2.5845410628019323,53.55029585798817,0.588225498720846,DL
000230,2025-11-06,13440,10,8.333333333333325,TIMEOUT,5.706397306397307,0.8612948743792129,-0.36902356902356903,2.101010101010101,87.31117824773413,0.024925297370067347,일동홀딩스
000230,2025-11-28,13560,1,-4.71976401179941,STOP,0.20355191256830601,17.074028160674967,1.8493852459016393,1.919398907103825,59.60451977401131,0.5484620260127592,일동홀딩스
000230,2025-12-16,14090,1,-3.1227821149751644,STOP,0.3528109783089863,16.017782567694987,0.03497122620628597,2.7268702965914122,52.6525198938992,0.11609829756072639,일동홀딩스
000230,2025-12-19,13650,1,-1.611721611721617,STOP,0.04299065420560748,14.896581112531557,-0.02897196261682243,3.289719626168224,55.439642324888226,0.12324213961049038,일동홀딩스
000240,2025-09-03,23750,10,-1.8947368421052602,STOP,0.6860759493670886,9.111210725783435,-0.4759493670886076,0.759493670886076,49.668874172185426,0.8852398778219231,한국앤컴퍼니
000240,2025-09-18,23650,1,-2.959830866807611,STOP,0.06109324758842444,7.429708038763683,0.6816720257234726,1.2218649517684887,41.17647058823529,0.3086638039909068,한국앤컴퍼니
000240,2025-10-24,23650,7,-2.748414376321351,STOP,0.8051575931232091,-0.10449021656671953,-0.4297994269340974,0.8595988538681948,55.91397849462366,0.6010441092982499,한국앤컴퍼니
000240,2025-11-06,23850,2,16.142557651991616,T_star,0.656084656084656,-1.8442911445867995,0.335978835978836,0.7407407407407407,61.206896551724135,2.0260243222575793,한국앤컴퍼니
000240,2025-12-01,28200,7,-2.4822695035460973,STOP,1.1467391304347827,5.0641071556478865,1.2826086956521738,1.5217391304347827,53.92670157068063,0.5444238451622307,한국앤컴퍼니
000240,2026-01-21,27050,8,-4.436229205175602,STOP,1.259880239520958,3.6773193496256766,-0.4407185628742515,0.8622754491017964,56.71641791044777,0.4946584574423829,한국앤컴퍼니
000240,2026-02-03,26600,5,17.29323308270676,T_star,0.4331491712707182,3.74025974025974,0.34033149171270716,1.4143646408839778,58.51851851851852,1.0585557184150405,한국앤컴퍼니
000240,2026-03-27,26900,1,-7.620817843866168,STOP,0.28615863141524106,-1.227439005955809,-1.7216174183514774,3.7947122861586315,62.19512195121952,0.9048652927247562,한국앤컴퍼니
000240,2026-04-21,24900,9,-2.409638554216864,STOP,0.03292181069958848,-1.07269829594214,-0.5,2.3045267489711936,50.65789473684211,0.4947776802566883,한국앤컴퍼니
000270,2025-10-16,111300,10,4.402515723270439,TIMEOUT,3.829004329004329,1.0749010602433184,-0.8095238095238095,0.3463203463203463,71.36563876651982,0.5296892366059108,기아
000270,2025-11-10,113700,4,2.902374670184704,STOP,0.07679277244494635,3.521240510418359,1.4511575381140598,2.82326369282891,46.31578947368421,0.6171317686477217,기아
000270,2025-12-08,125600,10,-3.5828025477707026,TIMEOUT,3.072891072891073,3.6230301139023244,0.4176904176904177,0.5405405405405406,74.44933920704845,0.07549145599584672,기아
000270,2025-12-24,121000,1,-0.991735537190086,STOP,0.14086814086814087,4.90651350360503,1.2186732186732188,2.0475020475020473,51.741293532338304,1.04439988211699,기아
000270,2026-01-09,133200,10,19.369369369369373,TIMEOUT,2.792682926829268,6.176139349801036,0.7357723577235772,0.10840108401084012,69.83050847457628,0.5877008807817699,기아
000270,2026-02-04,156800,2,-3.125,STOP,0.5975576662143827,10.992973504553682,1.7932157394843962,2.1926729986431477,52.95735900962861,2.666538276598709,기아
000270,2026-02-19,170000,8,-7.8235294117647065,STOP,1.6104252400548698,11.820080806970276,1.360082304526749,0.9602194787379973,67.22338204592901,0.38721587814301733,기아
000270,2026-04-20,157400,4,-2.541296060991105,STOP,0.615606936416185,4.51982283677216,-0.9197976878612717,0.9826589595375722,61.9140625,1.1008441592381586,기아
000270,2026-04-28,155600,2,-2.4421593830334154,STOP,0.26371826371826373,2.173269316186891,-0.26863226863226863,1.506961506961507,45.31250000000001,0.87538399633208,기아
000270,2026-05-06,154600,5,16.106080206985762,T_star,0.02432179607109448,0.9502923976608126,0.2488306828811974,1.9083255378858746,57.94117647058823,1.1240045011059308,기아
000370,2025-09-10,5850,10,-1.1965811965811923,STOP,1.5613577023498695,4.317172948037253,-0.9738903394255874,1.0966057441253263,64.61538461538461,0.39737618737350444,한화손해보험
000370,2026-04-21,6660,10,1.2012012012011963,TIMEOUT,0.2332155477031802,5.685722404484523,-0.558303886925795,1.872791519434629,49.21465968586387,0.6959111744272638,한화손해보험
000370,2026-04-30,6620,4,0.15105740181269312,STOP,0.1074561403508772,4.828301743553407,-0.11403508771929824,1.4912280701754386,51.260504201680675,2.1992174748795956,한화손해보험
000370,2026-05-18,7120,1,7.4438202247191,T_star,1.2092675635276533,2.046646799497574,0.35874439461883406,0.5381165919282511,58.0392156862745,1.4002364585043974,한화손해보험
000390,2026-02-02,6760,10,46.30177514792899,TIMEOUT,0.06918238993710692,4.614635992538725,-2.2222222222222223,2.4318658280922434,54.31034482758621,0.7148065589687005,SP삼화
000390,2026-03-17,11000,9,-14.54545454545455,STOP,1.5457875457875458,17.826513109531977,0.6061050061050061,1.006105006105006,56.945812807881765,0.30798253126166136,SP삼화
000390,2026-03-25,9610,3,-2.185223725286156,STOP,0.07807664841704356,15.247849810413394,0.08902642228040943,2.3042132825517734,60.17897091722595,0.5897608142890992,SP삼화
000390,2026-04-21,9540,8,-2.935010482180289,STOP,0.29478943611705927,8.923330519036714,-0.476802284082798,2.883654532476802,52.97450424929178,0.26554192130181,SP삼화
000400,2025-10-15,2090,2,-7.8947368421052655,STOP,0.9030015797788316,2.1213386738548565,1.2786729857819898,1.0742496050552923,65.54913294797689,1.4062598690917443,롯데손해보험
000400,2026-03-12,2145,1,-2.7972027972028024,STOP,0.06676194365046921,6.367989906038226,0.8958758677011028,4.634544712127399,53.98264984227129,2.638564688552452,롯데손해보험
000400,2026-03-30,2080,1,-3.8461538461538436,STOP,0.02075746540422366,5.103217305369485,-0.6005098324836111,1.2017479970866713,53.54330708661416,0.3546469337261713,롯데손해보험
000400,2026-04-01,2160,1,-5.32407407407407,STOP,0.620510774142059,5.34216093966587,-0.8304070231444548,0.6783719074221868,50.98039215686275,0.5817059287572701,롯데손해보험
000400,2026-04-09,2185,9,-3.4324942791762014,STOP,1.0654936461388074,5.822302500921109,-0.2702834799609002,0.2932551319648094,53.672316384180796,0.9916457954239444,롯데손해보험
000400,2026-04-24,2145,4,-1.3986013986013957,STOP,0.3175041413583656,7.4085392473587754,0.3892876863611265,1.049144119271121,62.244897959183675,1.540311508546966,롯데손해보험
000400,2026-05-04,2195,1,-1.1389521640091105,STOP,0.5996758508914101,8.017974587651953,0.37007023230686115,2.215018908698001,56.17977528089887,0.4429577190867012,롯데손해보험
000400,2026-05-26,2325,2,-7.95698924731183,STOP,1.2253378378378372,3.8248156125579325,0.028040540540541156,0.6081081081081081,58.004926108374384,1.0149534160845493,롯데손해보험
000430,2026-05-28,4755,3,1.8927444794952786,T_star,1.5925925925925926,1.56915806692651,0.1574074074074074,0.8024691358024691,61.451247165532884,0.7043155225826424,대원강업
000430,2026-06-01,4570,1,6.017505470459517,T_star,0.6604127579737336,2.006938561458719,0.18574108818011256,1.425891181988743,59.49074074074075,1.3681177865189735,대원강업
000490,2026-02-03,10560,2,10.700757575757569,T_star,1.7367088607594936,0.44878014970891206,0.4189873417721519,1.1898734177215189,62.61398176291793,0.5904623668800728,대동
000490,2026-02-27,11300,1,-6.991150442477878,STOP,0.24851013110846246,5.896312206613418,0.898092967818832,2.7890345649582837,59.859154929577464,0.6871749275755772,대동
000490,2026-04-16,10210,10,-0.7835455435847183,TIMEOUT,1.0474452554744527,0.4190420503824977,-0.26034063260340634,0.6082725060827251,55.828220858895705,1.1554051695471088,대동
000500,2025-12-05,76700,10,10.821382007822677,TIMEOUT,0.7050847457627119,6.502152233778043,-0.47344632768361583,1.0847457627118644,55.04587155963303,0.5162048637370047,가온전선
000500,2026-01-02,83700,10,7.765830346475511,TIMEOUT,0.5675675675675675,11.315428048222188,1.2401247401247402,1.8711018711018712,59.707724425887264,1.3107746633628103,가온전선
000500,2026-01-22,88600,2,-0.5643340857787837,STOP,0.03473491773308958,14.984948683306081,0.8345521023765996,2.6325411334552102,57.40181268882175,0.7375629007556506,가온전선
000500,2026-02-20,89900,1,8.342602892102335,T_star,0.463265306122449,5.114785545987191,-0.32346938775510203,0.6122448979591837,53.605015673981185,0.3783744775188786,가온전선
000500,2026-03-13,98600,1,-1.6227180527383367,STOP,0.08356545961002786,10.129170715905405,0.7861343237387806,3.540699473847106,54.50777202072538,0.9389292908712698,가온전선
