symbol,ts_kst,close,body_pct,wick_ratio,prev_range_pct,prev_max,breakout_pct,close_now,change_now_pct
RENDERUSDT,2026-06-04 06:00,2.216,5.927342256214154,0.9920000000000009,15.495125705489984,2.251,-1.5548645046645801,2.045,-7.716606498194957
CHILLGUYUSDT,2026-06-04 06:00,0.0095,5.790645879732735,1.0,25.921787709497217,0.01127,-15.705412599822544,0.00872,-8.210526315789469
PENGUUSDT,2026-06-04 06:00,0.007239,5.647985989492122,0.982233502538071,21.016848950635534,0.008188,-11.590131900341975,0.006773,-6.437353225583636
AIXBTUSDT,2026-06-04 06:00,0.02712,5.197827773467795,1.0,16.25791139240506,0.02939,-7.72371554950664,0.02473,-8.81268436578171
ICPUSDT,2026-06-04 06:00,3.169,6.022080963532959,0.9137055837563457,21.767406273909717,3.183,-0.43983663210806756,2.86,-9.750710003155575
PLUMEUSDT,2026-06-04 06:00,0.01345,5.490196078431381,0.9722222222222233,12.583333333333327,0.01351,-0.44411547002220053,0.01216,-9.591078066914493
WIFUSDT,2026-06-04 06:00,0.1923,5.139420448332417,0.9894736842105275,12.6882966396292,0.1945,-1.1311053984575874,0.1748,-9.100364014560576
VIRTUALUSDT,2026-06-04 06:00,0.7488,5.539112050739957,0.9800498753117202,9.110566527317289,0.7569,-1.0701545778834716,0.684,-8.65384615384615
PARTIUSDT,2026-06-04 01:00,0.05,6.609808102345428,0.9967845659164,31.890500701918583,0.05637,-11.300337058719178,0.05094,1.8799999999999928
OPNUSDT,2026-06-03 22:00,0.1293,7.750000000000003,0.9489795918367346,50.66666666666667,0.1695,-23.716814159292042,0.2024,56.53518948182521
FILUSDT,2026-06-03 19:00,0.9454,5.7139662305714,0.9060283687943268,26.028037383177573,1.0788,-12.36559139784946,0.884,-6.494605458007194
HAEDALUSDT,2026-06-03 19:00,0.02862,6.512839598064748,0.9358288770053464,10.79922027290449,0.02842,0.7037297677691724,0.02712,-5.241090146750529
