group,n,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20
01_1봉,587,-4.51,-4.75,-5.01,-5.23,-5.38,-5.28,-5.28,-5.32,-5.51,-5.56,-5.67,-5.62,-5.7,-6.06,-6.05,-5.96,-6.04,-6.03,-5.82,-6.12
02_2~3봉,1392,-1.87,-4.35,-5.96,-5.88,-5.94,-5.76,-5.87,-6.11,-6.14,-6.25,-6.59,-6.53,-6.67,-6.79,-6.77,-6.88,-6.85,-7.0,-7.19,-7.42
03_4~6봉,3234,-0.71,-1.32,-1.75,-3.01,-3.8,-4.62,-4.59,-4.83,-4.92,-4.85,-5.29,-5.14,-5.16,-5.2,-5.5,-5.4,-5.51,-5.76,-6.01,-6.06
04_7~10봉,4991,0.27,0.58,0.85,1.02,1.01,0.76,0.3,-0.25,-0.58,-0.9,-0.9,-0.97,-0.96,-1.01,-1.06,-1.03,-1.15,-1.18,-1.23,-1.36
05_11~20봉,2810,0.5,1.2,1.74,2.34,3.18,3.96,4.66,5.36,6.06,6.17,5.79,5.62,5.42,5.45,5.36,5.03,4.92,4.89,4.82,4.56
06_21봉+,384,0.56,0.78,1.55,1.86,2.74,3.69,4.58,5.86,6.91,8.37,9.48,10.6,12.01,13.45,15.02,15.47,16.52,17.99,18.52,19.5
