봉_인덱스,종가변화율_평균_퍼센트,종가변화율_중앙값_퍼센트,MA10거리_평균_퍼센트,MA10거리_중앙값_퍼센트
t+1,0.7221771248229705,0.6704980842911777,6.336214225398365,5.27041815723889
t+2,1.1827528342430385,0.8134490238611661,5.892452034674711,5.070913817499758
t+3,2.0525096884807974,1.469674096439041,5.798265622769353,4.706187904159473
t+4,2.4234496831272105,1.4441316852282504,5.16736078542705,4.423120804160114
t+5,3.2849441105002453,2.240636393768648,4.989415040878703,4.109123139712255
t+6,3.653237083813811,2.971725331794582,4.278618872375621,3.649635036496345
t+7,4.490889486474212,3.5525085696478547,3.9481267897717283,3.3135580957893422
t+8,5.386432571088722,3.998225475517111,3.5778292540636834,2.5598256382884257
t+9,6.1398990674583755,4.602438605529784,3.0253804222260148,1.8065887353878975
t+10,6.433608041004968,4.4862090610346,2.6245054925237543,1.56094320823646
t+11,6.547572875984271,4.510793684888837,2.1717809793875986,1.3631162628724935
t+12,6.7968583044809945,3.9422928560407153,1.8588414357761645,0.9716010487122438
t+13,6.953731166534525,3.711591116519619,1.5251500259375737,0.6684146386498765
t+14,6.990820372388333,4.4452062621414745,1.093155930663536,0.1148105625717462
t+15,7.128303554126932,4.474474474474465,0.8558893533868677,0.23249806251612
t+16,7.190273624952865,4.367886804060298,0.551968654343785,0.0444439379608337
t+17,7.548625731987615,3.973201823764768,0.5135348982765865,-0.1653117916730573
t+18,7.541018458570923,3.706896551724152,0.2534803536791172,-0.3436426116838654
t+19,7.633035792114874,3.744013931214621,0.17019949583986363,-0.1700747537871314
t+20,7.68115293474608,3.4853878632337105,0.019468201270621655,-0.4715177774945744
