symbol,close,body_pct,wick_ratio,t+1_close,t+1_pct,t+2_close,t+2_pct,t+3_close,t+3_pct,t+4_close,t+4_pct,t+5_close,t+5_pct,t+6_close,t+6_pct,t+7_close,t+7_pct,t+8_close,t+8_pct,t+9_close,t+9_pct,t+10_close,t+10_pct
OPNUSDT,0.2626,9.280066583437364,0.6696696696696693,0.2319,-11.690784463061693,0.2278,-13.252094440213252,0.2067,-21.28712871287129,0.2024,-22.924600152322927,,,,,,,,,,,,
WLDUSDT,0.5514,7.969453691012328,0.7373188405797105,0.544,-1.342038447587951,0.5413,-1.8317011244105907,0.5216,-5.40442509974611,0.509,-7.689517591585054,,,,,,,,,,,,
MYXUSDT,0.2477,7.27587700303162,0.8615384615384613,0.2812,13.524424707307228,0.284,14.65482438433588,0.2974,20.06459426725878,0.291,17.48082357690754,,,,,,,,,,,,
LINEAUSDT,0.00307,6.74547983310152,0.8398268398268391,0.003004,-2.1498371335504776,0.002976,-3.061889250814329,0.002943,-4.136807817589575,0.002796,-8.925081433224754,,,,,,,,,,,,
MEMEUSDT,0.0005959,6.050898736429962,0.8153477218225413,0.0005792,-2.802483638194332,0.0005692,-4.48061755328076,0.0005676,-4.749118979694577,0.000543,-8.87732841080719,,,,,,,,,,,,
ICPUSDT,3.169,6.022080963532959,0.9137055837563457,3.146,-0.7257810034711307,3.105,-2.0195645313979194,3.095,-2.335121489428837,2.86,-9.750710003155575,,,,,,,,,,,,
RENDERUSDT,2.216,5.927342256214154,0.9920000000000009,2.185,-1.3989169675090314,2.149,-3.0234657039711266,2.172,-1.9855595667870052,2.045,-7.716606498194957,,,,,,,,,,,,
CHILLGUYUSDT,0.0095,5.790645879732735,1.0,0.00939,-1.1578947368420947,0.00931,-1.9999999999999918,0.00903,-4.947368421052631,0.00872,-8.210526315789469,,,,,,,,,,,,
ENAUSDT,0.11441,5.671007666020128,0.8950437317784258,0.1138,-0.5331701774320421,0.11201,-2.0977187308801675,0.11187,-2.220085656848178,0.10776,-5.812428983480468,,,,,,,,,,,,
PENGUUSDT,0.007239,5.647985989492122,0.982233502538071,0.007108,-1.8096422157756604,0.007101,-1.906340654786574,0.007022,-2.997651609338309,0.006773,-6.437353225583636,,,,,,,,,,,,
ETHFIUSDT,0.3701,5.5920114122681905,1.0,0.3627,-1.9994596055120137,0.3577,-3.3504458254525713,0.3525,-4.75547149419076,0.3355,-9.348824641988642,,,,,,,,,,,,
VIRTUALUSDT,0.7488,5.539112050739957,0.9800498753117202,0.7381,-1.428952991452997,0.7277,-2.8178418803418817,0.716,-4.380341880341887,0.684,-8.65384615384615,,,,,,,,,,,,
PLUMEUSDT,0.01345,5.490196078431381,0.9722222222222233,0.01317,-2.0817843866171057,0.01299,-3.420074349442382,0.01269,-5.650557620817845,0.01216,-9.591078066914493,,,,,,,,,,,,
MERLUSDT,0.02811,5.478424015009379,0.9419354838709678,0.02748,-2.241195304162215,0.02761,-1.7787264318747793,0.02675,-4.838135894699396,0.0251,-10.707933119886158,,,,,,,,,,,,
IOUSDT,0.1862,5.436013590033974,0.8000000000000009,0.1841,-1.1278195488721756,0.1827,-1.8796992481203023,0.1819,-2.309344790547797,0.1752,-5.907626208378093,,,,,,,,,,,,
RIVERUSDT,5.51,5.2933307854003475,0.8656249999999996,5.388,-2.2141560798548077,5.3,-3.8112522686025407,5.285,-4.083484573502716,5.054,-8.275862068965509,,,,,,,,,,,,
AIXBTUSDT,0.02712,5.197827773467795,1.0,0.02684,-1.0324483775811173,0.02655,-2.101769911504416,0.02594,-4.351032448377571,0.02473,-8.81268436578171,,,,,,,,,,,,
VVVUSDT,21.067,5.187737167964857,0.8987889273356395,20.437,-2.9904590117244934,20.911,-0.7404946124270129,20.533,-2.534770019461712,19.486,-7.504628091327667,,,,,,,,,,,,
EULUSDT,1.096,5.182341650671789,1.0,1.073,-2.098540145985413,1.066,-2.737226277372265,1.047,-4.470802919708043,1.03,-6.0218978102189835,,,,,,,,,,,,
WIFUSDT,0.1923,5.139420448332417,0.9894736842105275,0.1905,-0.9360374414976579,0.1894,-1.5080603224128892,0.1864,-3.0681227249089904,0.1748,-9.100364014560576,,,,,,,,,,,,
SUSHIUSDT,0.2349,5.100671140939594,0.8201438848920861,0.231,-1.6602809706257926,0.2299,-2.128565346956153,0.2343,-0.2554278416347337,0.2167,-7.74797786292039,,,,,,,,,,,,
BASEDUSDT,0.07044,5.024601162964064,0.923287671232876,0.06868,-2.4985803520726826,0.07046,0.02839295854626951,0.06803,-3.421351504826816,0.06156,-12.606473594548559,,,,,,,,,,,,
