Symbol,Name,thu_pass_TF,fri_fail_reason,category
042660,한화오션,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.98]",touch fail
047040,대우건설,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=1.25]",touch fail
051910,LG화학,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.23]",touch fail
062040,산일전기,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=1.69]",touch fail
066570,LG전자,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=1.73]",touch fail
066575,LG전자우,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=1.11]",touch fail
071320,지역난방공사,1Q,"touch fail [1Q, 위로 갭(MA 멀어짐), near=1.12]",touch fail
078935,GS우,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.03]",touch fail
084870,TBH글로벌,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.08]",touch fail
092200,디아이씨,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.18]",touch fail
092790,넥스틸,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.67]",touch fail
093050,LF,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.28]",touch fail
103590,일진전기,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.17]",touch fail
128940,한미약품,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.55]",touch fail
139130,iM금융지주,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=2.58]",touch fail
161890,한국콜마,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=1.78]",touch fail
241560,두산밥캣,1M,"touch fail [1M, 위로 갭(MA 멀어짐), near=1.16]",touch fail
278470,에이피알,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=1.66]",touch fail
281820,케이씨텍,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=4.00]",touch fail
298040,효성중공업,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=1.82]",touch fail
307950,현대오토에버,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=2.04]",touch fail
35320K,대덕전자1우,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=1.26]",touch fail
443060,HD현대마린솔루션,1W,"touch fail [1W, 위로 갭(MA 멀어짐), near=1.70]",touch fail
