symbol,ts_kst,winner,body_pct,wick,breakout_pct,trg_amount_USD,vol_surge_24h_x,vol_surge_168h_x,trg_vs_max_168h_x,p168_amount_sum_USD,p168_close_cv,p168_cum_ret_pct,change_now_pct,burst_count
RENDERUSDT,2026-06-04 06:00,False,5.927342256214154,0.9920000000000008,-1.55486450466458,585739.0734,0.7824965210824807,1.1430472274351735,0.2570564743020561,86089325.0684,0.035118289742111265,4.380593499764482,-7.716606498194957,8
CHILLGUYUSDT,2026-06-04 06:00,False,5.790645879732735,1.0,-15.705412599822544,3618.52993,0.43540674656104544,0.7121733050236652,0.07167747188470311,853602.66097,0.05534947677784477,-14.721723518850993,-8.210526315789469,8
PENGUUSDT,2026-06-04 06:00,False,5.647985989492122,0.982233502538071,-11.590131900341976,950400.303572,3.1121376168290595,3.789966139199053,0.49431524231560947,42128938.65955199,0.04671459294943584,-11.590131900341975,-6.437353225583636,8
AIXBTUSDT,2026-06-04 06:00,False,5.197827773467795,1.0,-7.72371554950664,9159.38565,0.357328010821485,0.41359103675300307,0.046319858031185726,3720527.41104,0.02904796891187175,-5.6038983640793605,-8.81268436578171,8
ICPUSDT,2026-06-04 06:00,False,6.022080963532959,0.9137055837563456,-0.4398366321080675,494502.34923,1.2506185442347466,1.6503203212329585,0.25416986132778946,50339557.479710005,0.05724311753435423,10.533658876874783,-9.750710003155575,8
PLUMEUSDT,2026-06-04 06:00,False,5.490196078431381,0.9722222222222232,-0.4441154700222005,17835.775,0.75974125336196,0.58486458713786,0.06047083142614664,5123254.623199999,0.02674944748683771,1.7397881996974225,-9.591078066914491,8
WIFUSDT,2026-06-04 06:00,False,5.139420448332417,0.9894736842105276,-1.1311053984575874,110908.09883,0.7284663759923695,0.926614745256952,0.18477403375844254,20108206.45669,0.027213319342333803,2.724358974358971,-9.100364014560576,8
VIRTUALUSDT,2026-06-04 06:00,False,5.539112050739957,0.9800498753117202,-1.0701545778834716,688777.2871,1.7190610305534313,2.3762276690388533,0.3707724425517981,48696758.2023,0.019326714067846036,-0.6501260448454312,-8.65384615384615,8
PARTIUSDT,2026-06-04 01:00,False,6.609808102345428,0.9967845659164,-11.300337058719178,26448.393018,2.1849552114810047,1.1186270838948449,0.10798250681712737,3972128.058578,0.06807125267840149,-10.136592379583032,1.8799999999999928,1
OPNUSDT,2026-06-03 22:00,True,7.750000000000003,0.9489795918367346,-23.71681415929204,92821.4436,2.381437239673477,4.777818996950347,0.2640431605167202,3263832.8356,0.09135141451707637,-22.435512897420512,56.53518948182521,1
FILUSDT,2026-06-03 19:00,False,5.7139662305714,0.9060283687943268,-12.36559139784946,1476781.40515,2.0034774406053586,2.2703742805666414,0.5027814516217219,109276817.56652,0.04647051871427609,-10.320622272813509,-6.494605458007194,2
HAEDALUSDT,2026-06-03 19:00,False,6.512839598064748,0.9358288770053464,0.7037297677691724,44880.15903,25.949500017698565,26.385471550200652,2.285771116712359,285758.27051999996,0.026377493537367208,3.84615384615384,-5.241090146750529,2
BRUSDT,2026-06-03 18:00,False,6.294485893148099,1.0,-9.02084556664709,18650.10495,2.2940744944887452,2.2396779108459857,0.07646553176973092,1398959.02729,0.050914168119830044,-0.9825850774884237,-11.480435659540142,1
NEARUSDT,2026-06-03 13:00,False,5.205029663072272,0.9432048681541584,3.2442328817283053,7000366.5393,1.3544384566968035,1.7339470146801053,0.5956902593902821,678256929.794,0.0545524670248834,12.307814864972505,-4.351681089516244,2
SUSHIUSDT,2026-06-03 13:00,False,7.868525896414333,1.0,2.556818181818176,198216.9558,5.490854503006205,12.130366843648378,0.9016682563199645,2745213.6447,0.02959874474094729,7.6005961251862795,0.0461680517082256,2
AIOUSDT,2026-06-03 11:00,False,8.760037543018031,0.9545454545454533,-3.667097727692593,36690.54397,0.7730019181188137,3.121817879116434,0.138796210914172,1974494.22921,0.04214437640933558,16.317198304706658,-0.7958577044778958,1
COHRUSDT,2026-06-02 22:00,False,9.005235602094235,0.96062552359676,7.677587856533319,914034.8473,4.909481806878697,13.324055418274009,1.4232382419274492,11524858.575399999,0.029991359390087548,9.406200735680493,-3.4870317002881803,1
IDOLUSDT,2026-06-02 19:00,False,8.398437500000009,0.9591078066914502,2.1472392638037,54573.86204,3.3791304253676353,4.1892617277692334,0.3526731568751236,2188550.01633,0.05987326387854046,30.94769956744004,-19.93993993993995,1
MELANIAUSDT,2026-06-02 18:00,False,9.748427672955978,0.9687500000000006,6.51068158697864,45173.8688,5.61089844218903,8.037341392002057,0.7992777277014079,944243.8224599999,0.023354256201769803,13.557483731019518,-16.80993314231137,1
JOEUSDT,2026-06-02 02:00,False,5.541368743615931,0.9863636363636352,-3.659673659673664,36259.782301,21.67029532655565,17.089376212930258,1.6053401092923658,356457.915764,0.037032996963520866,-3.6596736596736643,-16.259375756109357,2
MUSDT,2026-06-02 02:00,False,7.552872082024656,0.9079275781466664,3.272826238306823,148193.59547,4.100824523861866,4.425159340340248,0.6480565723328918,5626130.52416,0.020705915358080716,11.533847589297011,3.070436173537854,2
MERLUSDT,2026-06-02 01:00,False,7.25352112676056,0.9406392694063934,3.4295415959252984,66992.551229,1.039106748576712,3.7612165835269167,0.43283638814414993,2992316.01173,0.06268713367432825,7.366936905181536,-17.596848325673015,1
IONQUSDT,2026-06-01 23:00,False,6.338443396226411,1.0,0.0277315585135829,176067.6389,4.68689645734632,4.373806959717876,0.2980442628601198,6762841.526299999,0.05201714114429423,11.052955665024642,-8.289437205433885,2
CRWVUSDT,2026-06-01 23:00,False,6.761535870663524,0.9745145631067968,6.761535870663524,584928.7953,9.204806816603122,13.280148352038815,1.3918128359264106,7399618.965500001,0.035242881040820684,16.42791551882461,-14.9538607145674,2
HFTUSDT,2026-06-01 17:00,False,5.2360515021459175,0.9682539682539696,0.8223684210526265,23567.14255,3.0354687548539485,2.8698901016226728,0.4134016686759979,1379592.8792400002,0.04015014264655123,1.9966722129783745,-9.70636215334421,1
WUSDT,2026-06-01 12:00,False,6.40124902419984,0.9879518072289162,6.40124902419984,281985.152556,6.8926527530436825,9.439814847708186,1.313203993026085,5018478.2639999995,0.033241080747226176,12.366034624896946,-12.545854732208362,1
VVVUSDT,2026-06-01 11:00,False,6.543688260655996,0.9569034317637654,1.323506513728131,291660.57866,1.5655946450605416,1.6913124594433329,0.32331073953664397,28970978.686580002,0.06297632764137488,1.323506513728131,-0.1844073353139935,1
PIXELUSDT,2026-06-01 07:00,False,6.437768240343359,0.9656652360515032,6.255355612682092,49528.114514,5.29229444980215,6.90907774442024,0.7772219789219158,1204317.500273,0.02585668698527342,10.271231658514896,-15.51075268817205,1
HOMEUSDT,2026-05-31 15:00,True,8.304378040305767,1.0,7.445708376421918,133265.87038,3.738881732990036,3.7425882819908582,0.54842298790093,5982134.43129,0.0816565242818073,35.99476439790576,22.29708052614694,1
KITEUSDT,2026-05-31 11:00,False,5.588993981083408,1.0,-2.4212395998878145,98554.34537,1.8808895025775574,1.6609288189793554,0.26785867887409814,9968596.988,0.025684683738977834,2.428732643148035,-7.870281663153861,2
BATUSDT,2026-05-31 11:00,False,5.087572977481229,0.9384615384615368,1.4492753623188372,159207.99134,4.5973754471743895,4.844380244683906,0.26284405228262475,5521231.033520001,0.0789135939449288,24.752475247524746,-22.14285714285714,2
ARCUSDT,2026-05-31 02:00,False,6.000800106680896,0.9036144578313264,5.775116433799084,106400.22736,4.874584643905315,7.013526957461776,0.40594740581806826,2548680.32944,0.05861300539565506,24.183721293547897,-6.629764750283068,1
BANDUSDT,2026-05-31 01:00,False,5.063291139240497,0.9708737864077648,-1.9376181474480243,9885.83708,2.7978987818300842,4.558902600651574,0.1720696055589729,364302.72259,0.033575527478972265,0.973236009732361,-6.506024096385535,1
MAGMAUSDT,2026-05-30 23:00,True,9.141791044776133,0.9917389508467584,5.580110497237568,120077.077,6.677327615335587,6.976502010087101,1.63312942245974,2891556.3855399997,0.04573888950418404,26.31648525977175,55.63579277864992,1
ALGOUSDT,2026-05-30 10:00,False,5.891594658287516,0.9493670886075968,5.891594658287516,1379274.40054,4.824643444219453,7.904210846423805,1.5959998348281117,29315779.119880002,0.03424588329151382,20.14260249554368,-23.36795252225519,1
IOTAUSDT,2026-05-30 09:00,False,6.654428636989455,0.977528089887643,6.654428636989455,145490.498883,2.4095700537763585,7.923488478962052,0.7974485318761864,3084803.351105,0.04055809593773468,19.670442842430493,-31.253585771658067,3
HBARUSDT,2026-05-30 09:00,False,9.039548022598868,0.9889624724061808,9.039548022598868,3767682.80036,4.433577118813745,11.89645297664445,1.370440721008002,53206675.27566,0.027791521904794884,22.6648507547384,-23.260547742413024,3
ENSUSDT,2026-05-30 09:00,False,6.282007511095943,0.941176470588236,-4.185903354878428,660929.0504,34.50926631300197,12.203918549988844,1.2314591554878689,9098395.7335,0.03593478557967695,1.815208503679473,-17.491166077738523,3
