symbol,ts_kst,close,body_pct,body_to_range
USUSDT,2026-06-04 08:00,0.015399,9.042628522872118,0.8417930125247195
MYXUSDT,2026-06-04 07:00,0.2812,13.524424707307228,0.768348623853211
OPNUSDT,2026-06-04 06:00,0.2626,9.280066583437364,0.6696696696696693
WLDUSDT,2026-06-04 06:00,0.5514,7.969453691012328,0.7373188405797105
MYXUSDT,2026-06-04 06:00,0.2477,7.27587700303162,0.8615384615384613
LINEAUSDT,2026-06-04 06:00,0.00307,6.74547983310152,0.8398268398268391
MEMEUSDT,2026-06-04 06:00,0.0005959,6.050898736429962,0.8153477218225413
ICPUSDT,2026-06-04 06:00,3.169,6.022080963532959,0.9137055837563457
RENDERUSDT,2026-06-04 06:00,2.216,5.927342256214154,0.9920000000000009
CHILLGUYUSDT,2026-06-04 06:00,0.0095,5.790645879732735,1.0
ENAUSDT,2026-06-04 06:00,0.11441,5.671007666020128,0.8950437317784258
PENGUUSDT,2026-06-04 06:00,0.007239,5.647985989492122,0.982233502538071
ETHFIUSDT,2026-06-04 06:00,0.3701,5.5920114122681905,1.0
VIRTUALUSDT,2026-06-04 06:00,0.7488,5.539112050739957,0.9800498753117202
PLUMEUSDT,2026-06-04 06:00,0.01345,5.490196078431381,0.9722222222222233
MERLUSDT,2026-06-04 06:00,0.02811,5.478424015009379,0.9419354838709678
IOUSDT,2026-06-04 06:00,0.1862,5.436013590033974,0.8000000000000009
RIVERUSDT,2026-06-04 06:00,5.51,5.2933307854003475,0.8656249999999996
AIXBTUSDT,2026-06-04 06:00,0.02712,5.197827773467795,1.0
VVVUSDT,2026-06-04 06:00,21.067,5.187737167964857,0.8987889273356395
EULUSDT,2026-06-04 06:00,1.096,5.182341650671789,1.0
WIFUSDT,2026-06-04 06:00,0.1923,5.139420448332417,0.9894736842105275
SUSHIUSDT,2026-06-04 06:00,0.2349,5.100671140939594,0.8201438848920861
BASEDUSDT,2026-06-04 06:00,0.07044,5.024601162964064,0.923287671232876
PARTIUSDT,2026-06-04 04:00,0.05649,6.625141562853906,0.9696132596685085
GWEIUSDT,2026-06-04 04:00,0.10665,6.415885052883646,0.9069111424541597
BEATUSDT,2026-06-04 04:00,1.37865,5.232425005724745,0.9427864117727939
STOUSDT,2026-06-04 03:00,0.07924,19.175815912167263,0.8632362897765746
OPNUSDT,2026-06-04 02:00,0.2439,17.7691936262675,0.8888888888888891
STOUSDT,2026-06-04 02:00,0.06649,8.51966704749469,0.7981651376146786
PRLUSDT,2026-06-04 02:00,0.2019,7.165605095541393,0.9121621621621624
POETUSDT,2026-06-04 02:00,15.392,6.592797783933518,0.7537608867775138
XPLUSDT,2026-06-04 02:00,0.1013,6.1956179893070535,0.8981762917933125
ZAMAUSDT,2026-06-04 02:00,0.03411,5.964585274930096,0.8971962616822438
OPNUSDT,2026-06-04 01:00,0.2071,25.82017010935602,0.9081196581196582
QUSDT,2026-06-04 01:00,0.018756,8.434988726368726,0.9681486396814845
PARTIUSDT,2026-06-04 01:00,0.05,6.609808102345428,0.9967845659164
BASEDUSDT,2026-06-04 01:00,0.07208,6.501182033096928,0.8888888888888898
YBUSDT,2026-06-04 01:00,0.1101,5.967276227141479,0.8732394366197185
OPNUSDT,2026-06-04 00:00,0.1646,17.823908375089484,0.9325842696629215
MAGMAUSDT,2026-06-04 00:00,0.4114,7.361883138912814,0.7724534501642928
XPLUSDT,2026-06-04 00:00,0.09937,6.187219491344308,0.8086592178770955
EDGEUSDT,2026-06-03 23:00,0.6909,14.198347107438014,0.7662801070472791
ARCUSDT,2026-06-03 23:00,0.07898,11.286459067211482,1.0
OPNUSDT,2026-06-03 23:00,0.1397,8.04331013147718,0.9203539823008839
ARUSDT,2026-06-03 23:00,2.622,7.679671457905537,0.9166666666666671
POETUSDT,2026-06-03 23:00,14.628,7.424542850848198,0.6943681318681316
UBUSDT,2026-06-03 23:00,0.11154,6.370398626740421,0.8176254589963277
GRASSUSDT,2026-06-03 22:00,0.5225,8.290155440414503,0.9389671361502336
OPNUSDT,2026-06-03 22:00,0.1293,7.750000000000003,0.9489795918367346
USUSDT,2026-06-03 22:00,0.0137,6.515316436013063,0.8765690376569037
VELVETUSDT,2026-06-03 22:00,0.10422,6.054747125267118,0.9519999999999986
USELESSUSDT,2026-06-03 22:00,0.10372,5.192697768762692,0.9481481481481503
MAGMAUSDT,2026-06-03 21:00,0.39169,7.915472779369622,0.9563914780292931
USARUSDT,2026-06-03 21:00,32.17,7.37650200267023,0.8185185185185201
PROMUSDT,2026-06-03 20:00,0.9934,9.792219274977883,0.7168284789644009
VVVUSDT,2026-06-03 20:00,21.207,8.597910692339216,0.9240506329113934
GMTUSDT,2026-06-03 20:00,0.01085,6.0606060606060685,0.849315068493152
SKYAIUSDT,2026-06-03 20:00,0.15153,6.039188243526941,0.9817974971558596
RAVEUSDT,2026-06-03 20:00,0.42085,5.892861636011372,0.7470494417862841
HUSDT,2026-06-03 20:00,0.61172,5.855887035370682,0.6416382252559744
