단기_급반등_기간_일,단기_급반등_폭_pct,급반등_직전_이격_이하_pct,현재_MA20w_근접_pct,숏보유_일,표본수_중복제거,표본수_원본,윈율,평균_숏수익_capped,중위_숏수익,p25_숏수익,p75_숏수익,표준편차,최대손실,Sharpe_like
3,0.2,0.1,0.03,10,166,191,0.6506024096385542,0.018770937775888608,0.06499074742781702,-0.08398530503764329,0.14478118087162176,0.19669918399919636,-0.7366658077814998,0.09542966775075844
3,0.2,0.1,0.03,20,164,189,0.6951219512195121,0.03760157903807621,0.12076217763249031,-0.059973345887640195,0.2296175362608475,0.27328385358494595,-0.8940534925993249,0.13759165989800548
3,0.2,0.1,0.03,40,155,179,0.7161290322580646,0.09156218240108274,0.1458251666013327,-0.03800248955824237,0.29434499064761105,0.3291413158964587,-2.1940221592373104,0.2547805747309769
3,0.2,0.1,0.05,10,272,334,0.6617647058823529,0.025046458402864975,0.06722555935423208,-0.08129451931206555,0.14497670414863942,0.19478903659834382,-0.7366658077814998,0.12858248513498696
3,0.2,0.1,0.05,20,267,329,0.6704119850187266,0.04040559323603476,0.11763357028204546,-0.07940971058259028,0.23117186342212137,0.2681135385536877,-0.8940534925993249,0.15070329329133764
3,0.2,0.1,0.05,40,249,308,0.7068273092369478,0.10022678105531548,0.14557485525227476,-0.07901639344262312,0.29687088274044793,0.31218191062019246,-2.1940221592373104,0.30569199589404494
3,0.2,0.1,0.08,10,388,526,0.6520618556701031,0.014000140615446518,0.06627077979445012,-0.08749818883356869,0.14497670414863942,0.22423523570343565,-1.1871906404679766,0.05622566240480524
3,0.2,0.1,0.08,20,379,517,0.6543535620052771,0.0246562412193497,0.10021474588403723,-0.11374482641447736,0.22917631337205352,0.2976336048600235,-1.3377251949448778,0.0781648342480909
3,0.2,0.1,0.08,40,352,484,0.6988636363636364,0.07949669077817559,0.1435308012255448,-0.08603288897157396,0.3065319984365278,0.41267144170095815,-4.130975985899978,0.15746206500302132
3,0.2,0.2,0.03,10,102,116,0.6862745098039216,0.0404378857549101,0.09181644331797523,-0.04626318749636121,0.16177757374898669,0.19716048075695017,-0.579791161269908,0.20510137528402536
3,0.2,0.2,0.03,20,101,115,0.7425742574257426,0.06756054130517061,0.13602508820070558,-0.021610145477214848,0.24525075987841938,0.26955241092193,-0.8940534925993249,0.25063972187857025
3,0.2,0.2,0.03,40,96,110,0.7604166666666666,0.13494253008127896,0.16846389947532076,0.02082431276038013,0.3330052489216767,0.2768481426147869,-0.8639999999999999,0.4874243648766003
3,0.2,0.2,0.05,10,181,217,0.6850828729281768,0.04333974944811729,0.08450704225352101,-0.05509726041348406,0.15987055016181229,0.196461404793395,-0.579791161269908,0.22060185049422168
3,0.2,0.2,0.05,20,179,215,0.7318435754189944,0.07401522205608642,0.14869281045751626,-0.019549467357441563,0.2525515225945311,0.26390053675793707,-0.8940534925993249,0.2804663566257803
3,0.2,0.2,0.05,40,172,207,0.7674418604651163,0.15039483528785202,0.1886934397010499,0.03748577706281639,0.3330052489216767,0.26724596115949995,-0.8639999999999999,0.5627581222755772
