Symbol,entry_date,entry_close,exit_date,exit_close,bars_held,ret_pct,exit_reason,Name,entry_month
079550,2025-09-19,513000,2025-09-22,496000,1,-3.3138401559454245,STOP,LIG디펜스앤에어로스페이스,2025-09
079550,2025-09-29,507000,2025-10-10,480000,4,-5.3254437869822535,STOP,LIG디펜스앤에어로스페이스,2025-09
079550,2026-02-26,503000,2026-03-13,723000,10,43.7375745526839,TIMEOUT,LIG디펜스앤에어로스페이스,2026-02
079550,2026-03-25,734000,2026-03-27,735000,2,0.13623978201635634,STOP,LIG디펜스앤에어로스페이스,2026-03
079550,2026-04-06,810000,2026-04-20,921000,10,13.703703703703706,TIMEOUT,LIG디펜스앤에어로스페이스,2026-04
079900,2026-01-19,50100,2026-01-21,47800,2,-4.590818363273453,STOP,전진건설로봇,2026-01
079900,2026-01-22,49600,2026-02-05,61600,10,24.193548387096776,TIMEOUT,전진건설로봇,2026-01
079900,2026-02-24,59300,2026-03-03,56500,4,-4.721753794266437,STOP,전진건설로봇,2026-02
079900,2026-03-25,55700,2026-03-26,52600,1,-5.565529622980248,STOP,전진건설로봇,2026-03
079900,2026-04-01,58000,2026-04-02,53700,1,-7.413793103448274,STOP,전진건설로봇,2026-04
079900,2026-04-08,73000,2026-04-22,67700,10,-7.260273972602738,TIMEOUT,전진건설로봇,2026-04
079980,2025-09-24,3025,2025-09-26,2930,2,-3.1404958677686,STOP,휴비스,2025-09
079980,2026-03-30,2795,2026-04-13,3345,10,19.677996422182463,TIMEOUT,휴비스,2026-03
079980,2026-04-20,3175,2026-04-29,3435,7,8.18897637795275,STOP,휴비스,2026-04
079980,2026-04-30,3485,2026-05-07,3230,3,-7.317073170731703,STOP,휴비스,2026-04
081000,2025-12-10,12570,2025-12-16,12360,4,-1.670644391408116,STOP,일진다이아,2025-12
081000,2026-04-16,13960,2026-04-30,14710,10,5.372492836676224,TIMEOUT,일진다이아,2026-04
081660,2025-09-11,42100,2025-09-12,40300,1,-4.275534441805229,STOP,미스토홀딩스,2025-09
081660,2025-09-17,41500,2025-09-18,40900,1,-1.4457831325301207,STOP,미스토홀딩스,2025-09
081660,2025-11-12,41000,2025-11-26,41900,10,2.195121951219514,TIMEOUT,미스토홀딩스,2025-11
081660,2025-12-17,46050,2025-12-24,44650,5,-3.0401737242128135,STOP,미스토홀딩스,2025-12
081660,2026-01-20,45250,2026-02-03,46650,10,3.0939226519337115,TIMEOUT,미스토홀딩스,2026-01
081660,2026-04-16,43100,2026-04-24,41400,6,-3.944315545243615,STOP,미스토홀딩스,2026-04
082640,2025-09-18,7650,2025-09-19,8060,1,5.35947712418301,T_star,동양생명,2025-09
082640,2025-10-15,7950,2025-10-16,7680,1,-3.396226415094339,STOP,동양생명,2025-10
082640,2026-02-26,7550,2026-03-03,7240,2,-4.1059602649006655,STOP,동양생명,2026-02
082640,2026-03-06,8000,2026-03-09,8330,1,4.125000000000001,T_star,동양생명,2026-03
082640,2026-04-06,8620,2026-04-07,8250,1,-4.292343387470998,STOP,동양생명,2026-04
082640,2026-04-22,8840,2026-04-28,8270,4,-6.447963800904977,STOP,동양생명,2026-04
082740,2025-09-16,44600,2025-09-17,43750,1,-1.905829596412556,STOP,한화엔진,2025-09
082740,2025-10-10,47600,2025-10-14,43700,2,-8.193277310924374,STOP,한화엔진,2025-10
082740,2025-10-15,47250,2025-10-29,49150,10,4.021164021164014,TIMEOUT,한화엔진,2025-10
082740,2025-10-23,48600,2025-11-04,48300,8,-0.6172839506172867,STOP,한화엔진,2025-10
082740,2025-12-03,43600,2025-12-09,46400,4,6.422018348623859,T_star,한화엔진,2025-12
082740,2025-12-22,43350,2025-12-24,44700,2,3.114186851211076,STOP,한화엔진,2025-12
082740,2026-02-03,57200,2026-02-06,53000,3,-7.342657342657343,STOP,한화엔진,2026-02
082740,2026-02-12,55000,2026-02-13,54000,1,-1.8181818181818188,STOP,한화엔진,2026-02
082740,2026-02-19,55200,2026-02-23,56400,2,2.1739130434782705,STOP,한화엔진,2026-02
082740,2026-04-16,48200,2026-04-17,56100,1,16.390041493775943,T_star,한화엔진,2026-04
084010,2025-09-03,10435,2025-09-04,10369,1,-0.6324868231911807,STOP,대한제강,2025-09
