Symbol,Name,prev_close,entry_close,Mon_close,entry_day_ret,today_ret,entry_day
092200,디아이씨,10540.0,9270.0,8950.0,-12.04933586337761,-3.4519956850053934,수(6/10)
066575,LG전자우,84000.0,76600.0,87100.0,-8.80952380952381,13.707571801566578,수(6/10)
014910,성문전자,2300.0,2105.0,2120.0,-8.478260869565217,0.7125890736342043,수(6/10)
009415,태영건설우,8320.0,8010.0,9660.0,-3.7259615384615383,20.59925093632959,수(6/10)
456040,OCI,108500.0,105400.0,97600.0,-2.857142857142857,-7.400379506641366,수(6/10)
036570,NC,264500.0,257000.0,261500.0,-2.835538752362949,1.7509727626459144,수(6/10)
373220,LG에너지솔루션,396500.0,385500.0,420500.0,-2.7742749054224465,9.07911802853437,수(6/10)
005385,현대차우,246500.0,240000.0,256500.0,-2.636916835699797,6.875000000000001,수(6/10)
014710,사조씨푸드,7400.0,7210.0,7300.0,-2.5675675675675675,1.248266296809986,수(6/10)
009450,경동나비엔,69400.0,67800.0,71200.0,-2.3054755043227666,5.014749262536873,수(6/10)
010130,고려아연,1212000.0,1186000.0,1253000.0,-2.145214521452145,5.649241146711636,수(6/10)
001200,유진투자증권,4510.0,4415.0,4795.0,-2.106430155210643,8.607021517553793,수(6/10)
000370,한화손해보험,6450.0,6320.0,6720.0,-2.0155038759689923,6.329113924050633,수(6/10)
010780,아이에스동서,24900.0,24400.0,25850.0,-2.0080321285140563,5.942622950819672,수(6/10)
138930,BNK금융지주,17060.0,16770.0,18020.0,-1.6998827667057446,7.4537865235539655,수(6/10)
003160,디아이,28050.0,27600.0,29300.0,-1.6042780748663104,6.159420289855073,수(6/10)
027410,BGF,4100.0,4055.0,4230.0,-1.097560975609756,4.315659679408138,수(6/10)
013000,세우글로벌,1269.0,1260.0,1357.0,-0.7092198581560284,7.698412698412699,수(6/10)
078935,GS우,52500.0,52200.0,54500.0,-0.5714285714285714,4.406130268199234,수(6/10)
007340,DN오토모티브,39800.0,39650.0,43850.0,-0.37688442211055273,10.592686002522068,수(6/10)
015230,대창단조,6060.0,6050.0,6250.0,-0.16501650165016502,3.3057851239669422,수(6/10)
155660,DSR,4120.0,4115.0,4290.0,-0.12135922330097086,4.25273390036452,수(6/10)
078000,텔코웨어,13790.0,13790.0,14290.0,0.0,3.625815808556925,수(6/10)
088790,진도,2560.0,2560.0,2575.0,0.0,0.5859375,수(6/10)
003547,대신증권2우B,19340.0,19340.0,19940.0,0.0,3.1023784901758016,수(6/10)
017670,SK텔레콤,105700.0,99600.0,105400.0,-5.7710501419110685,5.8232931726907635,목(6/11)
028050,삼성E&A,47300.0,44900.0,52100.0,-5.07399577167019,16.035634743875278,목(6/11)
004020,현대제철,33250.0,31700.0,36650.0,-4.661654135338346,15.615141955835963,목(6/11)
001250,GS글로벌,2945.0,2810.0,3120.0,-4.584040747028863,11.032028469750891,목(6/11)
012205,계양전기우,9230.0,8810.0,9600.0,-4.550379198266522,8.967082860385926,목(6/11)
079550,LIG디펜스앤에어로스페이스,790000.0,759000.0,845000.0,-3.9240506329113924,11.330698287220025,목(6/11)
009190,대양금속,1932.0,1869.0,1905.0,-3.260869565217391,1.9261637239165328,목(6/11)
003490,대한항공,25450.0,24850.0,30000.0,-2.357563850687623,20.72434607645875,목(6/11)
002780,진흥기업,885.0,865.0,904.0,-2.2598870056497176,4.508670520231214,목(6/11)
003530,한화투자증권,5440.0,5340.0,5900.0,-1.8382352941176472,10.486891385767791,목(6/11)
005380,현대차,602000.0,591000.0,647000.0,-1.8272425249169437,9.475465313028765,목(6/11)
033530,SJG세종,6620.0,6520.0,7040.0,-1.5105740181268883,7.975460122699387,목(6/11)
012200,계양전기,5860.0,5780.0,6200.0,-1.3651877133105803,7.26643598615917,목(6/11)
003240,태광산업,905000.0,894000.0,935000.0,-1.2154696132596685,4.586129753914989,목(6/11)
001060,JW중외제약,26350.0,26050.0,28050.0,-1.1385199240986716,7.677543186180421,목(6/11)
227840,현대코퍼레이션홀딩스,12020.0,11920.0,12120.0,-0.8319467554076538,1.6778523489932886,목(6/11)
006650,대한유화,119600.0,119300.0,141500.0,-0.2508361204013378,18.608549874266554,목(6/11)
004365,세방우,9300.0,9280.0,9780.0,-0.21505376344086022,5.387931034482758,목(6/11)
034590,인천도시가스,25850.0,25850.0,26450.0,0.0,2.321083172147002,목(6/11)
404990,신한서부티엔디리츠,4660.0,4180.0,4115.0,-10.300429184549357,-1.555023923444976,금(6/12)
005320,온타이드,1109.0,1084.0,1094.0,-2.254283137962128,0.9225092250922509,금(6/12)
456040,OCI,107500.0,105300.0,97600.0,-2.0465116279069764,-7.31244064577398,금(6/12)
195870,해성디에스,79500.0,78500.0,85500.0,-1.257861635220126,8.9171974522293,금(6/12)
021240,코웨이,89900.0,89000.0,91300.0,-1.0011123470522802,2.584269662921348,금(6/12)
009140,경인전자,26100.0,25900.0,26600.0,-0.7662835249042145,2.7027027027027026,금(6/12)
030200,KT,55100.0,54800.0,55400.0,-0.5444646098003629,1.094890510948905,금(6/12)
006980,우성,17670.0,17600.0,18120.0,-0.39615166949632147,2.9545454545454546,금(6/12)
012030,DB,1974.0,1969.0,1961.0,-0.25329280648429586,-0.40629761300152356,금(6/12)
078930,GS,72500.0,72500.0,75600.0,0.0,4.275862068965517,금(6/12)
