symbol,last_date,close,ma20,px_vs_ma20_pct,category,a_pct,b_pct,vertex_x,vertex_pos,r2,y_mean
BILLUSDT,2026-06-15,0.07046,0.0749995,-6.052707018046788,case3_bounce_up,0.25020969168693297,-6.341237696849351,12.671846670079482,0.9051319050056773,0.9893769457758448,0.08755926666666666
GWEIUSDT,2026-06-15,0.14961,0.133419,12.13545297146581,case3_bounce_up,0.22058375592010995,-2.344566579719294,5.314458832064766,0.3796042022903404,0.9564682041854119,0.12145376666666666
SKYAIUSDT,2026-06-15,0.35688,0.23264999999999997,53.397807865892986,case3_bounce_up,0.20788264457292124,-4.376051727791914,10.525293577975622,0.7518066841411158,0.9571774032400507,0.23793056666666662
BUSDT,2026-06-15,0.2522,0.24556,2.704023456589022,case3_bounce_up,0.20174968975939844,-4.584838314301874,11.362689875185524,0.8116207053703945,0.9800639234182567,0.26527100000000003
NAORISUSDT,2026-06-15,0.03222,0.0344165,-6.382113230572561,case3_bounce_up,0.19668507073628844,-3.628754058261299,9.224782655534296,0.6589130468238783,0.7586338361973642,0.0356556
PROMUSDT,2026-06-15,1.1566,1.040545,11.153289862523973,case3_bounce_up,0.17058708975193657,-3.61150611503643,10.585520042249948,0.7561085744464249,0.9757012086470578,1.0906126666666667
AINUSDT,2026-06-15,0.08782,0.0782115,12.285277740485734,case3_bounce_up,0.14265722006300569,-2.684090355990875,9.407481636069402,0.6719629740049573,0.92597651226149,0.0785308
CGPTUSDT,2026-06-15,0.02162,0.022032,-1.8700072621641195,case3_bounce_up,0.13143479299049982,-3.6055797193219434,13.716230068481778,0.9797307191772698,0.994098502637436,0.024193166666666672
FUTUUSDT,2026-06-15,100.25,98.158,2.1312577680881795,case3_bounce_up,0.12845701923553254,-3.024197625484295,11.771243188896019,0.8408030849211442,0.9871331373653714,103.35296666666665
UBUSDT,2026-06-15,0.11354,0.14335,-20.795256365538894,case3_bounce_up,0.12319164705163876,-2.4530300590110805,9.956154161908533,0.7111538687077523,0.709208975859732,0.15243813333333334
COAIUSDT,2026-06-15,0.321,0.28759,11.617232866233174,case3_bounce_up,0.11365734405578637,-2.0685245001238224,9.099827720365036,0.6499876943117883,0.8677855515885176,0.28597066666666665
ATUSDT,2026-06-15,0.1294,0.12623,2.5112889170561425,case3_bounce_up,0.10937928868892996,-1.7599523528617975,8.04518101167684,0.5746557865483457,0.9560091841881413,0.12482066666666666
PARTIUSDT,2026-06-15,0.0557,0.052802,5.488428468618611,case3_bounce_up,0.09860148678607118,-1.362469683548111,6.908971294237007,0.4934979495883577,0.941404269831658,0.051678
POWERUSDT,2026-06-15,0.07949,0.0773925,2.7102109377523664,case3_bounce_up,0.09816582479741061,-1.5326051276650106,7.806205116841421,0.5575860797743872,0.8727621147793021,0.07651953333333332
CRVUSDT,2026-06-15,0.2382,0.21300499999999997,11.828360836600083,case3_bounce_up,0.09451813038432605,-1.938423701930618,10.254242725965234,0.7324459089975167,0.9955445654461275,0.21636299999999997
