ma,K_days,X_dist_low,Y_dist_now,H_hold,count_dedup,count_raw,win_rate,mean_short,mean_capped,median_short,std,max_loss,sharpe_like
ma100,20,0.2,0.03,10,770,2165,0.5818181818181818,0.01417309672583912,0.01417309672583912,0.03347495527728078,0.16492598035433864,-0.9164531009738597,0.08593610718813759
ma100,20,0.2,0.03,20,747,2115,0.6760374832663989,0.042603627928541776,0.044778719272518856,0.06807286673058477,0.24007070270811304,-1.8371956585508946,0.1774628367724689
ma100,20,0.2,0.03,40,641,1718,0.7410296411856474,0.10030399906915978,0.10672311519006591,0.14157393752513736,0.3128612928236285,-3.069259259259259,0.32060213701700985
ma100,20,0.2,0.03,60,622,1688,0.6688102893890675,0.0577653278883498,0.07370332644482884,0.10586166315523521,0.4155120169713004,-4.7975308641975305,0.13902203914439296
ma100,20,0.2,0.05,10,953,3741,0.577124868835257,0.012441755762066391,0.012441755762066391,0.034028540065861757,0.16969179831502523,-0.7525087260034906,0.0733197236732021
ma100,20,0.2,0.05,20,927,3655,0.6612729234088457,0.035446740940022634,0.03788061099146114,0.06590096027113546,0.24048810496994452,-1.8371956585508946,0.1473949863110804
ma100,20,0.2,0.05,40,792,2970,0.7335858585858586,0.09158330652866555,0.09674697172117609,0.12805066338452725,0.3067932452155967,-3.069259259259259,0.2985180018038078
ma100,20,0.2,0.05,60,766,2916,0.6736292428198434,0.06950409732876364,0.08200309167119017,0.11523547935102096,0.3909842706694085,-4.7975308641975305,0.17776699100903703
ma100,20,0.3,0.03,10,323,682,0.6470588235294118,0.035173068577783295,0.035173068577783295,0.06318289786223286,0.1805724288560229,-0.9164531009738597,0.19478648429671447
ma100,20,0.3,0.03,20,321,679,0.6978193146417445,0.07418706234391684,0.07488331473326346,0.11205726274219419,0.24629867432776606,-1.2234970169802661,0.30120772085517267
ma100,20,0.3,0.03,40,288,603,0.7743055555555556,0.1678593852470912,0.17167815695976174,0.20318282326001574,0.2805051066934049,-1.7064220183486238,0.5984182863043678
ma100,20,0.3,0.03,60,283,595,0.7597173144876325,0.13315249348437075,0.1466349407009828,0.212222687316869,0.38125784931937645,-3.1960244648318046,0.3492452515327233
ma100,20,0.3,0.05,10,443,1215,0.6433408577878104,0.03651563559917292,0.03651563559917292,0.05732283464566923,0.1804524979891059,-0.7525087260034906,0.2023559441187531
ma100,20,0.3,0.05,20,439,1206,0.6742596810933941,0.06251840780785525,0.06346425978924773,0.10049539985845735,0.2485961579743423,-1.2234970169802661,0.25148581666458336
ma100,20,0.3,0.05,40,397,1067,0.7632241813602015,0.1439872242331339,0.14620456442192775,0.18330145155845612,0.2774232978993123,-1.7064220183486238,0.5190163382939542
ma100,20,0.3,0.05,60,389,1054,0.7326478149100257,0.11923082049597745,0.12830532481344112,0.19334916864608076,0.3582961433261328,-3.1960244648318046,0.33277171054406157
ma100,20,0.4,0.03,10,113,184,0.6194690265486725,0.02413186323759431,0.02413186323759431,0.05360721442885763,0.19924801393778868,-0.6968822170900693,0.12111469901591598
ma100,20,0.4,0.03,20,113,183,0.6460176991150443,0.06278741939157877,0.06278741939157877,0.10215492137449034,0.2689714622964679,-0.9553633485211213,0.23343524571529714
ma100,20,0.4,0.03,40,106,171,0.8113207547169812,0.1975211356153205,0.20418549427898675,0.24821473569093477,0.29109449178060376,-1.7064220183486238,0.6785464555069323
ma100,20,0.4,0.03,60,105,168,0.8571428571428571,0.19693596365048643,0.2178504823631703,0.27249004257656906,0.3989188330905736,-3.1960244648318046,0.49367426983767543
ma100,20,0.4,0.05,10,150,311,0.64,0.030580887307575716,0.030580887307575716,0.07254866206481597,0.21687130675147068,-0.705984736912572,0.1410093744794957
ma100,20,0.4,0.05,20,148,306,0.6486486486486487,0.05340578970746862,0.05340578970746862,0.11251901598648167,0.2761968061145182,-0.9553633485211213,0.19336135873101018
ma100,20,0.4,0.05,40,141,288,0.7801418439716312,0.17457068560220326,0.1795807708387183,0.23474939229077452,0.2933052003330759,-1.7064220183486238,0.5951844202010795
ma100,20,0.4,0.05,60,139,282,0.7913669064748201,0.17280430106739703,0.18860303822446037,0.2648272865522485,0.38288996929908076,-3.1960244648318046,0.4513158215759294
ma100,40,0.2,0.03,10,1082,3908,0.6349353049907579,0.01978948953661572,0.020490566213554093,0.040097434390912734,0.15751874986874587,-1.7585649644473174,0.12563259645664734
ma100,40,0.2,0.03,20,1017,3585,0.655850540806293,0.035062666590383214,0.03584948415827823,0.06390977443609025,0.22635929769205293,-1.348194205582749,0.15489828316256612
ma100,40,0.2,0.03,40,877,3056,0.6681870011402509,0.04173825754508267,0.051760427711995335,0.11610135406891009,0.35807277109126073,-2.457450076804916,0.11656361755148645
ma100,40,0.2,0.03,60,835,2920,0.615568862275449,-0.021087027134182756,0.005182207228084986,0.09109619520878143,0.4816740741668675,-3.8320228734810575,-0.043778621821521424
ma100,40,0.2,0.05,10,1326,6656,0.5972850678733032,0.016927603334783537,0.016927603334783537,0.03704614579828375,0.15547421151060736,-0.7525087260034906,0.10887724189312667
ma100,40,0.2,0.05,20,1251,6151,0.6330935251798561,0.026434995380217704,0.02814883235158056,0.05752380952380953,0.23421284593788103,-1.662794674205463,0.11286740176168181
ma100,40,0.2,0.05,40,1093,5215,0.6614821591948765,0.041488454485389396,0.04824518360709582,0.09929503524823746,0.33665308756306944,-2.865122126436782,0.12323800380300046
ma100,40,0.2,0.05,60,1031,4981,0.6100872938894277,-0.01864311451432642,0.006619838398665266,0.08588452845695504,0.47660454363433363,-3.8320228734810575,-0.039116527031328556
ma100,40,0.3,0.03,10,577,1814,0.6533795493934142,0.03267879437958279,0.03267879437958279,0.04844144903117109,0.1586571893288293,-0.9164531009738597,0.2059710909907364
ma100,40,0.3,0.03,20,542,1684,0.6826568265682657,0.06441803104909331,0.06483038716898311,0.08666902107780744,0.22048408359172053,-1.2234970169802661,0.2921663550480081
