group,n,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20
01_1봉,587,-6.2,-6.21,-6.42,-6.41,-6.44,-6.56,-6.5,-6.54,-6.53,-6.28,-6.59,-6.6,-6.6,-6.61,-6.58,-6.47,-6.58,-6.48,-6.6,-6.67
02_2~3봉,1392,-1.94,-5.05,-7.08,-6.99,-7.06,-6.94,-6.81,-6.76,-6.79,-6.77,-6.9,-6.88,-6.95,-6.84,-6.91,-6.84,-6.65,-6.7,-6.62,-6.74
03_4~6봉,3234,-0.46,-0.9,-1.48,-3.04,-4.27,-5.3,-5.24,-5.24,-5.24,-5.17,-5.29,-5.18,-5.1,-5.14,-5.23,-5.27,-5.32,-5.34,-5.38,-5.44
04_7~10봉,4991,1.13,1.7,2.13,2.39,2.42,2.3,1.66,0.88,0.28,-0.28,-0.15,-0.15,-0.11,-0.17,-0.12,-0.02,-0.02,-0.06,-0.13,-0.2
05_11~20봉,2810,1.04,2.23,3.46,4.54,5.89,7.1,8.12,9.29,10.2,10.79,10.54,10.31,9.94,9.77,9.31,8.97,8.75,8.45,8.22,8.17
06_21봉+,384,1.04,2.26,3.06,4.12,5.3,6.38,7.67,9.35,10.88,12.76,14.31,16.17,17.98,19.72,21.39,22.81,24.34,25.71,26.67,27.86
