symbol,score,verdict,s_1m,s_1w,s_1d,m_1w,m_1d,v_1w,acc_w,acc_d,ret_30d,ret_90d,last_close,dist_ma10,dist_ma20,risk_flags,cut,Name,Marcap
029460,25.0,watch,A2,A2,A4,pullback_ma20,pullback_ma50,normal,0.0,0.0,0.141,0.254,35500.0,-0.03,-0.066,,False,케이씨,398392340250
011760,25.0,watch,A2,A2,A4,pullback_ma10,breaking,normal,0.0,0.0,0.031,0.379,28200.0,0.024,-0.034,,False,현대코퍼레이션,385624358900
001750,25.0,watch,A2,A2,A4,pullback_ma20,breaking,normal,0.0,0.0,-0.035,0.339,24750.0,-0.036,-0.105,parabolic,False,한양증권,306121242700
069960,25.0,watch,A1,A2,A4,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.392,0.211,110000.0,-0.028,-0.007,,False,현대백화점,2316071548800
078520,25.0,watch,A1,A2,A4,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.176,0.374,13600.0,-0.038,-0.051,,False,에이블씨엔씨,345728199690
229640,25.0,skip,A3,A4,A4,breaking,pullback_ma20,distribution_suspect,0.0,0.0,0.855,1.406,84200.0,-0.015,0.017,"parabolic,drawdown_deep,distribution_suspect",False,LS에코에너지,2498990126400
006405,25.0,watch,A1,A2,A4,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.335,0.956,311000.0,0.004,-0.035,parabolic,False,삼성SDI우,495076176000
000150,25.0,watch,A2,A2,A4,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.323,1.099,1593000.0,-0.018,-0.022,parabolic,False,두산,29343229020000
033920,24.8,watch,B3,A3,B2,pullback_ma20,breaking,normal,0.0,0.6,-0.074,-0.069,8100.0,-0.03,-0.06,,False,무학,228285000000
001450,24.0,pass,B5,A2,A2,riding,pullback_ma10,normal,0.0,0.0,0.276,0.39,38650.0,0.119,0.182,accumulation_suspect,False,현대해상,3149922837500
001560,24.0,watch,A1,A4,B1,pullback_ma50,breaking,normal,0.0,0.0,-0.029,0.088,10400.0,-0.028,-0.074,,False,제일연마,78660000000
012800,24.0,watch,B4,A2,A4,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.185,0.244,1653.0,0.004,0.014,drawdown_deep,False,대창,154027443310
456040,24.0,watch,B4,A2,A4,pullback_ma10,breaking,normal,0.0,0.0,0.328,1.228,123000.0,-0.014,-0.075,drawdown_deep,False,OCI,1119957124500
093370,24.0,skip,A1,A4,A5,pullback_ma10,breaking,distribution_suspect,0.0,0.0,0.33,0.752,12910.0,0.043,-0.008,"drawdown_deep,distribution_suspect",False,후성,1407189929600
