정의,총_트리거,시간_수,시간당_평균,시간당_중앙값,시간당_최대,0건_시간_비율_%,1건이상_시간_비율_%,5건이상_시간_비율_%,10건이상_시간_비율_%
(A) body>=5%,1680,721,2.3300970873786406,2.0,22,19.00138696255201,80.99861303744798,13.176144244105409,1.1095700416088765
(B) + 윗꼬리 짧음,655,721,0.9084604715672677,1.0,12,48.82108183079057,51.17891816920943,1.6643550624133148,0.4160887656033287
