550 USDT-M perpetual symbols on Bitget (granularity=1d)
[ 110/550] BTCUSDT              rows=  2498  ( 5.3s)
[ 106/550] BROCCOLIUSDT         rows=   452  ( 5.6s)
[ 109/550] BSVUSDT              rows=  1098  ( 5.9s)
[ 108/550] BSBUSDT              rows=    48  ( 6.4s)
[ 113/550] C98USDT              rows=  1443  ( 4.2s)
[ 112/550] BZUSDT               rows=    41  ( 5.4s)
[ 114/550] CAKEUSDT             rows=   776  ( 5.6s)
[ 115/550] CARVUSDT             rows=   577  ( 6.1s)
[ 111/550] BUSDT                rows=   355  ( 6.4s)
[ 118/550] CCUSDT               rows=    18  ( 4.2s)
[ 119/550] CELOUSDT             rows=  1181  ( 5.2s)
[ 116/550] CATIUSDT             rows=   599  ( 6.0s)
[ 117/550] CBRSUSDT             rows=     0  ( 7.3s)
[ 120/550] CELRUSDT             rows=  1104  ( 8.1s)
[ 125/550] CHILLGUYUSDT         rows=   536  ( 4.8s)
[ 121/550] CETUSUSDT            rows=   552  ( 5.0s)
[ 122/550] CFGUSDT              rows=    57  ( 5.4s)
[ 123/550] CFXUSDT              rows=  1175  ( 6.5s)
[ 124/550] CGPTUSDT             rows=   507  ( 6.9s)
[ 126/550] CHIPUSDT             rows=    21  ( 4.2s)
[ 127/550] CHRUSDT              rows=  1131  ( 6.3s)
[ 130/550] CLANKERUSDT          rows=   197  ( 7.1s)
[ 128/550] CHZUSDT              rows=  1481  ( 7.3s)
[ 129/550] CKBUSDT              rows=  1144  ( 8.4s)
[ 133/550] COAIUSDT             rows=   228  ( 4.4s)
[ 131/550] CLOUSDT              rows=   209  ( 5.5s)
[ 134/550] COHRUSDT             rows=    20  ( 6.3s)
[ 132/550] CLUSDT               rows=    57  ( 6.3s)
[ 135/550] COINUSDT             rows=   258  ( 6.4s)
[ 136/550] COMPUSDT             rows=  1404  ( 4.3s)
[ 140/550] COSTUSDT             rows=    71  ( 5.3s)
[ 137/550] COOKIEUSDT           rows=   490  ( 5.9s)
[ 139/550] COPUSDT              rows=    61  ( 6.4s)
[ 138/550] COPPERUSDT           rows=    64  ( 7.6s)
[ 141/550] COTIUSDT             rows=  1151  ( 4.2s)
[ 145/550] CROSSUSDT            rows=   312  ( 5.4s)
[ 143/550] CRCLUSDT             rows=   266  ( 6.4s)
[ 144/550] CRDOUSDT             rows=    14  ( 7.5s)
[ 142/550] COWUSDT              rows=   552  ( 8.1s)
[ 147/550] CRVUSDT              rows=  1608  ( 4.2s)
[ 148/550] CRWVUSDT             rows=    14  ( 5.3s)
[ 149/550] CTKUSDT              rows=   377  ( 5.6s)
[ 146/550] CROUSDT              rows=   546  ( 7.0s)
[ 150/550] CTSIUSDT             rows=   564  ( 7.7s)
[ 152/550] CVCUSDT              rows=   580  ( 4.3s)
[ 155/550] CYSUSDT              rows=   151  ( 4.9s)
[ 153/550] CVXUSDT              rows=   526  ( 5.9s)
[ 151/550] CUSDT                rows=   302  ( 6.7s)
[ 154/550] CYBERUSDT            rows=   995  ( 6.8s)
[ 158/550] DEXEUSDT             rows=   504  ( 5.0s)
[ 160/550] DOGEUSDT             rows=  1817  ( 5.4s)
[ 156/550] DASHUSDT             rows=   189  ( 6.6s)
[ 159/550] DIAUSDT              rows=   587  ( 6.9s)
[ 157/550] DEEPUSDT             rows=   573  ( 8.2s)
[ 163/550] DOODUSDT             rows=   368  ( 4.7s)
[ 164/550] DOTUSDT              rows=  2080  ( 5.4s)
[ 162/550] DOLOUSDT             rows=   383  ( 5.7s)
[ 161/550] DOGSUSDT             rows=   624  ( 6.0s)
[ 165/550] DRAMUSDT             rows=     1  ( 7.5s)
[ 170/550] EGLDUSDT             rows=  1601  ( 4.3s)
[ 169/550] EDGEUSDT             rows=    42  ( 5.4s)
[ 167/550] DYDXUSDT             rows=  1608  ( 5.6s)
[ 168/550] DYMUSDT              rows=   804  ( 6.4s)
[ 166/550] DRIFTUSDT            rows=   550  ( 7.2s)
