asset,symbol,entry_dt,ret_1w,ret_2w,ret_4w,ret_8w,ret_13w,ret_26w,ret_52w,peak_8w,trough_8w,peak_13w,trough_13w,peak_26w,trough_26w,peak_52w,trough_52w
crypto,1000SATSUSDT,2026-05-04,-3.0112923462986108,,,,,,,-3.0112923462986108,-3.0112923462986108,-3.0112923462986108,-3.0112923462986108,-3.0112923462986108,-3.0112923462986108,-3.0112923462986108,-3.0112923462986108
crypto,AAVEUSDT,2023-10-16,6.724884216902449,12.407405070479417,15.45246898779704,26.240803604103856,21.66121928750806,14.912358189366891,100.49720480042402,29.68085509130145,6.724884216902449,37.194452506846034,6.724884216902449,62.058478351400126,4.985929356536234,104.28302815390636,-1.2821321757126691
crypto,ADAUSDT,2023-11-13,0.862293544521453,2.8968894909602527,51.31818892304487,36.83634658469232,61.45730214140575,21.554733496587296,83.16573750846663,55.09300265721877,0.862293544521453,61.45730214140575,0.862293544521453,90.02500911790759,0.862293544521453,90.02500911790759,-14.760589798363988
crypto,APEUSDT,2024-11-04,-3.3763209743865374,23.410352856886973,69.38026150814973,21.010209564750127,-38.473938742611494,-40.73078989790435,-64.68744402650906,69.38026150814973,-3.3763209743865374,69.38026150814973,-38.473938742611494,69.38026150814973,-65.260612573885,69.38026150814973,-65.260612573885
crypto,APTUSDT,2024-10-07,-1.9034536891679776,-9.733124018838312,6.995682888540022,42.45486656200941,-13.412480376766101,-52.707025117739406,-61.73076923076923,42.45486656200941,-19.66248037676609,42.45486656200941,-19.66248037676609,42.45486656200941,-57.38716640502355,42.45486656200941,-61.73076923076923
crypto,ARBUSDT,2025-08-04,14.821160848147375,24.009423859498824,6.211180124223614,-7.474834011565646,-35.93917327050761,-75.09102591561361,,24.009423859498824,-7.903191261512099,24.009423859498824,-35.93917327050761,24.009423859498824,-75.09102591561361,24.009423859498824,-81.088027414864
crypto,ATOMUSDT,2023-11-20,-3.826350328117112,7.935386168601721,13.356890459363967,-2.6552246340232233,4.815749621403342,-15.194346289752636,-11.691065118626954,13.356890459363967,-5.047955577990915,13.356890459363967,-9.581019687026748,33.07420494699647,-17.344775365976783,33.07420494699647,-61.615345784957086
crypto,ATOMUSDT,2024-12-02,-10.10759056361663,-36.817688283486326,-27.549106702201165,-51.86062580199389,-62.491363142828945,-57.911361168690156,-78.53025367683348,-10.10759056361663,-51.86062580199389,-10.10759056361663,-62.491363142828945,-10.10759056361663,-62.491363142828945,-10.10759056361663,-78.53025367683348
crypto,AVAXUSDT,2023-11-13,-7.79499299719888,-3.9740896358543276,77.77485994397762,54.38550420168069,76.49247198879554,55.88672969187674,52.065826330532225,108.70535714285717,-7.79499299719888,108.70535714285717,-7.79499299719888,155.7247899159664,-7.79499299719888,155.7247899159664,-10.718662464985984
crypto,AVAXUSDT,2025-08-04,5.151222786190712,8.31830194219556,3.5110533159947943,26.15881538655145,-25.39116573681781,-61.9572968664793,,38.59641763496791,-1.904442300432052,38.59641763496791,-25.39116573681781,38.59641763496791,-61.9572968664793,38.59641763496791,-63.954024917152566
crypto,AXSUSDT,2023-11-20,0.6902940473344499,16.985417164714313,36.41375806837197,16.31305283289506,21.55898876404494,15.580922782691854,24.44716710494861,36.41375806837197,0.6902940473344499,36.41375806837197,0.6902940473344499,87.95571360267749,0.6902940473344499,87.95571360267749,-35.199019842218505
crypto,CFXUSDT,2025-07-28,-3.895144914159132,-18.84807088794537,-12.290012922281711,-32.92412774598487,-52.464463725309216,-74.77847517075872,,-3.895144914159132,-32.92412774598487,-3.895144914159132,-52.464463725309216,-3.895144914159132,-74.77847517075872,-3.895144914159132,-78.62285397821672
crypto,CHZUSDT,2024-11-25,23.454818711253054,5.889535975953408,-21.238023670862304,-32.472290061995125,-49.69002442231824,-62.89686267142589,-71.70768363704678,23.454818711253054,-32.472290061995125,23.454818711253054,-51.0802179222243,23.454818711253054,-65.06669171519819,23.454818711253054,-73.92447867743753
