symbol,트리거_A,트리거_B,7일변화_%,최대body_%,최소간격_h,첫_트리거,마지막_트리거,현재_close
GOATUSDT,2,1,-10.185185185185178,5.558840922531045,2,06-03 11:00,06-03 13:00,0.01455
ICNTUSDT,4,0,-10.649750096116879,7.953063885267279,1,05-30 02:00,06-01 22:00,0.2324
ZAMAUSDT,2,0,-12.698863636363642,7.264705882352941,103,05-30 19:00,06-04 02:00,0.03073
ETHFIUSDT,2,1,-13.775379079928035,5.5920114122681905,149,05-29 01:00,06-04 06:00,0.3355
XANUSDT,2,2,-13.962229556288964,9.198578760363194,89,05-30 05:00,06-02 22:00,0.009385
EULUSDT,3,2,-15.156507413509058,6.1135371179039355,38,05-28 21:00,06-04 06:00,1.03
BASUSDT,4,1,-18.81701712853363,10.2607774119072,1,05-30 23:00,06-01 13:00,0.023319
GUNUSDT,2,0,-19.884393063583808,15.855181023720355,2,05-31 20:00,05-31 22:00,0.00693
SOXSUSDT,2,0,-20.78907435508346,6.408345752608044,35,05-28 12:00,05-29 23:00,5.22
NILUSDT,4,3,-23.520336605890602,7.8422415105832,9,05-29 18:00,06-02 16:00,0.05453
GENIUSUSDT,7,2,-36.18256910477426,11.349957007738611,2,05-28 11:00,06-03 14:00,0.45274
SLXUSDT,3,0,-42.3469387755102,7.402031930333824,3,06-02 05:00,06-02 23:00,0.2373
BSBUSDT,4,0,-49.90018227584411,15.574807375321043,22,05-29 02:00,06-02 14:00,0.23088
UBUSDT,12,2,-50.33455132159636,17.63463569165788,1,05-29 02:00,06-03 23:00,0.10466
EDGEUSDT,8,3,-55.77388580378756,84.01455767077267,1,05-30 10:00,06-03 23:00,0.6212
