MA20w_대비_구간,최고가_표본수,최고가_비율,최저가_표본수,최저가_비율
-100% ~ -75%,0,0.0,8,0.012232415902140673
-75% ~ -50%,0,0.0,26,0.039755351681957186
-50% ~ -40%,0,0.0,36,0.05504587155963303
-40% ~ -30%,0,0.0,107,0.1636085626911315
-30% ~ -25%,0,0.0,76,0.1162079510703364
-25% ~ -20%,0,0.0,72,0.11009174311926606
-20% ~ -15%,0,0.0,97,0.14831804281345565
-15% ~ -10%,0,0.0,88,0.1345565749235474
-10% ~ -5%,14,0.021406727828746176,78,0.11926605504587157
-5% ~ +0%,52,0.07951070336391437,53,0.08103975535168195
+0% ~ +5%,84,0.12844036697247707,10,0.01529051987767584
+5% ~ +10%,72,0.11009174311926606,3,0.0045871559633027525
+10% ~ +15%,62,0.09480122324159021,0,0.0
+15% ~ +20%,69,0.10550458715596331,0,0.0
+20% ~ +25%,41,0.06269113149847094,0,0.0
+25% ~ +30%,27,0.04128440366972477,0,0.0
+30% ~ +40%,58,0.08868501529051988,0,0.0
+40% ~ +50%,34,0.05198776758409786,0,0.0
+50% ~ +75%,52,0.07951070336391437,0,0.0
+75% ~ +100%,34,0.05198776758409786,0,0.0
+100% ~ +500%,52,0.07951070336391437,0,0.0
