combo,tf,ma_len,window,last_date,close,ma,px_vs_ma_pct,ma_slope_last3_pct,verdict,a_pct,b_pct,vertex_pos,r2,symbol
1d_MA20,1D,20,10,2026-06-15,5370.0,5669.0,-5.274298818133705,-1.004103728280803,low_a,0.0006859791352613334,-0.4948000168293671,40.072486772329384,0.9994658360633858,000020
1w_MA10,1W,10,10,2026-06-21,5370.0,5817.0,-7.684373388344512,-1.7564600574227374,low_a,-0.025786800798483264,-0.31075623079892284,-0.6694989106752652,0.9609144964587804,000020
1w_MA20,1W,20,10,2026-06-21,5370.0,5975.0,-10.125523012552307,-1.1416280608868346,low_a,-0.0195638483011711,-0.12523355122725516,-0.3556263269639446,0.9763912416463395,000020
1M_MA10,1M,10,10,2026-06-30,5370.0,6040.0,-11.092715231788075,-3.11196663458454,low_a,-0.14117964507533345,0.7695013419293781,0.30280621918847206,0.9729994922133011,000020
1M_MA20,1M,20,10,2026-06-30,5370.0,6208.0,-13.498711340206182,-3.3322952351292456,low_a,0.050471553351818674,-2.197646602925716,2.4190156599552752,0.9977183098737323,000020
1d_MA20,1D,20,10,2026-06-15,340.0,351.0,-3.1339031339031376,-1.5427769985974726,low_a,0.04800402366629044,-1.5233483312355847,1.7629868578256471,0.9991018756288611,000040
1w_MA10,1W,10,10,2026-06-21,340.0,389.2,-12.641315519013363,-4.185130477597243,low_a,-0.21989004388184233,1.4614828097398311,0.36924586487244443,0.9878425152162396,000040
1w_MA20,1W,20,10,2026-06-21,340.0,397.5,-14.465408805031444,-2.4898810253894177,low_a,-0.01822563260259567,-0.7398877811349276,-2.2553333333331924,0.9972037314230006,000040
1M_MA10,1M,10,10,2026-06-30,340.0,432.8,-21.441774491682075,-10.207468879668047,low_a,-0.3754854070927126,2.847244854733035,0.42126875430962857,0.8807036988179759,000040
1M_MA20,1M,20,10,2026-06-30,340.0,444.65,-23.53536489373664,-4.40718047941524,vertex_out,0.3677895845965738,-6.571776351400792,0.9926835926835922,0.9883565490726857,000040
1d_MA20,1D,20,10,2026-06-15,8700.0,8917.0,-2.4335538858360484,-1.1419068736141957,low_a,0.04518140703921522,-1.3134423623824378,1.6150231901592653,0.9972672665037394,000050
1w_MA10,1W,10,10,2026-06-21,8700.0,9395.0,-7.3975518893028225,-1.4476030630441672,low_r2,-0.08302167789129465,0.4001778463430467,0.267786717147822,0.8011776037954962,000050
1w_MA20,1W,20,10,2026-06-21,8700.0,9593.0,-9.308871051808609,-0.45140870648057163,low_r2,-0.0444317850060831,0.5393505265778606,0.6743802469136039,0.8292819856088304,000050
1M_MA10,1M,10,10,2026-06-30,8700.0,8607.0,1.0805158591843833,3.053160919540221,low_a,-7.220770178864542e-16,2.752155107356484,211746811180593.53,0.9776411269921774,000050
1M_MA20,1M,20,10,2026-06-30,8700.0,7709.5,12.847785200077833,3.261451915349589,vertex_out,0.17956947746329896,-0.46461768882978327,0.14374432775833199,0.9709533937291775,000050
1d_MA20,1D,20,10,2026-06-15,57100.0,56965.0,0.23698762397963424,-0.8700948403375985,low_a,0.05329966415743127,-1.3553940546781618,1.4127606786025817,0.9983605477333154,000070
1w_MA10,1W,10,10,2026-06-21,57100.0,61960.0,-7.843770174306009,-3.202624589907832,low_a,-0.11076858144365875,-0.5486236227076304,-0.27516006572609913,0.9886463868966117,000070
1w_MA20,1W,20,10,2026-06-21,57100.0,65805.0,-13.22847807917331,-0.52154195011338,low_a,-0.06035180282079058,0.6088877323372224,0.5604985213350363,0.9492338636964225,000070
1M_MA10,1M,10,10,2026-06-30,57100.0,63545.9,-10.143691410460786,0.08804536147424269,low_a,-0.23708899971983743,5.20009532737431,1.2185052246013433,0.9820255716999136,000070
1M_MA20,1M,20,10,2026-06-30,57100.0,55365.25,3.13328306112588,1.3336298378742395,low_a,-0.018058282339191656,1.7816981728404107,5.4813204249024965,0.986256561500156,000070
1d_MA20,1D,20,10,2026-06-15,16020.0,16326.5,-1.8773160199675343,-0.3752745911642652,low_a,0.004202655637428025,-0.268910250933892,3.5547662416516697,0.979069785422617,000080
1w_MA10,1W,10,10,2026-06-21,16020.0,16722.0,-4.1980624327233595,-1.1117681845062122,low_r2,-0.007850387318487579,-0.17331514184487332,-1.2265151515144423,0.849531653228062,000080
1w_MA20,1W,20,10,2026-06-21,16020.0,16982.0,-5.664821575786128,-0.9622674520324281,low_a,0.0044391973931106055,-0.5391148916639441,6.746901446902459,0.9993211911665504,000080
1M_MA10,1M,10,10,2026-06-30,16020.0,17637.0,-9.168225888756588,-3.97974738675958,low_a,-0.1493792133807828,0.21664400693969066,0.0805719744462419,0.9953320289965039,000080
1M_MA20,1M,20,10,2026-06-30,16020.0,18675.5,-14.219164145538276,-2.4828990653229632,low_a,-0.057552573606774605,-0.29939364765455845,-0.2890049807137617,0.9994400459271181,000080
1d_MA20,1D,20,10,2026-06-15,12940.0,13293.5,-2.659194343100013,-0.7132720890283051,low_a,8.401700773038154e-05,-0.3910879687196651,258.6037037053148,0.9984419267500374,000087
1w_MA10,1W,10,10,2026-06-21,12940.0,13594.0,-4.810946005590699,-1.5640839971035492,low_a,-0.04491813649243968,-0.013777069087511171,-0.017039725751151313,0.9910911184315447,000087
1w_MA20,1W,20,10,2026-06-21,12940.0,13875.5,-6.742099383805988,-1.0200806077683033,low_a,-0.0015199995135994843,-0.5056798381824543,-18.482456140359133,0.9997209168066582,000087
1M_MA10,1M,10,10,2026-06-30,12940.0,14423.0,-10.282188171670247,-3.5573386827148057,low_a,-0.12843312782036062,0.40392792730195354,0.17472470527270442,0.9961927153801503,000087
1M_MA20,1M,20,10,2026-06-30,12940.0,14997.0,-13.716076548643063,-1.999607920015678,low_a,-0.06044766792921509,-0.030347196552222448,-0.027891156462588947,0.9985413972520546,000087
1d_MA20,1D,20,10,2026-06-15,78900.0,81160.0,-2.7846229669788114,-1.0967584694126287,low_a,0.011581713210622877,-0.7274860124697502,3.489629629628791,0.9975458886744253,000100
1w_MA10,1W,10,10,2026-06-21,78900.0,86340.0,-8.617095205003478,-3.3146696528555397,low_a,0.013622991275786579,-1.9094906246331318,7.787042532147059,0.9960731582631246,000100
1w_MA20,1W,20,10,2026-06-21,78900.0,94200.0,-16.242038216560506,-3.0914047631294683,low_a,-0.017881114305867887,-1.2133935945707717,-3.7699415204683393,0.99971990419257,000100
1M_MA10,1M,10,10,2026-06-30,78900.0,104000.0,-24.134615384615387,-6.111763112756163,low_a,-0.15487466222089968,0.4259645627815499,0.15279902853673427,0.9562341095033309,000100
1M_MA20,1M,20,10,2026-06-30,78900.0,109475.0,-27.928750856359898,-5.089080584333949,low_a,-0.3786726030020873,3.73039793735866,0.5472915870074617,0.9482148042222552,000100
1d_MA20,1D,20,10,2026-06-15,66200.0,69015.0,-4.078823444178803,-1.2731564265789252,low_a,-0.008832353289006523,-0.5193370366243333,-3.266633098355836,0.9982193747568076,000105
1w_MA10,1W,10,10,2026-06-21,66200.0,73250.0,-9.624573378839596,-4.981190815929438,low_a,-0.017642940403169508,-1.9995549696299482,-6.296364702434036,0.9978988556474339,000105
1w_MA20,1W,20,10,2026-06-21,66200.0,81475.0,-18.748082233814056,-3.6425994914552673,low_a,-0.014754705913582918,-1.532964547298125,-5.772036228368128,0.9997306178839385,000105
1M_MA10,1M,10,10,2026-06-30,66200.0,90680.0,-26.996029995588888,-7.1567523292720425,low_a,-0.20532554743107287,0.5114431331335206,0.13838271833097154,0.982045573729317,000105
1M_MA20,1M,20,10,2026-06-30,66200.0,97180.0,-31.878987445976538,-6.346070447646124,low_a,-0.4447991687905704,4.132077342734753,0.5160977548549313,0.920344321778952,000105
1d_MA20,1D,20,10,2026-06-15,85300.0,84965.0,0.39427999764609645,-1.2895730467615496,low_a,0.02810751842936766,-1.251223415596505,2.4730896166541245,0.9971859639322509,000120
1w_MA10,1W,10,10,2026-06-21,85300.0,92830.0,-8.111601852849294,-4.338417147568007,low_a,0.09678402283681536,-3.525446165986168,2.0236617015062017,0.9990440084461188,000120
1w_MA20,1W,20,10,2026-06-21,85300.0,105585.0,-19.212009281621445,-1.7905311133847968,low_a,-0.09029947302980802,0.5481441021083303,0.33723840345200085,0.9935994949226118,000120
1M_MA10,1M,10,10,2026-06-30,85300.0,96360.0,-11.47779161477792,-0.1761110535584809,low_a,0.005717773377178033,1.7027028290374189,-16.54395782644265,0.9012763775040935,000120
1M_MA20,1M,20,10,2026-06-30,85300.0,90655.0,-5.907010093210518,-0.5539710399297904,low_r2,0.13119732880733848,-1.2818885995497995,0.5428161834979277,0.5100480779460399,000120
1d_MA20,1D,20,10,2026-06-15,8380.0,8388.5,-0.10132920069142459,-0.5158918406072077,low_a,0.029026909851014828,-0.7537867487326037,1.4426972010178227,0.9959574381982722,000140
1w_MA10,1W,10,10,2026-06-21,8380.0,8766.0,-4.403376682637461,-1.4834794335805812,low_a,-0.02309453004594412,-0.48299724736586236,-1.1618846694794314,0.9951737291043057,000140
1w_MA20,1W,20,10,2026-06-21,8380.0,9052.5,-7.428887047776856,-1.2328841852599415,low_a,-0.006629667428224973,-0.5550129803193945,-4.650920245398205,0.99928357021312,000140
1M_MA10,1M,10,10,2026-06-30,8380.0,9346.0,-10.335972608602606,-3.8872891814068278,low_a,-0.2400327351730169,2.246920603660281,0.5200495771361926,0.8772576097628343,000140
1M_MA20,1M,20,10,2026-06-30,8380.0,9358.0,-10.450951057918356,-1.302536518483366,low_a,-0.07674236919684932,0.7713934019562796,0.5584293193717366,0.9519946496565687,000140
1d_MA20,1D,20,10,2026-06-15,9770.0,10125.0,-3.506172839506172,-1.6703894338156777,low_a,0.00833210335616995,-0.8771504581646704,5.848532948533721,0.9965676678938391,000145
1w_MA10,1W,10,10,2026-06-21,9770.0,10847.0,-9.929012630220335,-3.633617626154939,low_a,-0.14110448261513464,0.4367695942905791,0.17196461098100585,0.9952327933999753,000145
1w_MA20,1W,20,10,2026-06-21,9770.0,11295.5,-13.505378247974853,-2.1568712373857712,low_a,-0.05930369486460991,-0.26754842641953785,-0.2506387081224214,0.9956367094521695,000145
1M_MA10,1M,10,10,2026-06-30,9770.0,11675.0,-16.3169164882227,-4.318964104245204,low_a,-0.28158543757976384,2.9562243509008956,0.583249927882505,0.9122983559482862,000145
1M_MA20,1M,20,10,2026-06-30,9770.0,11515.0,-15.154146765089017,-1.3831199417633666,low_a,-0.05369522647973668,0.402026548558644,0.4159551922494755,0.868822245080996,000145
