봉_인덱스,종가변화율_평균_퍼센트,종가변화율_중앙값_퍼센트,MA10거리_평균_퍼센트,MA10거리_중앙값_퍼센트
t+1,0.09467720995360603,-0.04693513564253684,6.224760733677618,5.295125529666449
t+2,0.31061776845309635,-0.15661707126076466,5.523967376340184,4.757616689179056
t+3,0.47069963674186815,-0.20964360587002892,4.768731273389132,3.9958191055872243
t+4,0.46240117484120247,-0.5457025920873139,3.8755999445125937,3.1342212297631304
t+5,0.7279870332190371,-0.4696840307429599,3.285267970237269,2.6338315664713265
t+6,0.5207867023776898,-0.3927151342594782,2.256864974848268,1.7415250069978738
t+7,0.6817383459270189,-0.43376106994398494,1.6097610550848913,1.066745372517617
t+8,0.8228978734654491,-0.3149559944661862,0.9529406713905035,0.4076775601048836
t+9,0.7163409908293294,-0.38400841662281976,0.11175131290931692,-0.17446512665118025
t+10,0.8411208399988241,-0.37704231252618264,0.13389271669212327,-0.18493428404719936
