KST_시간,(A)_시간당_평균_트리거,(B)_시간당_평균_트리거
0,3.0,1.0666666666666667
1,3.033333333333333,1.2666666666666666
2,3.033333333333333,1.3666666666666667
3,1.5666666666666667,0.4666666666666667
4,1.4,0.6666666666666666
5,1.4666666666666666,0.4666666666666667
6,2.066666666666667,0.9333333333333333
7,1.0666666666666667,0.43333333333333335
8,0.7,0.36666666666666664
9,3.1,1.2333333333333334
10,2.3333333333333335,0.7666666666666667
11,2.0,0.7666666666666667
12,1.6333333333333333,0.5
13,2.3333333333333335,1.1
14,2.066666666666667,0.6666666666666666
15,2.033333333333333,1.0333333333333334
16,2.3333333333333335,0.6666666666666666
17,2.8,1.0
18,2.2666666666666666,0.7666666666666667
19,2.8666666666666667,0.9666666666666667
20,1.8333333333333333,0.5
21,2.1333333333333333,0.8666666666666667
22,4.5,1.9666666666666666
23,4.433333333333334,2.0
