symbol,ts_kst,close,body_pct,prev_range_pct,breakout_pct,prev_max,close_now,change_now_pct
GWEIUSDT,2026-06-04 04:00,0.10665,6.415885052883646,9.610960050198708,1.7555576757942892,0.10481,0.09974,-6.4791373652133135
VELVETUSDT,2026-06-03 22:00,0.10422,6.054747125267118,8.37502719164674,4.596547571256511,0.09964,0.10465,0.4125887545576796
HAEDALUSDT,2026-06-03 19:00,0.02862,6.512839598064748,9.729729729729735,0.7037297677691724,0.02842,0.02712,-5.241090146750529
MAGMAUSDT,2026-06-03 15:00,0.3001,8.331528409501116,9.685081602942313,4.820118756549067,0.2863,0.44613,48.66044651782741
SUSHIUSDT,2026-06-03 13:00,0.2166,7.868525896414333,10.807974816369365,2.556818181818176,0.2112,0.2167,0.046168051708225646
COHRUSDT,2026-06-02 22:00,416.4,9.005235602094235,10.790867262783234,8.760382385206071,382.86,401.88,-3.4870317002881803
MELANIAUSDT,2026-06-02 18:00,0.1047,9.748427672955978,8.498896247240618,6.51068158697864,0.0983,0.0871,-16.80993314231137
EULUSDT,2026-06-02 16:00,1.385,5.564024390243898,10.56051990251827,1.7634092578986054,1.361,1.03,-25.63176895306859
JOEUSDT,2026-06-02 02:00,0.04133,5.541368743615931,6.429330499468647,3.1702446330504253,0.04006,0.03461,-16.259375756109357
USARUSDT,2026-06-01 23:00,30.54,5.674740484429068,7.395020438498694,5.674740484429068,28.9,27.38,-10.347085789129013
MRVLUSDT,2026-06-01 23:00,214.33,6.679607784580169,4.548885422432456,3.157337440438948,207.77,289.17,34.91811692250268
IONQUSDT,2026-06-01 23:00,72.14,6.338443396226411,6.308962264150944,0.027731558513582943,72.12,66.16,-8.289437205433885
QUBTUSDT,2026-06-01 23:00,12.451,9.200140326258563,6.051569900017553,2.9689050611974857,12.092,11.004,-11.621556501485832
INFQUSDT,2026-06-01 23:00,17.236,7.029309488325891,7.334264668529333,1.970064485594285,16.903,17.095,-0.818055233232779
ARMUSDT,2026-06-01 09:00,386.49,5.110144139243954,10.62210554260936,3.058503546477529,375.02,391.97,1.4178892080002117
PIXELUSDT,2026-06-01 07:00,0.00744,6.437768240343359,8.289514382926075,6.2553556126820915,0.007002,0.006286,-15.51075268817205
VELVETUSDT,2026-05-31 19:00,0.1006,7.59358288770053,6.518388020259865,3.9900764936944264,0.09674,0.10465,4.025844930417507
KITEUSDT,2026-05-31 11:00,0.20876,5.588993981083408,8.015307192283496,1.3152147537005534,0.20605,0.19233,-7.870281663153861
BANDUSDT,2026-05-31 01:00,0.2075,5.063291139240497,7.890499194847031,3.233830845771133,0.201,0.194,-6.506024096385535
MAGMAUSDT,2026-05-30 23:00,0.28665,9.141791044776133,9.215978116577503,5.580110497237568,0.2715,0.44613,55.635792778649915
OUSTUSDT,2026-05-30 00:00,46.79,6.36508297340304,10.714285714285726,1.9834350479511695,45.88,42.45,-9.275486215003198
APRUSDT,2026-05-29 23:00,0.18919,6.874929386509991,8.8534194165471,3.8991707397440796,0.18209,0.2299,21.51805063692584
PANWUSDT,2026-05-29 22:00,273.32,5.0261297264063876,6.271578861854664,4.4681420326415155,261.63,272.5,-0.30001463486023455
SMCIUSDT,2026-05-28 23:00,41.021,7.208007735932894,7.89738712023723,6.357437320127558,38.569,45.15,10.065576168304034
ARMUSDT,2026-05-28 22:00,322.43,5.077399380804948,10.02597935325083,0.17398328517724618,321.87,391.97,21.56747200942841
