MA20w_대비_구간,최고가_표본수,최고가_비율,최저가_표본수,최저가_비율
-100% ~ -50%,0,0.0,37,0.05817610062893082
-50% ~ -40%,0,0.0,38,0.059748427672955975
-40% ~ -30%,1,0.0015723270440251573,92,0.14465408805031446
-30% ~ -25%,1,0.0015723270440251573,81,0.12735849056603774
-25% ~ -20%,0,0.0,86,0.13522012578616352
-20% ~ -15%,2,0.0031446540880503146,101,0.15880503144654087
-15% ~ -10%,8,0.012578616352201259,79,0.12421383647798742
-10% ~ -5%,16,0.025157232704402517,70,0.11006289308176101
-5% ~ +0%,32,0.050314465408805034,35,0.055031446540880505
+0% ~ +5%,73,0.11477987421383648,10,0.015723270440251572
+5% ~ +10%,56,0.0880503144654088,3,0.0047169811320754715
+10% ~ +15%,71,0.11163522012578617,1,0.0015723270440251573
+15% ~ +20%,60,0.09433962264150944,1,0.0015723270440251573
+20% ~ +25%,51,0.08018867924528301,2,0.0031446540880503146
+25% ~ +30%,31,0.04874213836477988,0,0.0
+30% ~ +40%,56,0.0880503144654088,0,0.0
+40% ~ +50%,33,0.05188679245283019,0,0.0
+50% ~ +100%,90,0.14150943396226415,0,0.0
+100% ~ +500%,52,0.08176100628930817,0,0.0
