symbol,pass_gate,bar_dt,close,ma20w,slope_4w,n_weeks,reason
DOODUSDT,False,2026-05-18,0.00259,0.0034685000000000002,-0.1449947001257179,55,below MA20 + slope<0
DOTUSDT,False,2026-05-18,1.245,1.42935,-0.08512817230454128,299,below MA20 + slope<0
DRAMUSDT,False,,,,,2,insufficient (<24w)
DRIFTUSDT,False,2026-05-18,0.027,0.076635,-0.2634790965881788,81,below MA20 + slope<0
DYDXUSDT,False,2026-05-18,0.146,0.1251700000000001,-0.045159813868334786,232,slope<0
DYMUSDT,False,2026-05-18,0.02622,0.034632500000000004,-0.223155604405464,117,below MA20 + slope<0
EDGEUSDT,False,,,,,8,insufficient (<24w)
EGLDUSDT,False,2026-05-18,3.911,4.478700000000001,-0.09377497647784849,231,below MA20 + slope<0
EIGENUSDT,False,2026-05-18,0.2225,0.21606999999999998,-0.15999611235299838,86,slope<0
ELSAUSDT,False,,,,,18,insufficient (<24w)
ENAUSDT,False,2026-05-18,0.09869,0.11997950000000002,-0.16314779940015334,112,below MA20 + slope<0
ENJUSDT,True,2026-05-18,0.04005,0.031613999999999996,0.12003117692907228,220,pass
ENSOUSDT,False,2026-05-18,0.7869,1.05654,0.038557378982911006,32,below MA20
ENSUSDT,False,2026-05-18,6.218,6.637449999999999,-0.09673666017990568,210,below MA20 + slope<0
EPICUSDT,False,2026-05-18,0.2291,0.330275,-0.17702830658825885,63,below MA20 + slope<0
ERAUSDT,False,2026-05-18,0.1271,0.14943,-0.08611094122683616,45,below MA20 + slope<0
ESPUSDT,False,,,,,15,insufficient (<24w)
ETCUSDT,False,2026-05-18,8.905,9.0847,-0.07040019646566442,344,below MA20 + slope<0
ETHFIUSDT,False,2026-05-18,0.3679,0.49021,-0.12235251991764395,114,below MA20 + slope<0
ETHUSDT,False,2026-05-18,2098.93,2272.1394999999998,-0.06646297471058848,355,below MA20 + slope<0
ETHWUSDT,False,2026-05-18,0.2679,0.33318,-0.1264747522416234,85,below MA20 + slope<0
ETNUSDT,False,,,,,2,insufficient (<24w)
EULUSDT,False,2026-05-18,1.226,1.26935,-0.21023487323067347,32,below MA20 + slope<0
EWHUSDT,False,,,,,7,insufficient (<24w)
EWJUSDT,False,,,,,10,insufficient (<24w)
EWTUSDT,False,,,,,9,insufficient (<24w)
EWYUSDT,False,,,,,10,insufficient (<24w)
FARTCOINUSDT,False,2026-05-18,0.1795,0.20784000000000002,-0.11061662886730272,75,below MA20 + slope<0
FETUSDT,False,2026-05-18,0.2083,0.204495,-0.017724619929389673,169,slope<0
FFUSDT,False,2026-05-18,0.08516,0.0765415,-0.055981401200041914,34,slope<0
FIDAUSDT,False,2026-05-18,0.03631,0.020332,-0.1392587261604894,88,slope<0
FIGHTUSDT,False,,,,,18,insufficient (<24w)
FILUSDT,False,2026-05-18,0.9558,0.998245,-0.06770115854996794,292,below MA20 + slope<0
FLOCKUSDT,False,2026-05-18,0.06561,0.063383,-0.07718626473221757,39,slope<0
FLOKIUSDT,False,2026-05-18,2.928e-05,3.255e-05,-0.07660884242776711,160,below MA20 + slope<0
FLUIDUSDT,False,2026-05-18,1.621,2.08255,-0.09935994464386111,35,below MA20 + slope<0
FLUXUSDT,False,2026-05-18,0.07463,0.07078100000000001,-0.08281501062561547,90,slope<0
FLYUSDT,False,,,,,6,insufficient (<24w)
