asset,symbol,interval,entry_dt,entry_close,score,+1w,+2w,+4w,+8w
crypto,1000000MOGUSDT,1w,2024-12-30,2.8913,70.0,-36.64,-40.31,-68.6,-74.61
crypto,1000000MOGUSDT,1w,2025-04-21,0.6033,65.0,-4.39,90.93,98.01,21.28
crypto,1000000MOGUSDT,1w,2025-05-05,1.1519,65.0,-3.14,3.71,-25.66,-12.61
crypto,1000000MOGUSDT,1w,2025-05-19,1.1946,60.0,-20.87,-28.32,-38.75,34.89
crypto,1000000MOGUSDT,1w,2025-06-23,1.0565,80.0,-4.71,80.32,59.09,3.51
crypto,1000000MOGUSDT,1w,2025-07-07,1.9051,80.0,-15.42,-11.77,-19.27,-55.71
crypto,1000000MOGUSDT,1w,2025-08-04,1.5379,80.0,-24.12,-28.89,-45.14,-46.67
crypto,1000000MOGUSDT,1w,2026-04-20,0.1574,60.0,-0.64,7.88,,
crypto,1000BONKUSDT,1w,2024-07-15,0.032439,65.0,-13.82,-38.98,-45.61,-49.27
crypto,1000BONKUSDT,1w,2024-09-23,0.022916,80.0,-4.36,-8.11,-6.85,108.53
crypto,1000BONKUSDT,1w,2024-10-14,0.024221,65.0,-11.87,-25.7,111.63,51.86
crypto,1000BONKUSDT,1w,2024-11-04,0.025457,80.0,101.36,87.72,80.39,35.07
crypto,1000BONKUSDT,1w,2025-01-13,0.032455,65.0,-16.15,-40.86,-46.39,-68.04
crypto,1000BONKUSDT,1w,2025-04-21,0.018645,65.0,-11.82,19.29,12.05,-34.51
crypto,1000BONKUSDT,1w,2025-05-05,0.022242,65.0,-7.26,-6.07,-29.05,-0.96
crypto,1000BONKUSDT,1w,2025-05-19,0.020892,60.0,-19.27,-24.47,-41.55,57.11
crypto,1000BONKUSDT,1w,2025-06-30,0.022028,90.0,19.58,49.01,18.43,1.02
crypto,1000BONKUSDT,1w,2025-08-11,0.023823,60.0,-6.22,-6.59,3.27,-35.19
crypto,1000BONKUSDT,1w,2025-09-08,0.024603,70.0,-9.21,-20.46,-37.24,-47.45
crypto,1000BONKUSDT,1w,2025-12-29,0.011962,65.0,-12.61,-19.58,-41.43,-51.35
crypto,1000BONKUSDT,1w,2026-05-04,0.007721,65.0,-12.5,,,
crypto,1000RATSUSDT,1w,2024-06-24,0.14393,65.0,-39.77,-30.04,-7.98,-19.36
crypto,1000RATSUSDT,1w,2024-07-15,0.12537,65.0,5.64,-33.17,-26.71,-23.91
crypto,1000RATSUSDT,1w,2024-09-16,0.13139,70.0,15.92,3.59,1.21,-16.81
crypto,1000RATSUSDT,1w,2024-11-04,0.12005,70.0,-8.95,-13.86,6.23,-39.06
crypto,1000RATSUSDT,1w,2024-12-02,0.12753,65.0,-29.03,-51.0,-42.63,-83.88
