symbol,last_close,1d_MA10,1d_MA20,4h_MA10,4h_MA20,1h_MA10,1h_MA20
AINUSDT,0.08627,-4.749174764052267,-11.307604060693965,3.7647341833052517,5.915140205274283,2.4207239614868703,3.944768422574585
AKTUSDT,0.8355,10.09789792774436,12.394891371897465,-4.274698960827672,-5.261904626915603,-2.1101100162856823,-4.276892407456212
APRUSDT,0.17465,4.746801737298667,11.49953074708845,-1.6122853666231007,-0.5814830521740921,-0.3366811230312794,-0.8512655443245754
ARCUSDT,0.06507,-1.0073048827374365,-1.8757478982629805,0.7384701128605453,0.8860671178399615,0.8962351919617806,1.1259528638366323
BABYUSDT,0.01579,-3.435067342147524,-8.374124336840849,0.8301404853128913,-0.663709854990413,1.706924315619962,1.8578247968004113
BANANAS31USDT,0.011104,2.838689240083059,-2.85160909555654,-3.1250545270541497,-4.4960973616874895,-0.5890884348869196,-1.9626886096960283
BANUSDT,0.09106,14.973776644372784,21.842553110121045,-4.525247441704416,-3.5687811076988263,-2.0438898450946597,-3.443522519417863
BASUSDT,0.026754,19.034830580995198,18.0477499559877,0.08417036081027618,8.282033536104127,-4.714078126335575,-2.2854481870725585
BRUSDT,0.12977,-0.2892141546694815,-7.419254057753244,2.314030039027082,4.299951776241762,0.1968883913060271,2.0112175392948073
BUSDT,0.2492,-17.321138615501862,-35.715758012985674,1.0133765707336817,0.8763940332341402,0.32610008454445616,0.8763940332341402
CETUSUSDT,0.0243,-6.968694715791079,-16.15105981039533,-0.4995495864384636,-2.0575965820922804,0.7922352648388475,0.6086200471991043
CYSUSDT,0.45977,2.6776652486557584,4.755400359105999,-0.39083657225059687,0.4155132216197899,-0.7059880485229098,-1.549339354675705
DASHUSDT,43.65,-2.87448669880378,-4.8919872810516125,-0.38795070743953275,-2.2659083784873024,0.5621342671520146,0.46607975142411995
DEXEUSDT,16.459,12.90533878496618,21.427618016521578,-0.5708762497357078,-1.1889860449479261,-1.2663391341383612,-0.38553020995358844
DOGSUSDT,5.139e-05,-4.169674088057295,-15.461914596615522,-0.6246011641173332,-0.9196598993579608,0.5852302753909688,0.1666520480659628
ENJUSDT,0.03942,-7.492427110942835,-12.732874189335508,0.17534497217348566,-1.4783249815678023,0.29258364075817056,0.6600870753163068
GRASSUSDT,0.4989,23.296437628878188,34.97839878566145,-6.07349951050532,-6.8695165204405555,-1.3075903542956624,-2.273239243494185
HOLOUSDT,0.0728,-4.932770789795349,-5.861988182315114,0.8435954620382047,-0.1049721103510648,0.8114769989198578,1.0016926107827562
HUSDT,0.26743,5.892049537174016,8.144624496033014,3.624112183573125,7.379181857604045,0.06885042245721174,3.149486335383367
HYPEUSDT,60.469,7.996838391785643,22.28405337778061,-0.7781015765499721,-1.864396327035367,-1.8357202458449517,-0.9567081769803587
JCTUSDT,0.003148,-4.816547503457203,-5.439770833942292,-2.571879545665545,-8.574747694765106,0.5590161316083808,-0.1744093863960683
JSTUSDT,0.09558,1.8618265704741122,4.194029518487996,1.4531211854241999,2.145941093489512,0.5861738736937294,1.2441012441012367
JTOUSDT,0.5279,6.943897943545885,4.091916952227392,1.2466436517069246,2.308184267136948,1.4256071318782926,1.912180619504067
JUPUSDT,0.1976,-2.3632147614583765,-8.551096324022101,-0.44838530908357654,-1.2123484564429354,1.7245817245817197,0.9321925679989906
KITEUSDT,0.20803,-3.4871158310921024,3.0404617751938368,-0.7580419713861808,1.3253193966167975,-0.128661821044862,-0.30598772694490073
LABUSDT,4.70889,0.7463274645715279,-4.016084587805613,4.85184348943688,7.01187305036528,8.080075228611117,7.068079404124594
LUMIAUSDT,0.10125,2.5625839058674993,-4.7108078487478995,-1.9180470793373927,-3.884946721408711,-0.024685262898049842,-0.7362672914971169
LUNCUSDT,9.256e-05,11.851611938811102,5.84761197460788,6.899498764234369,10.076468419613004,1.8306636155606348,2.8638742873653866
MONUSDT,0.02474,-5.427880254006656,-13.951128918542455,-1.817604571791398,-3.029827930858775,-0.45066795428939654,-0.45867868351170404
MORPHOUSDT,2.2008,12.596294822122234,11.592697639116366,-1.371336380747501,-2.003303959853764,-1.6349480195585797,-1.7912126161343078
MUSDT,3.02596,-2.6660565286136473,-7.476972929852277,1.05362993043705,1.9619682896108603,-1.2709333021850844,-0.2988602585707323
NEARUSDT,2.5617,23.704242424242427,41.10945191084565,-2.2348927205697144,-0.6661806675766324,1.3643450115146338,0.964835528649477
OPENUSDT,0.1856,-6.331575984030302,-5.570319151680902,0.24304617877397572,0.07279001428839305,0.7709849060701268,0.7409015659347817
ORCAUSDT,1.308,-5.509041018785621,-10.040860071002754,-1.6910935738444155,-5.4024734215665005,0.5457760012299362,-0.30487804878046587
ORDIUSDT,4.076,-2.3032020125540287,-11.028070643711906,1.312388148737309,1.2167866898435742,1.6915323586647268,1.8923580731444956
PIEVERSEUSDT,0.70027,-7.098172113332923,-13.468466556034887,-0.8656752337606433,-2.1268715386362547,0.9874203768839518,0.6435108168024062
QUSDT,0.01736,-9.958097493505369,-5.130390593701339,-3.090930405220571,-3.3504437194490477,-0.23103182722038484,-1.1352925934046354
RENDERUSDT,2.211,17.02127659574466,17.610774133854214,-3.3653846153846145,1.2501717268855517,-0.8208854797470022,-2.1789625041477856
REZUSDT,0.004358,-8.718910509153677,-21.39265132327569,1.599291276169157,-0.23007978388526196,2.4543915741959577,2.4845085658518062
SAFEUSDT,0.1398,-3.4215167548500847,-5.997871390805798,0.4815640048875247,-1.9291476674850982,-0.1785076758300641,1.2309920347574277
