symbol,ts,i,close,body_pct,wick,p168_cum_ret_pct,breakout_pct,burst_count,fwd_t+24h_pct,fwd_t+72h_pct,fwd_t+168h_pct,close_now,change_now_pct,ts_kst
COHRUSDT,2026-06-02 13:00:00+00:00,992,416.4,9.005235602094235,0.96062552359676,9.406200735680493,7.677587856533319,1,-0.2833813640729947,,,401.88,-3.4870317002881803,2026-06-02 22:00
IDOLUSDT,2026-06-02 10:00:00+00:00,8546,0.0333,8.398437500000009,0.9591078066914502,30.94769956744004,2.1472392638037,1,-11.051051051051058,,,0.02666,-19.93993993993995,2026-06-02 19:00
MELANIAUSDT,2026-06-02 09:00:00+00:00,11958,0.1047,9.748427672955978,0.9687500000000006,13.557483731019518,6.51068158697864,1,-10.12416427889207,,,0.0871,-16.80993314231137,2026-06-02 18:00
MERLUSDT,2026-06-01 16:00:00+00:00,13544,0.03046,7.25352112676056,0.9406392694063934,7.366936905181536,3.4295415959252984,1,-11.12934996717006,,,0.0251,-17.596848325673015,2026-06-02 01:00
WUSDT,2026-06-01 03:00:00+00:00,18910,0.01363,6.40124902419984,0.9879518072289162,12.366034624896946,6.40124902419984,1,-5.429200293470282,,,0.01192,-12.545854732208362,2026-06-01 12:00
PIXELUSDT,2026-05-31 22:00:00+00:00,19929,0.00744,6.437768240343359,0.9656652360515032,10.271231658514896,6.2553556126820915,1,-1.9623655913978533,-9.018817204301083,,0.006286,-15.51075268817205,2026-06-01 07:00
HOMEUSDT,2026-05-31 06:00:00+00:00,8519,0.03117,8.304378040305767,1.0,35.99476439790576,7.445708376421918,1,18.86429258902791,52.1013795316009,,0.03812,22.29708052614694,2026-05-31 15:00
ARCUSDT,2026-05-30 17:00:00+00:00,11956,0.07949,6.000800106680896,0.9036144578313264,24.183721293547897,5.7751164337990835,1,-5.220782488363317,-10.630267958233738,,0.07422,-6.629764750283068,2026-05-31 02:00
MAGMAUSDT,2026-05-30 14:00:00+00:00,3652,0.28665,9.141791044776133,0.9917389508467584,26.31648525977175,5.580110497237568,1,-7.374847374847373,-5.156113727542304,,0.44613,55.635792778649915,2026-05-30 23:00
ALGOUSDT,2026-05-30 01:00:00+00:00,37166,0.1348,5.891594658287516,0.9493670886075969,20.14260249554368,5.891594658287516,1,-8.086053412462913,-11.943620178041545,,0.1033,-23.36795252225519,2026-05-30 10:00
