Symbol,Name,Fri_close,Mon_close,ret_pct,bucket
028050,삼성E&A,47600.0,52100.0,9.453781512605042,drop
007340,DN오토모티브,40300.0,43850.0,8.808933002481389,drop
004710,한솔테크닉스,12130.0,12860.0,6.018136850783183,drop
008060,대덕,20500.0,21500.0,4.878048780487805,drop
004020,현대제철,34950.0,36650.0,4.86409155937053,drop
047040,대우건설,21850.0,22900.0,4.805491990846682,drop
012205,계양전기우,9160.0,9600.0,4.8034934497816595,drop
002990,금호건설,3850.0,4015.0,4.285714285714286,drop
009470,삼화전기,32000.0,33300.0,4.0625,drop
001060,JW중외제약,27050.0,28050.0,3.6968576709796674,drop
016590,신대양제지,10240.0,10580.0,3.3203125,drop
003160,디아이,28400.0,29300.0,3.169014084507042,drop
001800,오리온홀딩스,25900.0,26700.0,3.088803088803089,drop
001940,KISCO홀딩스,23250.0,23950.0,3.010752688172043,drop
005680,삼영전자,13320.0,13650.0,2.4774774774774775,drop
017670,SK텔레콤,103000.0,105400.0,2.3300970873786406,drop
033530,SJG세종,6910.0,7040.0,1.881331403762663,drop
001755,한양증권우,23300.0,23700.0,1.7167381974248928,drop
078935,GS우,53600.0,54500.0,1.6791044776119404,drop
015230,대창단조,6150.0,6250.0,1.6260162601626018,drop
003545,대신증권우,20300.0,20600.0,1.477832512315271,drop
012630,HDC,21150.0,21450.0,1.4184397163120568,drop
012200,계양전기,6120.0,6200.0,1.3071895424836601,drop
003530,한화투자증권,5850.0,5900.0,0.8547008547008548,drop
161890,한국콜마,86400.0,87000.0,0.6944444444444444,drop
025000,KPX케미칼,50600.0,50700.0,0.1976284584980237,drop
227840,현대코퍼레이션홀딩스,12100.0,12120.0,0.1652892561983471,drop
078000,텔코웨어,14280.0,14290.0,0.0700280112044818,drop
009190,대양금속,1904.0,1905.0,0.052521008403361345,drop
008420,문배철강,2235.0,2235.0,0.0,drop
214320,이노션,21050.0,21050.0,0.0,drop
003650,미창석유,125900.0,125900.0,0.0,drop
005690,파미셀,14690.0,14680.0,-0.06807351940095302,drop
267290,경동도시가스,20350.0,20300.0,-0.2457002457002457,drop
015360,INVENI,15330.0,15280.0,-0.32615786040443573,drop
036570,NC,263000.0,261500.0,-0.5703422053231939,drop
002450,삼익악기,1306.0,1298.0,-0.6125574272588056,drop
003240,태광산업,946000.0,935000.0,-1.1627906976744187,drop
281820,케이씨텍,87100.0,85800.0,-1.4925373134328357,drop
088790,진도,2620.0,2575.0,-1.717557251908397,drop
035000,HS애드,7480.0,7240.0,-3.2085561497326207,drop
092200,디아이씨,9940.0,8950.0,-9.959758551307846,drop
448730,삼성FN리츠,5020.0,5380.0,7.171314741035857,both
005380,현대차,607000.0,647000.0,6.589785831960461,both
025540,한국단자,72900.0,76800.0,5.349794238683128,both
001250,GS글로벌,2980.0,3120.0,4.697986577181208,both
000370,한화손해보험,6500.0,6720.0,3.3846153846153846,both
004150,한솔홀딩스,3530.0,3640.0,3.1161473087818696,both
004365,세방우,9550.0,9780.0,2.408376963350785,both
084670,동양고속,36150.0,36700.0,1.5214384508990317,both
007070,GS리테일,24550.0,24850.0,1.2219959266802443,both
034590,인천도시가스,26200.0,26450.0,0.9541984732824428,both
014910,성문전자,2100.0,2120.0,0.9523809523809524,both
454910,두산로보틱스,110400.0,111400.0,0.9057971014492754,both
002780,진흥기업,896.0,904.0,0.8928571428571428,both
007120,미래아이앤지,1291.0,1291.0,0.0,both
013000,세우글로벌,1361.0,1357.0,-0.2939015429831006,both
