TF,hold_봉,표본수,윈율,평균_숏수익,중위_숏수익,p25,p75,표준편차,최대손실,Sharpe,squeeze_플20이상_손실_비율
4h,6,33311,0.5127135180570983,-0.0011415203782867975,0.0011614401858304202,-0.028582165573444618,0.030771681691759367,0.0666303623530954,-1.0,-0.017132135230445236,0.009696496652757347
4h,12,33295,0.5211292986934976,-0.0006656974459920552,0.0027586206896551557,-0.03859110723950665,0.043575084210691006,0.09044266310576714,-1.0,-0.007360436138568398,0.021564799519447366
4h,24,33263,0.5501909028049183,0.001021771251492875,0.00967920353982299,-0.04906072628055558,0.0656230314885673,0.12272132618389775,-1.0,0.008325946950424509,0.042660012626642214
1h,6,94581,0.5232340533510959,0.0007958689899484695,0.001109309668060443,-0.012151536812008645,0.0151898734177216,0.032719077360867065,-1.0,0.02432431028450549,0.0014802127277148687
1h,12,94571,0.5303634306499878,0.0013296357452539267,0.001974333662389083,-0.016347531983726404,0.021839458017441526,0.04323905372843488,-1.0,0.030750805824863166,0.0031933679457761895
1h,24,94428,0.5243148218748677,0.0007533265226196125,0.002380244185717084,-0.024689713396048474,0.031158887399355656,0.061559078241482726,-1.0,0.012237456182571127,0.008207311390689202
1h,48,94287,0.5415062521874702,0.0026535649206342747,0.005512896239417309,-0.033855353456079484,0.04642878558584351,0.08704767516481948,-1.0,0.030484041252220817,0.019069436931920626
