asset,variant,n,win%,mean%,median%,held_w,total%,MDD%,Sharpe_ann,PF
crypto,curl_OFF,31,35.483870967741936,13.942012727598557,-5.550799289520425,4.161290322580645,859.4469375394517,-41.41875209522371,0.6937570963705074,3.08138608568176
crypto,a_only,28,35.714285714285715,14.070478216536106,-5.218529112591824,4.071428571428571,704.0526757716602,-37.814575084306924,0.6581328899619813,3.2290078538020155
crypto,a_r2_0.70,25,36.0,14.72143511890559,-5.550799289520425,4.28,589.9333516752899,-38.45529645103346,0.6279162221462201,3.3661814413963627
crypto,a_r2_0.80,22,36.36363636363637,16.600557611970345,-7.630848874725688,4.2727272727272725,575.3043157448727,-38.45529645103346,0.627456318587607,3.485920447378309
crypto,a_r2_0.85,22,36.36363636363637,16.600557611970345,-7.630848874725688,4.2727272727272725,575.3043157448727,-38.45529645103346,0.627456318587607,3.485920447378309
crypto,accel_streak_3,14,28.57142857142857,12.511951526763971,-9.620462383223316,3.357142857142857,101.64935450922536,-44.39500632024047,0.38774847472785196,2.5394729676954184
crypto,accel_streak_4,4,75.0,52.72783921332174,43.21608594111623,6.25,314.58584277602614,-14.353483675530132,0.7676691897168354,15.694088321767454
crypto,a_r2_0.80_streak_3,12,33.33333333333333,16.919687564941388,-9.261932814682138,3.75,172.92264377087827,-31.47573951470394,0.46089201833346694,3.3632217028740192
crypto,a_r2_0.85_streak_3,12,33.33333333333333,16.919687564941388,-9.261932814682138,3.75,172.92264377087827,-31.47573951470394,0.46089201833346694,3.3632217028740192
kr,curl_OFF,114,61.40350877192983,13.808433591687825,14.091260965607933,25.289473684210527,9538221.987922717,-63.792798647839845,2.304244421464993,3.6004933324722064
kr,a_only,98,60.204081632653065,12.826480906035039,14.091260965607933,25.051020408163264,762902.2556851255,-65.88171064366266,1.9878043248087387,3.242422653156805
kr,a_r2_0.70,93,62.365591397849464,14.183867425481683,17.480429594272085,24.419354838709676,1992815.0126901518,-62.3103129962844,2.2125190080079102,3.81846874613522
kr,a_r2_0.80,88,62.5,14.670866539632357,22.781944120444308,24.125,1659521.2608588575,-62.3103129962844,2.2097805024926243,3.957581352064712
kr,a_r2_0.85,81,59.25925925925925,13.334775027005294,13.681762917933138,25.098765432098766,275287.93769618287,-62.31031299628441,1.9051703723038376,3.5040978788500574
kr,accel_streak_3,26,50.0,5.292058809230657,1.2946931729591329,23.23076923076923,56.338889105609134,-83.33109324843961,0.42837431533043724,1.6356403558810935
kr,accel_streak_4,10,30.0,0.17711318686223,-10.21811237422559,20.3,-17.15080367973123,-41.81170631960733,0.01070705087832474,1.0207943008961171
kr,a_r2_0.80_streak_3,24,50.0,6.748339510801436,1.2946931729591329,22.666666666666668,165.15789710963168,-63.12647078545288,0.5821142625940411,2.0017943804422016
kr,a_r2_0.85_streak_3,23,47.82608695652174,5.647478232394215,-0.7065040650406471,22.956521739130434,100.77353948676956,-63.12647078545288,0.4794509024939978,1.8034388484259172
us,curl_OFF,38,52.63157894736842,12.07063993150106,16.61779615298097,24.68421052631579,2922.87538846678,-56.915568641204615,1.2547539648585038,3.102853962443097
us,a_only,32,43.75,8.104905766899675,-2.8261873370913237,25.15625,451.503291046573,-68.15015354245904,0.7784708928372008,2.1890309782638573
us,a_r2_0.70,28,46.42857142857143,9.841907500934521,-1.2641343699969831,24.571428571428573,609.637333054511,-65.30166111912371,0.8880756959629077,2.616980696849634
us,a_r2_0.80,28,46.42857142857143,9.841907500934521,-1.2641343699969831,24.571428571428573,609.637333054511,-65.30166111912371,0.8880756959629077,2.616980696849634
us,a_r2_0.85,26,46.15384615384615,10.223437352062845,-1.2641343699969831,23.884615384615383,548.6030930144414,-65.3016611191237,0.8610855077401102,2.5898624753116324
us,accel_streak_3,8,50.0,9.811561394141892,11.117450751046254,21.875,78.18500842880934,-19.250774958603,0.5058717880562771,2.5802633236138646
us,accel_streak_4,5,40.0,4.46187199906334,-11.138603968873472,16.8,11.083491635387798,-21.827709710686605,0.18066623340699073,1.5380778948461045
us,a_r2_0.80_streak_3,7,57.14285714285714,12.385970860356665,30.44420637145402,19.714285714285715,94.12099252022507,-18.29364046354157,0.5865647726322881,3.0911545599225994
us,a_r2_0.85_streak_3,6,50.0,8.954431994358327,9.652801201290274,17.333333333333332,45.98284988377876,-18.29364046354157,0.39099780372961157,2.2958279174512555
