이격_측정시점_일전,과거_이격_이하_pct,현재_근접_이내_pct,보유기간_일,표본수_중복제거,표본수_원본,윈율,평균_숏수익_capped,평균_숏수익_raw,중위_숏수익,p25_숏수익,p75_숏수익,표준편차,최대손실,Sharpe_like
20,0.2,0.03,10,643,1807,0.6127527216174183,0.018955628197216003,0.018955628197216003,0.050333202665621246,-0.07105544010877662,0.1438602542623436,0.1754281286512424,-0.9109042553191491,0.1080535279202601
20,0.2,0.03,20,608,1737,0.6759868421052632,0.031209284068939885,0.028891116627481603,0.07334867191564909,-0.06933702649839307,0.16682629899288426,0.23636308184908086,-2.3025089605734763,0.12223193402905763
20,0.2,0.03,40,532,1529,0.6860902255639098,0.0586655972609436,0.05116927079878873,0.10556220237067038,-0.04709052612553205,0.2516340576166365,0.33177890708439645,-2.6759377392191888,0.1542270159620862
20,0.2,0.03,60,516,1492,0.624031007751938,0.007335579530016987,-0.004554747083190209,0.07919398916262371,-0.13902758053666187,0.2191075255782364,0.37645970047041516,-2.280667570315147,-0.01209889684738819
20,0.2,0.05,10,793,3057,0.617906683480454,0.016799257348290214,0.016767200319581656,0.051053864168618235,-0.06727444199937138,0.14463111760409053,0.18711066490085665,-1.0254212237658886,0.08961114177252272
20,0.2,0.05,20,744,2925,0.6532258064516129,0.02225326883717268,0.018901711265452724,0.06664153172543952,-0.07602232913303825,0.16385217893835993,0.25381334856661814,-2.3025089605734763,0.07447091089652288
20,0.2,0.05,40,651,2543,0.6835637480798771,0.048342512637975794,0.03793143181297848,0.096369515389653,-0.07435001592610302,0.2564948455823267,0.35807733295165334,-2.6759377392191888,0.10593083762188286
20,0.2,0.05,60,626,2484,0.6086261980830671,0.0061594479993854504,-0.013749084469746766,0.07452994369379956,-0.15091615680548787,0.22724794114761787,0.41983935104832004,-2.4669532509403544,-0.03274844160133136
20,0.2,0.08,10,969,5096,0.6212590299277606,0.018310702338523607,0.018310702338523607,0.05110602593440117,-0.07633011398539358,0.14388835418671808,0.1824642245114472,-0.85347127688538,0.10035228761994851
20,0.2,0.08,20,907,4863,0.6449834619625138,0.025137788188475257,0.02257237341129812,0.06026365348399254,-0.07115664639901309,0.15865862319500168,0.2400465816419345,-2.3025089605734763,0.0940333049398229
20,0.2,0.08,40,799,4153,0.6683354192740926,0.0475660638674529,0.04116294613623369,0.10075287865367577,-0.07926529128934867,0.23860520610207359,0.3346858319193682,-2.0709035222052066,0.12298980778532204
20,0.2,0.08,60,765,4040,0.6065359477124183,0.009218075540624879,-0.009335761574106562,0.06928471248246848,-0.17002237136465337,0.23345825794779018,0.4242716511878128,-3.543634302984511,-0.022004207794628
20,0.3,0.03,10,277,613,0.6787003610108303,0.04376580694545214,0.04376580694545214,0.08933333333333326,-0.048524203069657545,0.16323568223805762,0.18168202169251457,-0.9109042553191491,0.24089233782043123
20,0.3,0.03,20,266,598,0.7218045112781954,0.07589285381588412,0.07589285381588412,0.11327151182177625,-0.037754514973901365,0.2280167752618928,0.21082490679054133,-0.8269966828272519,0.35998049268099597
20,0.3,0.03,40,240,532,0.7583333333333333,0.14192855255957293,0.13494547864615966,0.1705383878179707,0.007342895923053039,0.3261200413310824,0.3023042138093096,-2.6759377392191888,0.4463896713371051
20,0.3,0.03,60,236,524,0.7161016949152542,0.07989473430893511,0.07231873951449158,0.12568552316484222,-0.06467789596354706,0.26769560291334327,0.3330014908554696,-2.0311303904057154,0.21717241964505077
20,0.3,0.05,10,364,1019,0.6923076923076923,0.047471020622160895,0.047471020622160895,0.08840123210919032,-0.04281370438345872,0.17125257585422254,0.1886663528052988,-0.8721117678667383,0.25161360208807537
20,0.3,0.05,20,349,995,0.7191977077363897,0.07723296990302211,0.07723296990302211,0.11763357028204546,-0.03343949044585992,0.22151450813871199,0.2158813941282574,-0.8269966828272519,0.35775649038627755
20,0.3,0.05,40,314,884,0.7738853503184714,0.14545370216505063,0.14011632082995767,0.169973546686279,0.014091443718784069,0.3250987914213114,0.2896038655036152,-2.6759377392191888,0.4838206167804364
20,0.3,0.05,60,307,872,0.7003257328990228,0.08423246005089662,0.07007791024865437,0.13262004400534966,-0.06052582988973565,0.2805482634837738,0.37258797048904985,-2.4669532509403544,0.18808419970368828
20,0.3,0.08,10,477,1702,0.6729559748427673,0.04304465316723113,0.04304465316723113,0.07773995915588838,-0.04805443334042092,0.16323568223805762,0.17744574458045942,-0.7599792638672886,0.24257923608708093
20,0.3,0.08,20,459,1655,0.7189542483660131,0.06734321645866169,0.06661804659011511,0.09871307399824514,-0.01811296388126238,0.21516484332317437,0.21839110523929628,-1.2375886524822697,0.305040109198221
20,0.3,0.08,40,407,1455,0.7493857493857494,0.1311788342436186,0.1292110627203592,0.15446608462055067,-0.0006934440213667847,0.3148611604498999,0.27203577424061215,-1.6952092511013213,0.4749782012349364
20,0.3,0.08,60,397,1422,0.672544080604534,0.06454386106438788,0.05494474832484732,0.11994685898652502,-0.07476579208964651,0.25816993464052274,0.35899567127128007,-2.7907396271797955,0.15305128368338333
20,0.4,0.03,10,94,173,0.723404255319149,0.04719495287917976,0.04719495287917976,0.09338491631568158,-0.022144795905702896,0.17074708431835767,0.20844284616183617,-0.9109042553191491,0.22641675523149085
20,0.4,0.03,20,94,173,0.6808510638297872,0.06617586014587289,0.06617586014587289,0.09915992100074733,-0.04690024396855513,0.2599747853346055,0.2503259411377861,-0.8269966828272519,0.2643587789786753
20,0.4,0.03,40,85,153,0.8235294117647058,0.18371991474431662,0.16400300016526734,0.21393880524526476,0.09557932983447726,0.3815373299006988,0.4019449986538596,-2.6759377392191888,0.40802348757796275
20,0.4,0.03,60,84,151,0.8095238095238095,0.14841758311331807,0.13614222132277384,0.1875592995256038,0.046947568920679,0.33595234080088376,0.3622161684034922,-2.0311303904057154,0.3758590399838741
20,0.4,0.05,10,129,291,0.7131782945736435,0.054589772567980026,0.054589772567980026,0.07970205786367701,-0.02450928381962858,0.17297297297297287,0.19860984524589784,-0.8721117678667383,0.27485934798646416
20,0.4,0.05,20,128,290,0.7109375,0.0739061601285391,0.0739061601285391,0.14613011323146452,-0.03602967239776239,0.2588372240884188,0.24967513763308882,-0.8269966828272519,0.29600928962798134
20,0.4,0.05,40,119,259,0.8151260504201681,0.17842321416549273,0.1643397037518861,0.2386962382061022,0.06546669945280159,0.3634062763820132,0.352352439244545,-2.6759377392191888,0.46640716920886294
20,0.4,0.05,60,117,256,0.7777777777777778,0.1463080689190615,0.12495692668533438,0.18639302783244305,0.03356811448376096,0.3387323943661972,0.40308510752865,-2.4669532509403544,0.310001347981959
20,0.4,0.08,10,175,488,0.72,0.06691681065576428,0.06691681065576428,0.08746913088504737,-0.018822266104005725,0.18402247328576576,0.1826607020690805,-0.6885147324113048,0.3663448672745
20,0.4,0.08,20,173,485,0.7052023121387283,0.08046263892911207,0.07991197813616054,0.1282051282051283,-0.016776241215143983,0.24420967086550183,0.24094744357823694,-1.0952643171806167,0.33165729816184036
20,0.4,0.08,40,160,438,0.78125,0.17684895840991066,0.1725039005905274,0.23150673892006468,0.06262353207336216,0.35637754213591666,0.28103421182547067,-1.6952092511013213,0.613818152138917
20,0.4,0.08,60,158,429,0.740506329113924,0.12491321608088315,0.10821744863065695,0.1868628511200523,-0.003184703064173122,0.3059498992020241,0.39879872887230944,-2.7907396271797955,0.2713585595838418
