MA20w_대비_위치_pct,7일내_도달_표본,7일내_도달_비율,14일내_도달_표본,14일내_도달_비율,30일내_도달_표본,30일내_도달_비율
-5%,69,0.8961038961038961,72,0.935064935064935,73,0.948051948051948
-10%,57,0.7402597402597403,60,0.7792207792207793,65,0.8441558441558441
-15%,51,0.6623376623376623,55,0.7142857142857143,63,0.8181818181818182
-20%,33,0.42857142857142855,43,0.5584415584415584,55,0.7142857142857143
-25%,18,0.23376623376623376,36,0.4675324675324675,51,0.6623376623376623
-30%,5,0.06493506493506493,20,0.2597402597402597,39,0.5064935064935064
-40%,1,0.012987012987012988,7,0.09090909090909091,21,0.2727272727272727
-50%,0,0.0,2,0.025974025974025976,9,0.11688311688311688
-75%,0,0.0,0,0.0,0,0.0
