MA20w_아래_pct,3일_표본,3일_비율,7일_표본,7일_비율,14일_표본,14일_비율,30일_표본,30일_비율
-5%,559,0.6726835138387485,641,0.7713598074608905,688,0.8279181708784596,734,0.8832731648616126
-10%,346,0.41636582430806257,473,0.5691937424789411,558,0.6714801444043321,645,0.776173285198556
-15%,184,0.2214199759326113,292,0.35138387484957884,407,0.4897713598074609,532,0.6401925391095066
-20%,80,0.09626955475330927,172,0.2069795427196149,260,0.3128760529482551,389,0.4681107099879663
-25%,33,0.039711191335740074,89,0.10709987966305656,158,0.1901323706377858,280,0.3369434416365824
-30%,23,0.027677496991576414,45,0.05415162454873646,91,0.1095066185318893,185,0.2226233453670277
-40%,8,0.009626955475330927,23,0.027677496991576414,40,0.048134777376654635,84,0.10108303249097472
-50%,4,0.0048134777376654635,13,0.015643802647412757,21,0.02527075812274368,43,0.05174488567990373
