bucket,Symbol,Name,tf,angle_deg,residence_20,Fri_ret_pct,Mon_close,today_ret_pct
A,005380,현대차,1W,1.7739848463945593,1.0,2.707275803722504,647000.0,6.589785831960461
A,004365,세방우,1M,0.6084761751871959,1.0,2.9094827586206895,9780.0,2.408376963350785
A,007070,GS리테일,1W,0.7527401943829573,0.85,4.246284501061571,24850.0,1.2219959266802443
A,014910,성문전자,1W,1.1317250725775558,0.9,0.4784688995215311,2120.0,0.9523809523809524
A,454910,두산로보틱스,1W,0.8801478376968191,0.8,7.288629737609329,111400.0,0.9057971014492754
B,000240,한국앤컴퍼니,1M,1.4443293091414502,0.9,5.405405405405405,30650.0,12.27106227106227
B,005850,에스엘,1W,1.2211375037455154,1.0,7.974481658692185,75900.0,12.112259970457902
B,195870,해성디에스,1W,1.3759275635440154,0.8,-1.257861635220126,85500.0,8.9171974522293
B,034020,두산에너빌리티,1M,5.662590817311274,0.95,6.278538812785388,99800.0,7.196562835660581
B,005387,현대차2우B,1M,1.4526157919275275,0.95,3.2119914346895073,257000.0,6.639004149377594
B,336260,두산퓨얼셀,1W,3.71644380298611,1.0,5.028735632183908,77700.0,6.292749658002736
B,055550,신한지주,1W,0.6223757397841866,0.95,2.998965873836608,105600.0,6.024096385542169
B,267260,HD현대일렉트릭,1W,0.7423513564986851,0.95,11.770524233432244,1194000.0,5.663716814159292
B,088350,한화생명,1W,1.2160978890343666,0.95,4.1928721174004195,5250.0,5.633802816901409
B,005810,풍산홀딩스,1M,1.0570976076430632,0.85,5.218617771509168,39300.0,5.361930294906166
B,322000,HD현대에너지솔루션,1W,2.9940462229895335,0.95,1.6891891891891893,158100.0,5.04983388704319
B,005389,현대차3우B,1M,1.3702977837390322,0.95,4.484304932735426,244500.0,4.935622317596566
B,078930,GS,1W,0.7258152469188849,1.0,0.0,75600.0,4.275862068965517
B,001560,제일연마,1M,0.6386416708046687,0.9,1.9689119170984457,10250.0,4.166666666666666
B,175330,JB금융지주,1M,1.846134071588907,1.0,2.6923076923076925,27550.0,3.1835205992509366
B,004150,한솔홀딩스,1W,0.6869251340396741,0.95,4.592592592592593,3640.0,3.1161473087818696
B,134380,미원화학,1M,1.1095562017938543,1.0,0.7021063189568706,10330.0,2.888446215139442
B,207940,삼성바이오로직스,1Q,0.8487812447693278,0.95,0.8566978193146416,1332000.0,2.857142857142857
B,035510,신세계 I&C,1M,1.7130441014235194,0.95,6.58520027155465,16130.0,2.7388535031847137
B,009140,경인전자,1W,0.8656696140324671,0.9,-0.7662835249042145,26600.0,2.7027027027027026
B,138930,BNK금융지주,1M,2.1205133361953137,1.0,5.24121500893389,18020.0,1.9807583474816073
B,00806K,대덕1우,1W,1.0868524094570857,0.95,2.5020850708924103,12530.0,1.9528071602929211
B,003475,유안타증권우,1M,1.193995452941213,1.0,4.691358024691358,4320.0,1.8867924528301887
B,139480,이마트,1M,1.3684357358163892,0.85,0.5675368898978433,90200.0,1.805869074492099
B,006125,SK디스커버리우,1M,0.5836006987690067,1.0,1.4725568942436411,38500.0,1.58311345646438
B,003460,유화증권,1M,1.4271789183005836,0.85,4.455445544554455,3215.0,1.579778830963665
B,039490,키움증권,1M,4.099537157900555,0.95,6.598240469208211,367500.0,1.1004126547455295
B,030200,KT,1M,1.0961350012174573,1.0,-0.5444646098003629,55400.0,1.094890510948905
B,058430,포스코스틸리온,1W,1.3550736195488735,1.0,10.433070866141732,5670.0,1.06951871657754
B,005320,온타이드,1W,0.649529825633459,0.85,-2.254283137962128,1094.0,0.9225092250922509
B,057050,현대홈쇼핑,1W,1.1173601657925656,0.95,7.5297225891677675,81900.0,0.6142506142506142
B,030210,다올투자증권,1M,0.8655788204375328,0.8,6.0606060606060606,3695.0,0.5442176870748299
B,020150,롯데에너지머티리얼즈,1W,1.6200288129474616,1.0,19.45031712473573,56800.0,0.5309734513274336
B,035420,NAVER,1M,0.8018844429570673,0.8,11.26126126126126,248000.0,0.4048582995951417
B,014440,영보화학,1M,0.8196863501363905,0.95,3.48314606741573,4615.0,0.21715526601520088
B,033920,무학,1M,0.930010879526712,0.95,1.297016861219196,7820.0,0.12804097311139565
B,009680,모토닉,1M,0.5736007320177051,0.9,0.8955223880597015,10140.0,0.0
B,090460,비에이치,1W,2.02511059814669,0.9,8.064516129032258,26800.0,0.0
B,012030,DB,1W,0.8349526763772278,0.9,-0.25329280648429586,1961.0,-0.40629761300152356
B,248070,솔루엠,1W,0.6367936374734076,0.8,5.496946141032759,18920.0,-0.42105263157894735
B,004700,조광피혁,1M,0.6858922861171658,0.95,1.9543973941368076,62300.0,-0.4792332268370607
B,111770,영원무역,1M,2.3746572845885483,0.85,2.345679012345679,82400.0,-0.6031363088057901
B,271560,오리온,1W,0.6165922050230632,0.9,0.5939123979213066,133800.0,-1.2546125461254614
B,181710,NHN,1W,1.0133428034559737,1.0,3.042071197411003,38850.0,-2.386934673366834
B,007660,이수페타시스,1M,3.9879141040346346,0.85,0.16366612111292964,118900.0,-2.8594771241830066
B,042700,한미반도체,1W,1.8443174892133523,0.95,27.56183745583039,347000.0,-3.8781163434903045
B,456040,OCI,1W,1.6939551650040194,1.0,-2.0465116279069764,97600.0,-7.31244064577398
B,000990,DB하이텍,1W,2.8016436567552536,1.0,12.669683257918551,161200.0,-7.515777395295467
B,000150,두산,1W,2.457320550366182,1.0,17.91044776119403,1709000.0,-9.862869198312236
B,012750,에스원,1M,1.0188255909116806,0.95,19.864864864864863,77500.0,-12.62683201803833
