symbol,ts_kst,close,body_pct,wick,entry_close_to_ma10_pct,t+1_close,t+1_pct,t+2_close,t+2_pct,t+3_close,t+3_pct,t+4_close,t+4_pct,t+5_close,t+5_pct,t+6_close,t+6_pct,t+7_close,t+7_pct,t+8_close,t+8_pct,t+9_close,t+9_pct,t+10_close,t+10_pct,t+11_close,t+11_pct,t+12_close,t+12_pct,t+13_close,t+13_pct,t+14_close,t+14_pct,t+15_close,t+15_pct,t+16_close,t+16_pct,t+17_close,t+17_pct,t+18_close,t+18_pct,t+19_close,t+19_pct,t+20_close,t+20_pct,close_now,change_now_pct
PARTIUSDT,2026-06-04 01:00,0.05,6.609808102345428,0.9967845659164,3.7344398340249025,0.05131,2.6199999999999974,0.05298,5.959999999999993,0.05649,12.979999999999992,0.05553,11.06,0.05462,9.239999999999998,0.05273,5.459999999999993,0.05328,6.559999999999996,0.05269,5.3799999999999955,0.05094,1.8799999999999928,,,,,,,,,,,,,,,,,,,,,,,0.05094,1.8799999999999928
OPNUSDT,2026-06-04 00:00,0.1646,17.823908375089484,0.9325842696629215,29.311022075575465,0.2071,25.82017010935602,0.2439,48.17739975698664,0.2474,50.303766707168904,0.2527,53.52369380315917,0.2403,45.99027946537061,0.2626,59.53827460510328,0.2319,40.88699878493317,0.2278,38.39611178614824,0.2067,25.5771567436209,0.2024,22.96476306196841,,,,,,,,,,,,,,,,,,,,,0.2024,22.96476306196841
OPNUSDT,2026-06-03 23:00,0.1397,8.04331013147718,0.9203539823008839,13.697403760071605,0.1646,17.823908375089484,0.2071,48.24624194702936,0.2439,74.58840372226202,0.2474,77.09377236936294,0.2527,80.88761632068719,0.2403,72.01145311381534,0.2626,87.97423049391556,0.2319,65.99856836077309,0.2278,63.06370794559773,0.2067,47.95991410164639,0.2024,44.88188976377954,,,,,,,,,,,,,,,,,,,0.2024,44.88188976377954
OPNUSDT,2026-06-03 22:00,0.1293,7.750000000000003,0.9489795918367346,7.160616608652419,0.1397,8.04331013147718,0.1646,27.300850734725447,0.2071,60.170146945088945,0.2439,88.63109048723898,0.2474,91.33797370456304,0.2527,95.43696829079659,0.2403,85.84686774941997,0.2626,103.09358081979892,0.2319,79.35034802784222,0.2278,76.17942768754834,0.2067,59.86078886310905,0.2024,56.53518948182521,,,,,,,,,,,,,,,,,0.2024,56.53518948182521
VELVETUSDT,2026-06-03 22:00,0.10422,6.054747125267118,0.9519999999999986,6.101173811681104,0.10271,-1.4488581846094777,0.10172,-2.398771828823631,0.10491,0.6620610247553349,0.10422,0.0,0.10479,0.5469199769717915,0.10529,1.0266743427365204,0.10432,0.09595087315294844,0.10669,2.3699865668777584,0.1075,3.147188639416624,0.1086,4.202648244099031,0.10762,3.2623296872001535,0.10465,0.4125887545576796,,,,,,,,,,,,,,,,,0.10465,0.4125887545576796
MAGMAUSDT,2026-06-03 21:00,0.39169,7.915472779369622,0.9563914780292931,19.44827333829395,0.39081,-0.22466746661900786,0.38319,-2.170083484388166,0.4114,5.032040644387145,0.42057,7.373177768132967,0.43063,9.941535397891197,0.44973,14.817840639281075,0.43765,11.733769052056473,0.43583,11.26911588245807,0.43993,12.315862033751182,0.43484,11.016364982511687,0.44,12.333733309504971,0.4381,11.848655824759378,0.44613,13.898746457657854,,,,,,,,,,,,,,,0.44613,13.898746457657854
MAGMAUSDT,2026-06-03 19:00,0.36533,5.855934167825686,0.9683756588404411,18.253883477861194,0.36296,-0.6487285467933056,0.39169,7.215394301042892,0.39081,6.974516190841158,0.38319,4.888730736594309,0.4114,12.610516519311307,0.42057,15.120575917663487,0.43063,17.874250677469693,0.44973,23.10240056934827,0.43765,19.79580105657898,0.43583,19.29762132866176,0.43993,20.419894342101664,0.43484,19.02663345468481,0.44,20.439055100867712,0.4381,19.918977362932143,0.44613,22.116990118522992,,,,,,,,,,,0.44613,22.116990118522992
HAEDALUSDT,2026-06-03 19:00,0.02862,6.512839598064748,0.9358288770053464,6.830907054871228,0.02838,-0.838574423480086,0.02896,1.1879804332634523,0.02868,0.20964360587002454,0.02888,0.908455625436757,0.02813,-1.7120894479385074,0.02888,0.908455625436757,0.02942,2.7952480782669533,0.02989,4.437456324248778,0.0291,1.677148846960172,0.0286,-0.06988120195667082,0.02907,1.5723270440251538,0.02898,1.257861635220123,0.02852,-0.34940600978336617,0.02811,-1.7819706498951784,0.02712,-5.241090146750529,,,,,,,,,,,0.02712,-5.241090146750529
BRUSDT,2026-06-03 18:00,0.12395,6.294485893148099,1.0,10.570918822479927,0.12463,0.5486083098023397,0.12541,1.1778943122226615,0.12735,2.743041549011687,0.12711,2.5494150867285166,0.12918,4.219443323920923,0.12563,1.3553852359822405,0.12808,3.3319887051230292,0.12979,4.711577248890668,0.12991,4.808390480032266,0.12701,2.468737394110534,0.12825,3.469140782573617,0.13097,5.663574021782976,0.12741,2.7914481645824853,0.11973,-3.4045986284792265,0.11299,-8.842275110931837,0.10972,-11.480435659540142,,,,,,,,,0.10972,-11.480435659540142
MAGMAUSDT,2026-06-03 16:00,0.33756,12.482505831389554,0.926539698243879,17.416666376800517,0.33754,-0.0059248726152446975,0.34512,2.2396018485602425,0.36533,8.226685626259023,0.36296,7.524588221353234,0.39169,16.035667733143725,0.39081,15.77497333807322,0.38319,13.517596871667243,0.4114,21.874629695461532,0.42057,24.591183789548516,0.43063,27.571394715013618,0.44973,33.22964806256665,0.43765,29.651025002962424,0.43583,29.111861594975696,0.43993,30.326460481099645,0.43484,28.81858040052138,0.44,30.347197535252985,0.4381,29.784334636805294,0.44613,32.16317099182368,,,,,0.44613,32.16317099182368
