ts,#1,#2,#3
05-23 00:00,QNTUSDT,INUSDT,2ZUSDT
05-23 01:00,CUSDT,WLDUSDT,JCTUSDT
05-23 02:00,HOMEUSDT,POLYXUSDT,TAGUSDT
05-23 03:00,GENIUSUSDT,ALLOUSDT,YBUSDT
05-23 04:00,TRXUSDT,GRASSUSDT,BANUSDT
05-23 05:00,BANKUSDT,DYMUSDT,NEARUSDT
05-23 06:00,NXPCUSDT,FLUIDUSDT,NIGHTUSDT
05-23 07:00,B2USDT,JSTUSDT,FOLKSUSDT
05-23 08:00,TAGUSDT,INUSDT,BANUSDT
05-23 09:00,MTLUSDT,QNTUSDT,YBUSDT
05-23 10:00,NXPCUSDT,ATOMUSDT,TRXUSDT
05-23 11:00,FOLKSUSDT,BANKUSDT,GENIUSUSDT
05-23 12:00,B2USDT,POLYXUSDT,NEARUSDT
05-23 13:00,1MCHEEMSUSDT,JCTUSDT,TRUSTUSDT
05-23 14:00,GMTUSDT,JSTUSDT,HOMEUSDT
05-23 15:00,USUSDT,ICXUSDT,GRASSUSDT
05-23 16:00,MTLUSDT,GMTUSDT,BANUSDT
05-23 17:00,1MCHEEMSUSDT,B2USDT,JSTUSDT
05-23 18:00,NXPCUSDT,TAGUSDT,BANKUSDT
05-23 19:00,JCTUSDT,CATIUSDT,GENIUSUSDT
05-23 20:00,INUSDT,QNTUSDT,USUSDT
05-23 21:00,NEARUSDT,GRASSUSDT,MANTAUSDT
05-23 22:00,WLDUSDT,FOLKSUSDT,TRXUSDT
05-23 23:00,MYXUSDT,HYPEUSDT,USELESSUSDT
05-24 00:00,NXPCUSDT,GRASSUSDT,NEARUSDT
05-24 01:00,B2USDT,BANUSDT,QNTUSDT
05-24 02:00,GMTUSDT,MANTAUSDT,EIGENUSDT
05-24 03:00,BICOUSDT,WLDUSDT,GRTUSDT
05-24 04:00,MEUSDT,SAFEUSDT,TIAUSDT
05-24 05:00,MTLUSDT,HOMEUSDT,USELESSUSDT
05-24 06:00,POLYXUSDT,ATOMUSDT,TRXUSDT
05-24 07:00,ICXUSDT,CATIUSDT,INJUSDT
05-24 08:00,BICOUSDT,QNTUSDT,B2USDT
05-24 09:00,BANUSDT,EIGENUSDT,WLDUSDT
05-24 10:00,MANTAUSDT,TRXUSDT,ATOMUSDT
05-24 11:00,USELESSUSDT,TRUSTUSDT,ICXUSDT
05-24 12:00,CUSDT,TAGUSDT,NXPCUSDT
05-24 13:00,PLUMEUSDT,PHAUSDT,MORPHOUSDT
05-24 14:00,POLYXUSDT,HUMAUSDT,FETUSDT
05-24 15:00,ARKMUSDT,DEXEUSDT,CCUSDT
05-24 16:00,PLUMEUSDT,QNTUSDT,DEXEUSDT
05-24 17:00,TRUSTUSDT,POLYXUSDT,PHAUSDT
05-24 18:00,VVVUSDT,BANUSDT,EIGENUSDT
05-24 19:00,NXPCUSDT,TRXUSDT,ASTERUSDT
05-24 20:00,CATIUSDT,NIGHTUSDT,HUMAUSDT
05-24 21:00,ONDOUSDT,WLDUSDT,HYPEUSDT
05-24 22:00,NEARUSDT,MORPHOUSDT,MANTAUSDT
