eval_date,next_date,bucket,Symbol,Name,today_ret_pct,next_ret_pct
2026-05-12,2026-05-13,B,016090,대현,-1.8109790605546123,-1.9020172910662825
2026-05-12,2026-05-13,B,271560,오리온,-0.35816618911174786,-0.9345794392523363
2026-05-12,2026-05-13,B,306200,세아제강,-4.353157572041693,2.307692307692308
2026-05-12,2026-05-13,B,004360,세방,-4.276729559748428,-2.628120893561104
2026-05-12,2026-05-13,B,005740,크라운해태홀딩스,-2.9453015427769986,0.5780346820809248
2026-05-12,2026-05-13,B,403550,쏘카,-2.3686158401184305,29.946929492039427
2026-05-12,2026-05-13,B,064350,현대로템,-2.050113895216401,0.0
2026-05-12,2026-05-13,B,006660,삼성공조,-3.9259259259259256,1.4649190439475714
2026-05-12,2026-05-13,B,000680,LS네트웍스,-4.545454545454546,-2.91005291005291
2026-05-12,2026-05-13,B,003620,KG모빌리티,-1.338199513381995,-3.082614056720099
2026-05-12,2026-05-13,B,058860,KTis,-2.083333333333333,-0.7092198581560284
2026-05-12,2026-05-13,B,002310,아세아제지,-2.3529411764705883,-1.8072289156626504
2026-05-12,2026-05-13,B,013580,계룡건설,-3.669724770642202,-1.1428571428571428
2026-05-12,2026-05-13,B,003200,일신방직,-1.2135922330097086,-2.1294021294021293
2026-05-12,2026-05-13,B,006220,제주은행,-2.1739130434782608,-0.6837606837606838
2026-05-12,2026-05-13,B,207940,삼성바이오로직스,-1.02880658436214,-2.2869022869022873
2026-05-12,2026-05-13,B,120110,코오롱인더,-2.0408163265306123,-0.8101851851851851
2026-05-12,2026-05-13,B,020120,키다리스튜디오,-1.0309278350515463,-2.213541666666667
2026-05-12,2026-05-13,B,375500,DL이앤씨,-5.914567360350493,-3.143189755529686
2026-05-12,2026-05-13,B,021820,세원정공,-4.431216931216931,0.34602076124567477
2026-05-12,2026-05-13,B,452260,한화갤러리아,-2.2687609075043627,30.0
2026-05-12,2026-05-13,B,105560,KB금융,-3.27455919395466,-1.0416666666666665
2026-05-12,2026-05-13,B,462520,조선내화,-1.3194444444444444,1.4074595355383532
2026-05-12,2026-05-13,B,096770,SK이노베이션,-3.1650339110776184,0.933852140077821
2026-05-12,2026-05-13,B,009410,태영건설,-3.6296685954760655,-1.5829694323144103
2026-05-12,2026-05-13,B,029780,삼성카드,-1.4940239043824701,-1.2133468149646107
2026-05-12,2026-05-13,B,008420,문배철강,-3.653846153846154,-0.998003992015968
2026-05-13,2026-05-14,A,008350,남선알미늄,-0.8238928939237898,5.659397715472482
2026-05-13,2026-05-14,A,008260,NI스틸,-1.0869565217391304,2.60989010989011
2026-05-13,2026-05-14,A,066970,엘앤에프,-3.428571428571429,1.5976331360946745
2026-05-13,2026-05-14,B,007690,국도화학,-1.4304291287386215,4.749340369393139
2026-05-13,2026-05-14,B,015230,대창단조,-1.3157894736842104,3.111111111111111
2026-05-13,2026-05-14,A,298020,효성티앤씨,-2.5,3.678929765886288
2026-05-13,2026-05-14,A,011170,롯데케미칼,-3.1425364758698096,6.1413673232908454
2026-05-13,2026-05-14,B,079900,전진건설로봇,-1.1041009463722398,1.5948963317384368
2026-05-13,2026-05-14,B,271940,일진하이솔루스,-0.9708737864077669,0.1838235294117647
2026-05-13,2026-05-14,B,112610,씨에스윈드,-5.025996533795494,0.9124087591240875
2026-05-13,2026-05-14,A,024070,WISCOM,-6.637168141592921,4.265402843601896
2026-05-13,2026-05-14,A,020000,한섬,-0.78125,10.039370078740157
2026-05-13,2026-05-14,B,012630,HDC,-4.356435643564356,0.6211180124223602
2026-05-13,2026-05-14,B,111770,영원무역,-4.52322738386308,2.8169014084507045
2026-05-13,2026-05-14,B,37550K,DL이앤씨우,-3.3989266547406083,0.7407407407407408
2026-05-13,2026-05-14,A,007980,TP,-2.780487804878049,0.35122930255895635
2026-05-13,2026-05-14,B,120115,코오롱인더우,-2.272727272727273,1.4311270125223614
2026-05-13,2026-05-14,B,079980,휴비스,-1.5280135823429541,0.1724137931034483
2026-05-13,2026-05-14,B,100220,비상교육,-6.4179104477611935,-0.6379585326953748
2026-05-13,2026-05-14,B,227840,현대코퍼레이션홀딩스,-0.9976976208749041,0.6201550387596899
2026-05-13,2026-05-14,B,003120,일성아이에스,-2.619047619047619,0.9779951100244498
2026-05-13,2026-05-14,A,084010,대한제강,-1.3215859030837005,0.8928571428571428
2026-05-13,2026-05-14,A,000950,전방,-1.9933554817275747,1.3559322033898304
2026-05-13,2026-05-14,B,030720,동원수산,-4.992657856093979,-1.0819165378670788
2026-05-13,2026-05-14,A,000540,흥국화재,-1.1349306431273645,6.63265306122449
2026-05-13,2026-05-14,B,000320,노루홀딩스,-0.7299270072992701,0.0
2026-05-13,2026-05-14,B,003230,삼양식품,-2.70473328324568,11.119691119691119
2026-05-13,2026-05-14,A,161000,애경케미칼,-0.21897810218978103,7.2421360643745425
