MA20w_위_pct,3일_표본,3일_비율,7일_표본,7일_비율,14일_표본,14일_비율,30일_표본,30일_비율
+5%,340,0.5345911949685535,423,0.6650943396226415,470,0.7389937106918238,503,0.7908805031446541
+10%,220,0.34591194968553457,324,0.5094339622641509,390,0.6132075471698113,447,0.7028301886792453
+15%,147,0.23113207547169812,222,0.3490566037735849,306,0.4811320754716981,376,0.5911949685534591
+20%,108,0.16981132075471697,176,0.27672955974842767,251,0.3946540880503145,316,0.4968553459119497
+25%,81,0.12735849056603774,127,0.19968553459119498,197,0.30974842767295596,265,0.4166666666666667
+30%,65,0.10220125786163523,102,0.16037735849056603,172,0.27044025157232704,234,0.36792452830188677
+40%,42,0.0660377358490566,64,0.10062893081761007,110,0.17295597484276728,178,0.279874213836478
+50%,26,0.040880503144654086,48,0.07547169811320754,82,0.1289308176100629,145,0.2279874213836478
+75%,9,0.014150943396226415,20,0.031446540880503145,40,0.06289308176100629,88,0.13836477987421383
+100%,3,0.0047169811320754715,9,0.014150943396226415,17,0.026729559748427674,55,0.08647798742138364
