Symbol,week,entry,ret_pct,weeks,reason,fan,m10slope,low_m5,Name
000050,2026-01-11,8580.0,-4.428904428904435,1,STOP,0.870604781997187,0.509142053445851,-0.8016877637130801,경방
000050,2026-03-22,9880.0,-3.9473684210526327,1,STOP,0.15953835709436523,0.07535641547861507,-0.506449422946368,경방
000050,2026-05-24,10030.0,-15.254237288135597,1,STOP,0.276,0.13333333333333333,-0.5573333333333333,경방
000070,2025-10-19,67264.0,3.7702188392007674,4,TIMEOUT,0.9785166539834915,0.7304630334250437,-0.015512497804835216,삼양홀딩스
000070,2025-11-02,69800.0,-12.75071633237822,4,STOP,1.0620665834152552,1.0780083428541052,-0.06732736403007525,삼양홀딩스
000070,2025-11-23,69800.0,-12.75071633237822,1,STOP,1.1303879310344838,1.2404700969827602,-0.008957435344829547,삼양홀딩스
000070,2026-03-15,70900.0,-6.770098730606488,3,STOP,1.1863117870722433,0.6520912547528517,-1.0836501901140685,삼양홀딩스
000100,2025-11-02,118000.0,-2.2881355932203418,1,STOP,0.05972434915773354,0.11332312404287902,-0.5788667687595712,유한양행
000100,2025-11-30,122000.0,-3.852459016393439,1,STOP,0.12057522123893805,0.07079646017699115,-0.5752212389380531,유한양행
000105,2025-10-05,106300.0,-1.59924741298213,2,STOP,0.21074380165289255,0.02066115702479339,-0.47107438016528924,유한양행우
000105,2025-11-02,105000.0,-3.9047619047618998,1,STOP,0.06378132118451026,0.04100227790432802,-0.724373576309795,유한양행우
000105,2025-11-16,113300.0,-8.120035304501327,1,STOP,0.008305647840531562,0.11627906976744186,-0.8504983388704319,유한양행우
000105,2025-11-30,106700.0,-2.0618556701030966,1,STOP,0.08689248895434462,0.10603829160530191,-0.4418262150220913,유한양행우
000120,2025-12-07,97500.0,-2.564102564102566,4,TIMEOUT,0.9220532319391636,0.6254752851711026,-0.12167300380228137,CJ대한통운
000120,2026-03-08,119400.0,-6.281407035175879,1,STOP,1.018005540166205,0.7271468144044322,-1.2382271468144044,CJ대한통운
000140,2025-12-28,10120.0,-4.249011857707508,1,STOP,0.30025445292620867,0.2900763358778626,-0.356234096692112,하이트진로홀딩스
