asset,symbol,interval,entry_dt,entry_close,score,+1w,+2w,+4w,+8w
crypto,1000000MOGUSDT,1w,2025-04-07,0.4747,75.0,-4.95,27.09,142.66,80.39
crypto,1000000MOGUSDT,1w,2025-05-05,1.1519,75.0,-3.14,3.71,-25.66,-12.61
crypto,1000000MOGUSDT,1w,2025-06-23,1.0565,75.0,-4.71,80.32,59.09,3.51
crypto,1000000MOGUSDT,1w,2025-07-07,1.9051,85.0,-15.42,-11.77,-19.27,-55.71
crypto,1000000MOGUSDT,1w,2025-08-04,1.5379,75.0,-24.12,-28.89,-45.14,-46.67
crypto,1000BONKUSDT,1w,2024-11-04,0.025457,65.0,101.36,87.72,80.39,35.07
crypto,1000BONKUSDT,1w,2025-04-21,0.018645,75.0,-11.82,19.29,12.05,-34.51
crypto,1000BONKUSDT,1w,2025-05-05,0.022242,75.0,-7.26,-6.07,-29.05,-0.96
crypto,1000BONKUSDT,1w,2025-06-23,0.015007,85.0,46.78,75.53,125.26,48.87
crypto,1000BONKUSDT,1w,2025-12-29,0.011962,60.0,-12.61,-19.58,-41.43,-51.35
crypto,1000RATSUSDT,1w,2024-06-17,0.10726,65.0,34.19,-19.18,16.88,-14.34
crypto,1000RATSUSDT,1w,2025-02-17,0.01965,70.0,69.31,21.83,59.03,54.55
crypto,1000RATSUSDT,1w,2025-09-22,0.02728,65.0,-1.47,-3.08,21.22,106.67
crypto,1000RATSUSDT,1w,2025-10-13,0.0299,75.0,10.6,20.87,38.39,37.99
crypto,1000RATSUSDT,1w,2026-01-26,0.06337,60.0,-21.46,-26.73,-50.54,-27.71
crypto,1000SATSUSDT,1w,2024-06-24,0.000193,70.0,-15.67,4.65,61.84,105.89
crypto,1000SATSUSDT,1w,2024-07-08,0.000202,80.0,45.41,54.64,27.57,59.93
crypto,1000SATSUSDT,1w,2025-01-20,0.000131,65.0,-2.97,-2.67,-5.26,4.27
crypto,1000SATSUSDT,1w,2025-09-08,4.1e-05,85.0,-4.84,-3.15,-32.47,-44.36
crypto,1000SATSUSDT,1w,2026-04-13,1.4e-05,85.0,4.58,4.94,1.72,
crypto,1INCHUSDT,1w,2023-07-10,0.4318,90.0,-24.29,-27.79,-28.86,-44.53
crypto,1INCHUSDT,1w,2023-12-04,0.402,65.0,-9.05,4.33,4.38,-3.18
crypto,1INCHUSDT,1w,2024-02-26,0.59,60.0,9.03,-0.64,4.69,-27.95
crypto,1INCHUSDT,1w,2024-05-27,0.4688,85.0,-5.55,-10.41,-14.68,-22.53
crypto,1INCHUSDT,1w,2024-09-02,0.2508,90.0,-2.15,10.05,4.74,-7.97
crypto,1INCHUSDT,1w,2024-11-18,0.3971,60.0,12.09,57.69,-4.33,-15.44
crypto,1INCHUSDT,1w,2024-12-02,0.6262,75.0,-20.3,-39.33,-31.24,-57.52
crypto,1INCHUSDT,1w,2025-07-07,0.3179,100.0,0.53,-8.37,-11.58,-22.59
crypto,1INCHUSDT,1w,2025-08-04,0.2811,85.0,-8.32,-7.4,-12.45,-9.5
crypto,1INCHUSDT,1w,2025-11-03,0.224,85.0,-16.87,-18.48,-20.4,-29.64
crypto,1MBABYDOGEUSDT,1w,2025-07-07,0.001339,65.0,15.67,11.52,4.48,-4.83
crypto,AAVEUSDT,1w,2022-07-04,77.738,65.0,13.52,16.5,30.25,14.26
crypto,AAVEUSDT,1w,2022-11-21,61.618,65.0,4.39,-3.18,-11.78,38.66
crypto,AAVEUSDT,1w,2023-01-02,59.305,65.0,33.8,44.07,44.5,26.46
crypto,AAVEUSDT,1w,2023-06-19,68.76,85.0,2.83,4.45,5.04,-16.99
crypto,AAVEUSDT,1w,2024-05-20,109.672,65.0,-6.0,-14.82,-26.44,-10.43
crypto,AAVEUSDT,1w,2024-06-24,97.36,75.0,-19.65,7.2,1.33,39.0
crypto,AAVEUSDT,1w,2024-08-12,111.21,65.0,21.69,8.52,28.79,39.03
crypto,AAVEUSDT,1w,2024-09-09,143.23,75.0,13.02,12.66,7.95,32.88
crypto,AAVEUSDT,1w,2024-11-04,190.33,60.0,-14.81,-10.07,48.62,79.5
crypto,AAVEUSDT,1w,2024-12-02,282.86,60.0,30.24,12.69,20.78,-8.74
crypto,AAVEUSDT,1w,2025-05-19,269.2,65.0,-8.59,-5.75,-15.41,20.56
crypto,AAVEUSDT,1w,2025-06-09,274.84,70.0,-17.15,1.26,11.2,11.42
crypto,AAVEUSDT,1w,2025-06-23,278.31,75.0,3.26,9.81,9.61,25.32
crypto,AAVEUSDT,1w,2025-07-07,305.62,70.0,6.2,-0.18,0.2,-1.38
crypto,AAVEUSDT,1w,2025-08-04,306.23,60.0,-1.0,13.89,-1.57,-6.78
crypto,AAVEUSDT,1w,2025-08-18,348.77,75.0,-9.53,-13.58,-15.66,-36.24
crypto,AAVEUSDT,1w,2026-04-20,96.45,60.0,-4.21,5.87,,
crypto,ACTUSDT,1w,2025-11-03,0.02186,60.0,-15.92,-5.76,-1.97,27.95
crypto,ACTUSDT,1w,2025-11-17,0.0206,65.0,15.92,4.03,64.51,17.28
crypto,ADAUSDT,1w,2021-01-04,0.30187,65.0,26.21,17.19,119.05,274.75
crypto,ADAUSDT,1w,2022-01-10,1.41095,75.0,-20.29,-26.68,-26.18,-44.27
crypto,ADAUSDT,1w,2022-03-21,1.18278,75.0,0.23,-13.32,-25.2,-54.23
crypto,ADAUSDT,1w,2022-05-30,0.56685,85.0,-13.6,-14.54,-19.63,-9.03
crypto,ADAUSDT,1w,2022-10-24,0.40568,65.0,-0.89,-18.68,-22.99,-36.18
crypto,ADAUSDT,1w,2023-03-27,0.38139,70.0,2.01,18.36,3.6,0.26
crypto,ADAUSDT,1w,2023-04-10,0.45141,60.0,-13.97,-12.47,-17.89,-39.76
crypto,ADAUSDT,1w,2023-07-10,0.31412,65.0,0.83,0.42,-7.92,-20.8
crypto,ADAUSDT,1w,2023-12-04,0.59534,95.0,-2.43,-0.51,-16.87,-17.1
crypto,ADAUSDT,1w,2024-02-26,0.72943,60.0,-1.59,-6.51,-10.73,-36.99
crypto,ADAUSDT,1w,2024-09-23,0.3976,65.0,-10.19,-12.35,-14.56,157.24
crypto,ADAUSDT,1w,2024-11-04,0.5911,95.0,18.95,73.03,102.15,84.59
crypto,ADAUSDT,1w,2024-12-30,1.0911,60.0,-11.31,-9.06,-26.33,3.94
crypto,ADAUSDT,1w,2025-02-24,1.1341,60.0,-36.44,-37.87,-41.72,-38.0
crypto,ADAUSDT,1w,2025-04-21,0.7031,60.0,-3.88,14.54,8.12,-22.97
crypto,ADAUSDT,1w,2025-05-05,0.8053,60.0,-5.6,-5.6,-16.81,-27.31
crypto,ADAUSDT,1w,2025-07-07,0.7363,85.0,16.68,13.02,8.84,13.36
crypto,ADAUSDT,1w,2025-08-04,0.8014,75.0,19.9,13.4,4.16,4.44
crypto,AGLDUSDT,1w,2024-05-27,1.4492,65.0,16.17,-10.01,-30.63,-34.03
