asset,symbol,entry_dt,entry_close,ret_1w,ret_4w,ret_8w,ret_13w,ret_26w,ret_52w
crypto,1000SATSUSDT,2026-05-04,1.594e-05,-0.030112923462986108,,,,,
crypto,1000XECUSDT,2025-07-21,0.02359,-0.14624841034336578,-0.12250953793980501,-0.18100890207715137,-0.3234421364985164,-0.5739720220432387,
crypto,1000XECUSDT,2025-08-04,0.02201,-0.05315765561108576,-0.10949568378009988,-0.15674693321217625,-0.32076328941390275,-0.6433439345751931,
crypto,1000XECUSDT,2025-08-18,0.0207,-0.04347826086956508,-0.06666666666666665,-0.28888888888888886,-0.4231884057971015,-0.6246376811594203,
crypto,1INCHUSDT,2025-07-07,0.3179,0.005347593582887722,-0.1157596728530984,-0.22585718779490405,-0.3790500157282165,-0.524693299779805,
crypto,AAVEUSDT,2023-10-16,79.243,0.06724884216902449,0.1545246898779704,0.2624080360410386,0.2166121928750806,0.14912358189366892,1.0049720480042401
crypto,ACHUSDT,2026-05-04,0.008504,-0.021519285042332914,,,,,
crypto,ADAUSDT,2023-10-23,0.29533,0.1573832661768193,0.3109741644939561,1.0055192496529308,0.6613957268140724,0.5562252395625233,0.1502387160125962
crypto,AGLDUSDT,2026-05-04,0.2711,0.005901881224640304,,,,,
crypto,ALGOUSDT,2026-05-04,0.129,-0.04728682170542642,,,,,
crypto,ANKRUSDT,2025-08-18,0.01581,-0.03984819734345357,-0.061353573687539575,-0.3308032890575585,-0.5047438330170778,-0.7248576850094877,
crypto,APEUSDT,2024-02-26,2.235,0.025055928411633177,-0.10067114093959739,-0.42921700223713644,-0.4281879194630872,-0.7458165548098434,-0.6925727069351231
crypto,APEUSDT,2024-10-14,1.4889,-0.24138625831150506,-0.2753710793203036,0.08066357713748418,-0.33796762710726036,-0.6837934045268319,-0.7314124521458796
crypto,APEUSDT,2024-11-04,1.1166,-0.033763209743865374,0.6938026150814973,0.21010209564750126,-0.3847393874261149,-0.4073078989790435,-0.6468744402650906
crypto,API3USDT,2025-08-18,1.3671,-0.19983907541511226,-0.3322361202545534,-0.4696071977177968,-0.6133421110379635,-0.7836295808646039,
crypto,APTUSDT,2024-09-30,8.7,0.17149425287356324,-0.058850574712643544,0.5480459770114943,0.159425287356322,-0.5007931034482759,-0.37293103448275855
crypto,APTUSDT,2025-08-18,4.6231,-0.08005450887932342,-0.0033310981808741813,-0.30983539183664643,-0.49455992732149423,-0.8183253660963423,
crypto,APTUSDT,2025-09-29,5.4555,-0.28505178260471087,-0.3819998166987444,-0.6366969113738429,-0.6443772339840528,-0.8443039134818073,
crypto,ARBUSDT,2025-07-21,0.4605,-0.16851248642779593,0.2573289902280129,0.04343105320304019,-0.2738327904451684,-0.6369163952225843,
crypto,ARBUSDT,2025-08-04,0.4669,0.14821160848147374,0.06211180124223614,-0.07474834011565645,-0.3593917327050761,-0.7509102591561362,
crypto,ARKMUSDT,2025-08-11,0.5571,-0.02405313229222772,0.1364207503141266,-0.3243582839705619,-0.4844731646024053,-0.787470831089571,
crypto,ARKMUSDT,2025-09-08,0.6331,-0.05323013741904903,-0.405465171378929,-0.46311799083873006,-0.6774601168851682,-0.814405307218449,
crypto,ARPAUSDT,2025-08-18,0.02259,-0.038069942452412575,0.033200531208499307,-0.08543603364320485,-0.346613545816733,-0.5028773793714032,
crypto,ARUSDT,2023-11-27,8.027,0.04023919272455467,0.20107138407873437,0.09044474897221888,2.769527843528093,4.417092313442133,2.1376603961629503
crypto,ARUSDT,2025-08-04,7.863,-0.0694391453643648,-0.16393234134554246,-0.2385857815083302,-0.2677095256263513,-0.7512399847386494,
crypto,ASTRUSDT,2025-08-18,0.02631,-0.1075636640060813,-0.05245153933865443,-0.31508931965032305,-0.5252755606233371,-0.7221588749524895,
crypto,ATOMUSDT,2023-11-06,9.523,-0.017641499527459747,0.12265042528614933,-0.012391053239525385,0.022471910112359605,-0.11067940774965879,-0.446392943400189
crypto,ATOMUSDT,2023-11-20,9.905,-0.03826350328117112,0.13356890459363968,-0.026552246340232233,0.048157496214033424,-0.15194346289752636,-0.11691065118626953
crypto,ATOMUSDT,2024-11-18,8.747,0.01977820967188748,-0.2682062421401623,-0.3257116725734538,-0.4427803818452041,-0.4526123242254487,-0.7153881330741969
crypto,ATOMUSDT,2025-08-11,4.62,0.03571428571428581,0.003030303030303161,-0.24588744588744593,-0.4018398268398269,-0.5378571428571428,
crypto,ATOMUSDT,2026-05-04,2.011,0.02506215813028323,,,,,
crypto,AVAXUSDT,2023-10-30,12.349,0.5346181877075067,0.7766620779010447,2.1277026479876913,1.8208761843064214,2.020730423516074,0.904850595189894
crypto,AVAXUSDT,2025-07-21,26.061,-0.18034611104715859,-0.009170791604313,0.26779478914853616,-0.20129695713901996,-0.5592264302981467,
crypto,AVAXUSDT,2025-08-04,23.839,0.05151222786190712,0.03511053315994794,0.2615881538655145,-0.2539116573681781,-0.619572968664793,
crypto,AXSUSDT,2023-10-23,5.6379,0.013852675641639722,0.1871086752159492,0.6193795562177404,0.29159793540147927,0.29030312705085226,-0.14383014952375883
crypto,AXSUSDT,2023-11-20,6.6928,0.006902940473344499,0.3641375806837197,0.16313052832895059,0.2155898876404494,0.15580922782691853,0.24447167104948608
crypto,AXSUSDT,2024-11-18,8.329,-0.007443870812822828,-0.27878496818345544,-0.3032777044062913,-0.5053427782446873,-0.6587825669348062,-0.8682915115860248
crypto,AXSUSDT,2025-08-25,2.517,-0.023043305522447266,-0.137067938021454,-0.35001986491855386,-0.5697258641239571,-0.4986094557012316,
crypto,AXSUSDT,2026-04-20,1.419,-0.0662438336856942,,,,,
crypto,BANDUSDT,2025-08-18,1.0279,-0.23835003405000488,-0.2927327561046795,-0.47096021013717293,-0.6344975192139313,-0.7899601128514446,
crypto,BATUSDT,2025-07-21,0.1673,-0.1303048416019128,-0.0735206216377765,-0.07650926479378362,0.029886431560071758,-0.005379557680812996,
crypto,BATUSDT,2025-10-06,0.176,0.11079545454545459,0.20113636363636367,0.4352272727272728,0.11079545454545459,-0.46079545454545456,
crypto,BCHUSDT,2023-06-19,193.94,0.5406311230277407,0.28575848200474385,-0.027173352583273247,0.05506857791069408,0.1807259977312572,0.9635454264205425
crypto,BNBUSDT,2023-11-06,247.65,-0.005168584696143785,-0.03169796083181908,0.21893801736321428,0.29339794064203506,1.3978195033313146,1.5353523117302643
crypto,C98USDT,2024-11-18,0.181,0.1883977900552487,-0.1453038674033149,-0.2574585635359117,-0.47679558011049716,-0.6765193370165745,-0.8489502762430939
crypto,CELOUSDT,2025-08-18,0.3391,-0.09259805367148344,-0.12798584488351517,-0.26363904452963727,-0.535535240342082,-0.7794161014450015,
crypto,CELOUSDT,2025-09-29,0.4044,-0.2722551928783382,-0.3397626112759643,-0.5848170128585559,-0.6834817012858556,-0.7843719090009891,
crypto,CELRUSDT,2025-08-18,0.008282,-0.08765998551074605,-0.023907268775658075,-0.29811639700555426,-0.46232794011108425,-0.7040569910649601,
crypto,CFXUSDT,2025-07-14,0.22032,-0.1497821350762527,-0.20188816267247633,-0.2066993464052288,-0.49051379811183726,-0.6537763253449528,
crypto,CHRUSDT,2025-08-11,0.1037,-0.012825458052073246,-0.04705882352941171,-0.31166827386692386,-0.38100289296046286,-0.7531340405014465,
crypto,CHZUSDT,2024-11-18,0.09798,0.08654827515819563,-0.14064094713206776,-0.22382118799755046,-0.4684629516227802,-0.5554194733619106,-0.7166768728311901
crypto,CHZUSDT,2025-08-18,0.0407,-0.020147420147420214,0.02923832923832914,-0.1899262899262899,-0.317936117936118,-0.1444717444717446,
crypto,CHZUSDT,2025-12-29,0.04457,0.09041956472963886,0.03141126318151222,-0.2566748934260713,-0.12990800987211126,,
crypto,CHZUSDT,2026-04-20,0.04964,-0.1893634165995165,,,,,
crypto,CKBUSDT,2025-08-18,0.005036,-0.046862589356632234,-0.019459888800635428,-0.3369737887212073,-0.5033756949960285,-0.6894360603653693,
crypto,COMPUSDT,2025-07-21,51.32,-0.12607170693686665,-0.09489477786438028,-0.13464536243180059,-0.24863600935307872,-0.5411145752143414,
crypto,COTIUSDT,2025-11-03,0.05699,-0.4048078610282506,-0.5478154062116161,-0.6051938936655554,-0.7899631514300754,-0.7311809089313914,
crypto,CRVUSDT,2023-12-11,0.6581,-0.06108494149825261,-0.19130831180671637,-0.2540647318036773,0.04923263941650213,-0.5000759762953959,0.7164564655827381
crypto,CRVUSDT,2024-02-26,0.6678,0.22716382150344416,0.039682539682539764,-0.3418688230008984,-0.3201557352500748,-0.6030248577418389,-0.2506738544474394
crypto,CRVUSDT,2024-11-11,0.3204,0.5833333333333333,2.525593008739076,1.5546192259675404,0.5892634207240948,1.178214731585518,0.31335830212234694
crypto,CYBERUSDT,2025-07-21,1.7671,-0.09342991341746354,0.22930224661875398,0.059702337162582886,-0.37326693452549375,-0.5447909003451983,
crypto,DOGEUSDT,2023-05-15,0.072046,0.019792910085223214,-0.13905005135607806,-0.03579657441079309,-0.1149820947727841,0.11689753768425737,1.0695111456569415
crypto,DOGEUSDT,2023-07-24,0.077975,-0.04793844180827189,-0.19068932350112222,-0.22260981083680675,-0.11066367425456869,0.009951907662712367,0.6692144918243026
crypto,DOGEUSDT,2023-08-07,0.074733,-0.14680261731765076,-0.18038885097614166,-0.1851658571180067,0.04311348400305093,0.08662839709365344,0.3474636372151527
crypto,DOGEUSDT,2023-10-23,0.069346,0.025149251579038356,0.13356213768638403,0.3225997173593287,0.13562426095232594,1.1155510051048365,1.0814466587834914
crypto,DOTUSDT,2023-10-30,4.766,0.19827947964750314,0.1636592530423837,0.7213596307175829,0.3978178766261016,0.5310532941670163,-0.20604280318925727
crypto,DOTUSDT,2023-12-04,7.347,-0.07540492718116243,-0.06152170954130953,-0.0932353341499933,0.39716891248128494,-0.11256295086429846,0.4155437593575608
crypto,DOTUSDT,2025-08-11,4.05,0.014074074074074128,0.06518518518518523,-0.20098765432098753,-0.31259259259259264,-0.6651851851851851,
crypto,DYDXUSDT,2024-11-18,1.55,0.10193548387096762,-0.0767741935483871,-0.25032258064516133,-0.49677419354838714,-0.6082580645161291,-0.8514838709677419
crypto,DYDXUSDT,2025-08-11,0.6633,0.018543645409317078,-0.03437358661239265,-0.4358510477913463,-0.5688225538971807,-0.8377807930046736,
crypto,DYDXUSDT,2026-05-04,0.1705,-0.025219941348973762,,,,,
crypto,EGLDUSDT,2023-11-13,46.35,-0.025458468176914772,0.31844660194174756,0.12923408845738948,0.28457389428263213,-0.18166127292340883,-0.37195253505933124
crypto,EGLDUSDT,2024-11-04,30.43,-0.04337824515280975,0.8324022346368714,0.23397962536970085,-0.2668419323036477,-0.3611567532040749,-0.6690765691751561
crypto,EGLDUSDT,2024-11-18,39.07,0.1269516252879448,-0.14000511901714863,-0.1791656002047607,-0.4051702073201946,-0.542871768620425,-0.8093166112106476
crypto,EGLDUSDT,2025-08-18,15.69,-0.0962396430847674,-0.08221797323135749,-0.3741236456341619,-0.5251752708731676,-0.715742511153601,
crypto,ENJUSDT,2024-11-18,0.3028,0.08025099075297226,-0.29062087186261565,-0.4299867899603699,-0.6013870541611626,-0.7167107001321005,-0.8909511228533685
crypto,ENJUSDT,2025-08-18,0.07185,-0.06318719554627705,-0.06221294363256791,-0.35741127348643,-0.5404314544189284,-0.7288796102992345,
crypto,ENJUSDT,2026-04-06,0.03793,0.54310572106512,0.2831531769048248,,,,
crypto,ETCUSDT,2023-07-24,18.854,-0.05484247374562423,-0.15132067465789745,-0.20064707754322686,-0.11705738835260426,0.2457303489975602,0.1990559032566035
crypto,ETCUSDT,2023-10-23,16.647,0.08025470054664519,0.14747401934282456,0.25139664804469297,0.4108848441160571,0.6806631825554157,0.10554454256022106
crypto,ETCUSDT,2023-11-27,19.848,0.10726521563885538,0.1053506650544136,0.18334340991535658,0.6933192261185008,0.4576783555018138,0.6808242644095122
crypto,ETCUSDT,2025-07-14,24.712,-0.05717869860796376,-0.10027516995791508,-0.14486888960828737,-0.3625768857235351,-0.5050582712852056,
crypto,FETUSDT,2026-05-04,0.2402,-0.005828476269775118,,,,,
crypto,FILUSDT,2023-10-23,3.791,0.08414666314956487,0.2115536797678712,0.48720654180954903,0.3700870482722236,0.5549986810867844,-0.0604062252703772
crypto,FILUSDT,2025-11-03,2.779,-0.2950701691255847,-0.47679021230658514,-0.4631162288593019,-0.6649874055415617,-0.5874415257286794,
crypto,GALAUSDT,2023-11-20,0.02719,-0.017653549098933352,0.1379183523354175,-0.11585141596175064,0.12136815005516732,0.6141963957337258,0.4523721956601692
crypto,GALAUSDT,2025-08-04,0.0177,-0.025988700564971823,-0.08192090395480223,-0.11186440677966092,-0.4242937853107345,-0.7711299435028249,
crypto,GMTUSDT,2024-11-18,0.21763,0.035564949685245484,-0.392960529338786,-0.49878233699398056,-0.6821210311078436,-0.7373523870789873,-0.9139824472728943
crypto,GMXUSDT,2025-08-04,18.09,-0.12935323383084574,-0.20895522388059695,-0.1840796019900498,-0.4343283582089552,-0.6568269762299612,
crypto,GMXUSDT,2025-08-18,15.35,-0.04951140065146575,0.016286644951140072,-0.31550488599348536,-0.45074918566775246,-0.5860586319218242,
crypto,GMXUSDT,2025-09-15,15.6,0.04615384615384621,-0.32647435897435895,-0.45807692307692305,-0.4817948717948718,-0.602051282051282,
crypto,GRTUSDT,2025-08-04,0.09926,-0.052891396332863216,-0.1043723554301833,-0.16391295587346366,-0.33064678621801336,-0.7235543018335684,
crypto,HOTUSDT,2025-08-18,0.001002,-0.06586826347305397,-0.0618762475049901,-0.3173652694610779,-0.4500998003992017,-0.6285429141716568,
crypto,ICPUSDT,2023-10-23,4.03,0.007692307692307665,0.1548387096774193,1.4325062034739453,2.058808933002481,2.364764267990074,0.9327543424317617
crypto,ICPUSDT,2025-07-21,5.805,-0.11765719207579672,-0.09233419465977599,-0.18949181739879406,-0.4334194659776055,-0.44289405684754524,
crypto,ICPUSDT,2025-11-03,7.554,-0.36616362192216045,-0.5468625893566322,-0.5673815197246492,-0.6787132644956315,-0.5538787397405348,
crypto,ICPUSDT,2026-05-04,3.37,0.020474777448071135,,,,,
crypto,IMXUSDT,2025-08-04,0.5979,-0.022579026593075646,-0.1366449239003178,0.2471985281819704,-0.2605786920889781,-0.7357417628365948,
crypto,IOSTUSDT,2024-11-18,0.007453,0.21843552931705346,-0.11646316919361344,-0.1427613041728164,-0.30967395679592113,-0.4729639071514826,-0.773514021199517
crypto,IOSTUSDT,2025-07-21,0.004268,-0.1607310215557638,-0.16143392689784442,-0.2314901593252109,-0.4196344892221181,-0.6553420805998125,
crypto,IOSTUSDT,2025-08-18,0.003579,-0.08745459625593754,-0.08354288907516072,-0.32020117351215427,-0.5283598770606315,-0.6658284436993573,
crypto,IOTAUSDT,2024-11-18,0.2359,0.3081814328105128,0.23314963967782965,0.37897414158541753,-0.0398473929631199,-0.10979228486646886,-0.5108096651123357
crypto,IOTAUSDT,2025-08-04,0.2069,0.009183180280328829,-0.10246495891735141,-0.09134847752537456,-0.31754470758820685,-0.6645722571290478,
crypto,IOTXUSDT,2025-06-23,0.02153,-0.008360427310729168,0.10264746864839758,0.3181607059916396,0.103111936832327,-0.6586158848118904,
crypto,JASMYUSDT,2026-05-04,0.007259,-0.022592643614822938,,,,,
crypto,JOEUSDT,2025-08-18,0.16,0.16062500000000002,0.16062500000000002,-0.26812500000000006,-0.5393749999999999,-0.775,
crypto,JTOUSDT,2026-04-27,0.3913,0.301558906210069,,,,,
crypto,JUPUSDT,2026-05-04,0.2645,-0.037429111531190995,,,,,
crypto,KAIAUSDT,2025-06-16,0.1884,-0.08864118895966044,-0.07802547770700652,-0.17038216560509567,-0.1374734607218684,-0.685828025477707,
crypto,KAVAUSDT,2024-11-11,0.4488,0.18605169340463457,0.26827094474153323,0.0755347593582889,0.024955436720142776,-0.06417112299465244,-0.7083333333333334
crypto,KAVAUSDT,2025-05-05,0.487,-0.13757700205338808,-0.07720739219712514,-0.18850102669404512,-0.19075975359342912,-0.680082135523614,-0.8601437371663244
crypto,KAVAUSDT,2025-06-02,0.4494,-0.04628393413440146,-0.12060525144637302,-0.13150867823765033,-0.18313306631063653,-0.7679127725856698,
crypto,KNCUSDT,2024-03-04,0.9083,-0.01860618738302322,-0.1674556864472091,-0.3400858747109985,-0.17042827259715954,-0.5454145106242432,-0.6393262138060112
crypto,KNCUSDT,2024-11-18,0.6283,0.1457902275982812,-0.1574088811077511,-0.14419863122712084,-0.3106796116504854,-0.4275027852936495,-0.57010982014961
