ts,chase_top10,pullback_top10
2026-05-26 22:00 KST,"ATOMUSDT(100), TRXUSDT(60)","NEARUSDT(136), RENDERUSDT(128), MORPHOUSDT(123), TRXUSDT(120), DEXEUSDT(120), TIAUSDT(119), WLDUSDT(118), FFUSDT(114), INUSDT(113), AZTECUSDT(112)"
2026-05-26 21:00 KST,"ATOMUSDT(100), NXPCUSDT(90), TRXUSDT(60)","NEARUSDT(136), RENDERUSDT(133), BANUSDT(125), DEXEUSDT(120), TRXUSDT(120), TIAUSDT(119), MORPHOUSDT(117), GRASSUSDT(116), INUSDT(116), AZTECUSDT(115)"
2026-05-26 20:00 KST,"ATOMUSDT(100), TRXUSDT(60), NXPCUSDT(30)","NEARUSDT(135), RENDERUSDT(133), BANUSDT(125), AZTECUSDT(121), DEXEUSDT(119), TRXUSDT(116), XANUSDT(116), EIGENUSDT(115), TIAUSDT(113), MORPHOUSDT(112)"
2026-05-26 19:00 KST,"ATOMUSDT(100), TRXUSDT(40), NXPCUSDT(30)","RENDERUSDT(127), BANUSDT(125), DEXEUSDT(119), XANUSDT(118), MAGMAUSDT(118), NEARUSDT(115), TIAUSDT(115), EIGENUSDT(115), PHAUSDT(113), JSTUSDT(112)"
2026-05-26 18:00 KST,"ATOMUSDT(100), TRXUSDT(40), NXPCUSDT(30)","RENDERUSDT(136), BANUSDT(124), DEXEUSDT(120), XANUSDT(118), AZTECUSDT(115), EIGENUSDT(115), FLUXUSDT(114), PHAUSDT(113), JSTUSDT(112), INUSDT(112)"
2026-05-26 17:00 KST,"ATOMUSDT(100), TRXUSDT(60), NXPCUSDT(40)","RENDERUSDT(130), FLUXUSDT(129), BANUSDT(121), XANUSDT(118), MAGMAUSDT(118), DEXEUSDT(117), INUSDT(117), EIGENUSDT(115), TRXUSDT(111), JSTUSDT(110)"
2026-05-26 16:00 KST,"ATOMUSDT(100), NXPCUSDT(40), TRXUSDT(40)","RENDERUSDT(124), DEXEUSDT(117), EIGENUSDT(117), NXPCUSDT(116), TRXUSDT(114), SUNUSDT(112), NEARUSDT(111), INUSDT(111), GRASSUSDT(111), PHAUSDT(109)"
2026-05-26 15:00 KST,"ATOMUSDT(80), TRXUSDT(60), NXPCUSDT(40)","DEXEUSDT(126), RENDERUSDT(124), GRASSUSDT(121), EIGENUSDT(117), NXPCUSDT(116), FLUXUSDT(115), TRXUSDT(114), INUSDT(111), NEARUSDT(111), JSTUSDT(110)"
2026-05-26 14:00 KST,"NXPCUSDT(100), ATOMUSDT(80), TRXUSDT(60)","RENDERUSDT(130), GRASSUSDT(126), NXPCUSDT(122), DEXEUSDT(120), FLUXUSDT(115), INUSDT(114), TRXUSDT(114), EIGENUSDT(113), NEARUSDT(111), JSTUSDT(110)"
2026-05-26 13:00 KST,"ATOMUSDT(100), NXPCUSDT(100), TRXUSDT(60)","RENDERUSDT(130), AKTUSDT(126), GRASSUSDT(126), DEXEUSDT(125), NXPCUSDT(122), NEARUSDT(119), FLUXUSDT(115), TRXUSDT(114), JSTUSDT(110), MAGMAUSDT(109)"
2026-05-26 12:00 KST,"ATOMUSDT(100), NXPCUSDT(100), TRXUSDT(60)","AKTUSDT(124), GRASSUSDT(123), DEXEUSDT(122), RENDERUSDT(121), ERAUSDT(116), WLDUSDT(115), FLUXUSDT(115), TRXUSDT(114), MAGMAUSDT(114), NEARUSDT(114)"
2026-05-26 11:00 KST,"ATOMUSDT(100), NXPCUSDT(100), TRXUSDT(60)","DEXEUSDT(130), AKTUSDT(124), GRASSUSDT(123), RENDERUSDT(123), MAGMAUSDT(122), PHAUSDT(118), WLDUSDT(115), INUSDT(115), FLUXUSDT(115), NEARUSDT(114)"
2026-05-26 10:00 KST,"ATOMUSDT(100), NXPCUSDT(100), POLYXUSDT(60), TRXUSDT(60)","PHAUSDT(128), GRASSUSDT(127), DEXEUSDT(125), MAGMAUSDT(124), AKTUSDT(124), RENDERUSDT(123), NXPCUSDT(117), FLUXUSDT(115), WLDUSDT(115), TRXUSDT(114)"
2026-05-26 09:00 KST,"NXPCUSDT(100), ATOMUSDT(80), POLYXUSDT(60), TRXUSDT(40)","AKTUSDT(129), DEXEUSDT(125), RENDERUSDT(123), PHAUSDT(122), MAGMAUSDT(122), FFUSDT(118), NEARUSDT(118), GRASSUSDT(117), WLDUSDT(115), NXPCUSDT(115)"
2026-05-26 08:00 KST,"NXPCUSDT(100), ARPAUSDT(60), POLYXUSDT(60), ATOMUSDT(50), TRXUSDT(40)","PHAUSDT(130), AKTUSDT(123), DEXEUSDT(121), RENDERUSDT(121), MAGMAUSDT(119), NEARUSDT(118), TRXUSDT(118), EIGENUSDT(116), ZAMAUSDT(115), FFUSDT(113)"
2026-05-26 07:00 KST,"NXPCUSDT(100), ARPAUSDT(60), ATOMUSDT(50), POLYXUSDT(50), TRXUSDT(40)","NEARUSDT(128), AKTUSDT(126), PHAUSDT(126), DEXEUSDT(121), RENDERUSDT(121), TRXUSDT(118), MAGMAUSDT(116), EIGENUSDT(116), FFUSDT(116), ZAMAUSDT(115)"
2026-05-26 06:00 KST,"NXPCUSDT(100), ARPAUSDT(70), ATOMUSDT(70), TRXUSDT(60), POLYXUSDT(50)","RENDERUSDT(127), NEARUSDT(122), TRXUSDT(122), EIGENUSDT(121), DEXEUSDT(121), AKTUSDT(121), PHAUSDT(121), FFUSDT(118), MAGMAUSDT(116), AZTECUSDT(115)"
2026-05-26 05:00 KST,"NXPCUSDT(100), ARPAUSDT(70), TRXUSDT(60), POLYXUSDT(50), ATOMUSDT(40)","NEARUSDT(127), RENDERUSDT(127), TRXUSDT(122), EIGENUSDT(121), DEXEUSDT(121), ZAMAUSDT(120), FFUSDT(118), PHAUSDT(118), AZTECUSDT(117), MAGMAUSDT(116)"
