group,n,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20
00_1~6봉(합),5213,-1.5,-2.61,-3.53,-4.47,-5.26,-5.88,-5.8,-5.79,-5.8,-5.72,-5.86,-5.8,-5.76,-5.76,-5.83,-5.83,-5.82,-5.83,-5.85,-5.93
07봉,1303,0.61,0.71,0.88,0.74,0.44,-0.38,-2.94,-3.0,-2.97,-2.95,-3.02,-3.03,-2.99,-2.98,-2.91,-2.76,-2.88,-2.82,-2.82,-2.8
08봉,1499,0.89,1.2,1.54,1.77,1.74,1.53,1.06,-1.17,-1.04,-1.16,-1.14,-1.08,-1.08,-1.09,-0.97,-0.85,-0.79,-0.95,-0.96,-1.03
09봉,1304,1.26,1.98,2.73,3.07,3.4,3.57,3.72,3.28,0.96,0.97,1.13,1.1,1.24,1.08,1.05,1.03,1.15,1.12,1.05,0.89
10봉,885,2.13,3.57,4.09,4.85,5.01,5.66,6.43,6.56,6.31,3.33,3.88,3.8,3.79,3.7,3.71,3.85,3.79,3.76,3.48,3.41
11봉,732,0.89,2.66,3.77,4.35,5.63,6.55,6.65,7.11,7.49,6.91,4.05,3.93,3.73,3.96,4.2,4.02,3.87,3.94,3.83,3.73
12봉,442,1.23,2.39,4.19,6.26,7.11,7.91,9.09,9.42,10.1,10.3,9.67,6.36,6.12,5.92,5.42,5.95,5.71,5.65,5.87,5.86
13봉,343,1.42,2.79,4.06,5.53,7.66,8.58,9.48,10.87,11.52,12.08,12.23,11.58,7.61,7.39,7.32,7.16,7.41,7.03,6.62,6.93
14봉,275,0.84,1.62,2.53,3.54,5.81,7.39,8.93,10.41,11.45,12.0,11.89,11.89,11.47,8.27,8.5,8.43,8.6,8.4,8.45,8.66
15봉,267,1.08,1.7,3.04,3.67,5.48,7.35,9.23,11.29,12.42,13.56,14.62,15.1,15.02,14.81,10.45,10.08,10.59,10.68,10.97,10.7
16봉,212,1.0,1.79,2.93,3.68,4.87,6.46,8.13,9.7,11.22,12.74,14.29,15.0,14.88,15.45,14.77,10.49,10.73,11.01,11.19,11.55
17봉,164,1.35,2.34,3.45,4.97,5.42,6.83,7.97,9.86,11.19,13.0,14.51,15.99,17.63,17.85,17.35,16.81,12.27,11.94,11.75,12.21
18봉,147,0.36,1.18,2.45,3.52,4.59,6.26,7.25,9.73,11.83,14.32,15.86,18.71,20.16,19.72,19.66,20.31,19.67,15.51,15.45,15.38
19봉,140,1.19,1.96,2.66,3.46,3.91,5.36,7.11,8.77,9.98,11.99,14.32,15.07,16.2,18.02,18.01,18.33,18.8,18.05,13.71,13.84
20봉,88,0.86,2.27,3.22,3.98,5.28,6.49,7.66,9.0,10.64,11.68,14.31,15.39,16.51,17.67,18.86,18.72,19.26,19.3,19.05,15.67
99_21봉+(합),384,1.04,2.26,3.06,4.12,5.3,6.38,7.67,9.35,10.88,12.76,14.31,16.17,17.98,19.72,21.39,22.81,24.34,25.71,26.67,27.86
