symbol,ts_kst,close,close_now,change_now_vs_trigger_pct,body_pct,close_to_weekly_ma20_pct
AIXBTUSDT,2026-06-04 06:00,0.02712,0.02473,-8.81268436578171,5.197827773467795,5.106094370700511
VIRTUALUSDT,2026-06-04 06:00,0.7488,0.684,-8.65384615384615,5.539112050739957,7.517463690600125
SKYAIUSDT,2026-06-03 20:00,0.15153,0.16884,11.4234804989111,6.039188243526941,5.853259844499862
SUSHIUSDT,2026-06-03 13:00,0.2166,0.2167,0.046168051708225646,7.868525896414333,0.1641656454484341
AIOUSDT,2026-06-03 11:00,0.10429,0.10346,-0.7958577044778958,8.760037543018031,4.363054137896531
EPICUSDT,2026-06-01 22:00,0.333,0.5013,50.540540540540526,10.119047619047624,6.07798165137616
SIRENUSDT,2026-06-01 22:00,0.63527,0.57673,-9.214979457553486,11.819685981834832,4.607440108877226
PIXELUSDT,2026-06-01 07:00,0.00744,0.006286,-15.51075268817205,6.437768240343359,2.695055039856437
VELVETUSDT,2026-05-31 19:00,0.1006,0.10465,4.025844930417507,7.59358288770053,4.19957429398574
HIVEUSDT,2026-05-31 14:00,0.07552,0.05646,-25.23834745762712,16.525227588335127,9.812931228779348
BATUSDT,2026-05-31 11:00,0.126,0.0981,-22.14285714285714,5.087572977481229,7.729138166894671
WLDUSDT,2026-05-31 03:00,0.3681,0.509,38.27764194512361,7.631578947368407,6.95762083944734
IOTAUSDT,2026-05-30 09:00,0.06972,0.04793,-31.253585771658067,6.654428636989455,6.735251567272166
ARUSDT,2026-05-29 09:00,2.342,2.349,0.2988898377455217,5.543037404236153,7.413947302038677
ALLOUSDT,2026-05-28 23:00,0.1055,0.1764,67.20379146919431,5.289421157684631,4.641936123784967
ARUSDT,2026-05-28 00:00,2.366,2.349,-0.7185122569737914,5.766651765757711,8.514688008805942
WLDUSDT,2026-05-26 15:00,0.3615,0.509,40.80221300138313,5.5166374781085725,5.039880286498816
LITUSDT,2026-05-26 02:00,1.345,1.63,21.189591078066908,5.988967691095357,5.324980422866098
XANUSDT,2026-05-25 02:00,0.010463,0.009385,-10.302972378858843,7.632959572060482,8.37601702859334
BANUSDT,2026-05-23 15:00,0.087,0.07311,-15.965517241379313,5.492906511458703,4.262165417318293
