symbol,name,price,d_MA10,d_MA20,w_MA10,w_MA20
CENTA,센트럴 가든 앤드 펫 Class A,34.130001068115234,-0.93,0.0,1.33,3.47
RFIL,RF 인더스트리스,17.010000228881836,-4.97,0.01,11.57,32.0
CHSCL,CHS 클래스 B 우선주 시리즈 4 7.5%,25.75,0.0,0.02,0.5,0.38
EWBC,이스트 웨스트 뱅코프,122.54000091552734,0.07,0.04,3.58,6.12
FDSB,피프스 디스트릭트 뱅코프,15.109999656677246,0.14,0.05,0.55,0.87
RANG,레인지 캐피탈 애퀴지션,10.604999542236328,-0.01,0.05,0.24,0.69
EHLD,유로홀딩스,8.569999694824219,-0.38,0.06,3.61,13.29
BCRX,바이오크리스트 파마슈티컬스,8.90999984741211,1.53,0.07,-1.42,7.25
DIOD,다이오즈,105.31999969482422,3.83,0.07,11.6,33.7
WSBK,윈체스터 뱅코프,12.739999771118164,0.22,0.1,-0.52,1.14
CLYM,클라임 바이오,10.960000038146973,1.1,0.1,17.43,44.93
LFST,라이프스탠스 헬스 그룹,7.710000038146973,0.9,0.1,8.67,9.74
OLPX,올라플렉스 홀딩스,2.0399999618530273,0.0,0.1,0.37,15.58
SLAB,실리콘 래보라토리스,217.60000610351562,0.07,0.1,1.58,8.43
WSFS,WSFS 파이낸셜,71.44999694824219,-0.0,0.12,2.41,7.06
XOMA,조마 로열티,41.709999084472656,-0.04,0.12,8.09,29.16
TALK,토크스페이스,5.199999809265137,0.06,0.13,0.31,7.9
SIGI,셀렉티브 인슈어런스 그룹,86.54000091552734,-2.65,0.14,4.38,4.81
FLYW,플라이와이어,16.040000915527344,0.38,0.15,13.51,21.14
GTEN,고어스 홀딩스 X,10.369999885559082,0.18,0.15,0.53,0.56
IMPP,임페리얼 페트롤리엄,5.119999885559082,-2.4,0.16,6.0,15.43
CEPO,칸토 에퀴티 파트너스 I,10.60099983215332,0.07,0.16,0.18,0.72
CAAS,중국 오토모티브 시스템,4.659999847412109,-0.83,0.17,4.16,5.37
APLS,아펠리스 파머수티컬스,41.03499984741211,0.08,0.18,20.98,45.23
CNOBP,커넥트원 뱅코프 우선주 시리즈 A 5.25%,24.920000076293945,0.45,0.18,0.52,0.98
CYCN,싸이클러리온 테라퓨틱스,3.1500000953674316,0.74,0.19,-7.3,31.59
OCCIN,OFS 크레디트 우선주 Series E 5.25%,24.81999969482422,0.16,0.2,0.44,0.65
ABEO,아베오나 테라퓨틱스,5.659999847412109,2.59,0.2,4.2,9.44
SSBI,서밋 스테이트 뱅크,13.579999923706055,0.33,0.21,-0.12,0.43
MBINM,머천트 뱅코프 우선주 8.25%,25.6200008392334,0.07,0.21,0.98,1.02
CNTA,센테사 파마슈티컬스 ADR,39.7599983215332,0.06,0.22,3.2,24.99
FORA,포리안,2.1600000858306885,0.23,0.23,1.89,2.52
DMII,드러그스 메이드 인 아메리카 애퀴지션 II,10.0600004196167,0.07,0.23,0.44,0.68
SZZL,시즐 애퀴지션 II,10.34000015258789,0.14,0.24,0.37,0.58
CVGI,커머셜 비히클 그룹,5.059999942779541,0.52,0.26,11.68,51.72
QUMS,퀀텀스피어 애퀴지션,10.210000038146973,0.17,0.29,0.42,0.86
PHVS,파바비스 NV,30.15999984741211,1.48,0.3,4.17,8.42
SATA,스트라이브 우선주 Series A,100.01000213623047,0.01,0.3,0.79,2.97
CCLDO,케어 클라우드 우선주 시리즈 B 8.75%,27.498899459838867,0.15,0.3,3.22,4.64
FACT,팩트 II 애퀴지션,10.649999618530273,-0.13,0.3,0.59,1.07
ATLO,에임스 내셔널,28.420000076293945,-0.31,0.31,-0.4,2.62
CCNE,CNB 파이낸셜,30.670000076293945,0.64,0.31,1.23,5.08
BPOP,파퓰러,148.52999877929688,-0.1,0.33,2.65,6.33
RZLT,레졸루트,3.2699999809265137,0.28,0.34,-0.88,1.4
BCAX,바이카라 테라퓨틱스,21.75,3.79,0.35,0.91,13.36
ZBAI,ATIF 홀딩스,8.199999809265137,0.76,0.35,13.32,17.37
PECO,필립스 에디슨 & 코,40.150001525878906,-0.16,0.35,2.63,4.76
TDWD,테일윈드 2.0 애퀴지션,10.029999732971191,0.22,0.36,0.48,0.75
SPKL,스파크 I 애퀴지션,11.95009994506836,-1.37,0.36,2.58,3.89
CEPF,캔터 에쿼티 파트너스 IV,10.34000015258789,0.23,0.36,0.75,0.14
DLTH,덜루스 홀딩스,3.299999952316284,-3.23,0.38,-0.63,14.23
DDI,더블다운 인터랙티브 ADR,11.699999809265137,-2.31,0.38,14.83,23.53
APXT,에이펙스 트레저리,10.050000190734863,0.26,0.39,0.55,0.73
FBLA,FB 뱅코프,14.095000267028809,0.22,0.39,0.55,3.46
SATS,에코스타,129.19000244140625,-1.42,0.39,2.2,7.56
SNEX,스토넥스 그룹,113.3499984741211,1.24,0.4,9.99,26.24
CSGS,CSG 시스템즈인터내셔널,80.68000030517578,0.35,0.4,0.57,1.04
APGE,아포지 테라퓨틱스,82.13999938964844,2.21,0.42,-1.57,7.36
ONB,올드 내셔널 뱅코프,24.010000228881836,0.96,0.42,2.58,2.32
MBINL,머천트 뱅코프 우선주 Series E 7.25%,24.899999618530273,0.08,0.42,1.75,1.86
BANR,배너,65.0,0.77,0.43,1.57,3.39
ADI,애널로그 디바이시스,413.8500061035156,0.95,0.44,9.21,18.14
KALV,칼비스타 파머수티컬스,26.8700008392334,0.31,0.44,15.57,37.51
FRME,퍼스트 머천츠,40.29999923706055,0.56,0.44,0.89,1.8
FCCO,퍼스트 커뮤니티,30.079999923706055,0.02,0.45,-0.34,1.39
DMIIU,Drugs Made In America Acquisition II Units,10.154999732971191,0.23,0.51,0.74,0.86
AROW,애로우 파이낸셜,36.70000076293945,0.5,0.51,1.94,5.4
LOKV,라이브 오크 애퀴지션 V,10.550000190734863,0.23,0.51,0.66,1.4
CFFN,캐피톨 페더럴 파이낸셜,7.769999980926514,0.53,0.52,2.64,5.41
BCAL,캘리포니아 뱅코프,18.979999542236328,0.22,0.52,2.25,2.97
RILYN,BRC 그룹 홀딩스 선순위채권 6.50% 만기 26년,25.0,0.41,0.54,1.4,3.96
GTIM,굿 타임스 레스토란츠,1.2799999713897705,-0.39,0.55,1.35,4.36
HBCP,홈 뱅코프,64.37999725341797,0.21,0.56,1.8,4.29
TCBI,텍사스 캐피털 뱅크셰어스,99.48999786376953,0.99,0.58,0.56,1.0
AGNCP,AGNC 인베스트먼트 우선주 시리즈 F,25.1299991607666,0.44,0.59,1.87,1.22
