MA20w_아래_pct,3일_표본,3일_비율,7일_표본,7일_비율,14일_표본,14일_비율,30일_표본,30일_비율
-5%,461,0.7248427672955975,523,0.8223270440251572,555,0.8726415094339622,584,0.9182389937106918
-10%,301,0.47327044025157233,398,0.6257861635220126,454,0.7138364779874213,514,0.8081761006289309
-15%,167,0.26257861635220126,256,0.4025157232704403,342,0.5377358490566038,435,0.6839622641509434
-20%,76,0.11949685534591195,159,0.25,223,0.35062893081761004,334,0.5251572327044025
-25%,32,0.050314465408805034,84,0.1320754716981132,142,0.22327044025157233,248,0.389937106918239
-30%,22,0.03459119496855346,41,0.06446540880503145,86,0.13522012578616352,167,0.26257861635220126
-40%,7,0.0110062893081761,20,0.031446540880503145,36,0.05660377358490566,75,0.1179245283018868
-50%,4,0.006289308176100629,11,0.01729559748427673,19,0.029874213836477988,37,0.05817610062893082
