universe=948
평가 거래일: 23 개 (2026-05-11 ~ 2026-06-12)
  [1/23] 2026-05-11: 1 passers  (elapsed=19s)
  [2/23] 2026-05-12: 6 passers  (elapsed=36s)
  [3/23] 2026-05-13: 4 passers  (elapsed=53s)
  [4/23] 2026-05-14: 7 passers  (elapsed=71s)
  [5/23] 2026-05-15: 4 passers  (elapsed=89s)
  [6/23] 2026-05-18: 5 passers  (elapsed=107s)
  [7/23] 2026-05-19: 5 passers  (elapsed=124s)
  [8/23] 2026-05-20: 7 passers  (elapsed=144s)
  [9/23] 2026-05-21: 2 passers  (elapsed=161s)
  [10/23] 2026-05-22: 1 passers  (elapsed=178s)
  [11/23] 2026-05-26: 3 passers  (elapsed=194s)
  [12/23] 2026-05-27: 5 passers  (elapsed=210s)
  [13/23] 2026-05-28: 3 passers  (elapsed=227s)
  [14/23] 2026-05-29: 2 passers  (elapsed=243s)
  [15/23] 2026-06-01: 6 passers  (elapsed=259s)
  [16/23] 2026-06-02: 5 passers  (elapsed=276s)
  [17/23] 2026-06-04: 7 passers  (elapsed=292s)
  [18/23] 2026-06-05: 6 passers  (elapsed=308s)
  [19/23] 2026-06-08: 9 passers  (elapsed=324s)
  [20/23] 2026-06-09: 9 passers  (elapsed=341s)
  [21/23] 2026-06-10: 4 passers  (elapsed=358s)
  [22/23] 2026-06-11: 2 passers  (elapsed=374s)
  [23/23] 2026-06-12: 4 passers  (elapsed=391s)
