MA,깊이_pct,반등기간_일,표본수,윈율,평균_숏수익,중위_숏수익,p25,p75,표준편차,최대손실,Sharpe,squeeze_플20이상_손실_비율
MA100d,20,10,657,0.6164383561643836,0.028140867000318395,0.05046991740845552,-0.0453949094725794,0.14099319135673094,0.18520982143104242,-1.0,0.15194046829096394,0.076103500761035
MA100d,20,20,936,0.5576923076923077,0.002385629413321848,0.02719641777983134,-0.07986185480118618,0.12188328940245272,0.19932573786803098,-1.0,0.011968496586734417,0.09508547008547008
MA100d,25,10,365,0.684931506849315,0.044810142019305894,0.08094996234478158,-0.02593129797997662,0.16121031084559068,0.20493667364307921,-1.0,0.2186536027092345,0.07397260273972603
MA100d,25,20,601,0.5956738768718802,0.01942458817908451,0.04981442820691251,-0.059922007634968466,0.14148311427293114,0.19845267881363463,-1.0,0.0978802014425111,0.07986688851913477
MA100d,30,10,187,0.732620320855615,0.06861067110749801,0.10807463787273708,-0.005983392528759124,0.2002254712624797,0.22204398218579507,-1.0,0.3089958594333266,0.08021390374331551
MA100d,30,20,356,0.651685393258427,0.03965761032303746,0.06948688840281753,-0.040588921687797985,0.15681675684348964,0.2012827977897057,-1.0,0.19702433967790212,0.07865168539325842
MA200d,20,10,400,0.5675,-0.0004752909156019891,0.030132215905245896,-0.08773700998883194,0.13791829418591495,0.21725220245196714,-1.0,-0.002187738076934214,0.115
MA200d,20,20,498,0.5662650602409639,-0.006350974553271757,0.030132215905245896,-0.09329686157017436,0.13044641300974585,0.22189556248702166,-1.0,-0.028621458140440353,0.12650602409638553
MA200d,25,10,250,0.612,0.023277663405935498,0.05499504894857471,-0.0674760443867452,0.15666473807769402,0.22018830565751424,-1.0,0.10571707401274112,0.124
MA200d,25,20,355,0.571830985915493,-0.005329880612589997,0.03867823878658683,-0.0964870892297115,0.14415077945791122,0.23156043956717792,-1.0,-0.02301723309280447,0.14647887323943662
MA200d,30,10,156,0.6410256410256411,0.04594419670029289,0.0811214019653912,-0.06414237323494398,0.18764439601820826,0.23336402968005626,-1.0,0.19687779973324385,0.10897435897435898
MA200d,30,20,232,0.5732758620689655,0.011635287542722564,0.053384141399909046,-0.09888995022266722,0.15708739349896556,0.23120078360974958,-1.0,0.05032546759167607,0.13793103448275862
MA20w,20,10,598,0.6153846153846154,0.031449526406576854,0.05303039603269827,-0.055221822962592426,0.13248222935673792,0.1772584865716912,-1.0,0.17742183753699867,0.07357859531772576
MA20w,20,20,800,0.57875,0.010360706895879628,0.03639241739070764,-0.07510898699425561,0.12579777334244865,0.19300010509243018,-1.0,0.0536823899184809,0.09375
MA20w,25,10,339,0.6991150442477876,0.06096021471403713,0.09041417144771546,-0.02452861296407527,0.17051053333251354,0.19038388611672802,-1.0,0.32019629369610225,0.07374631268436578
MA20w,25,20,526,0.6254752851711026,0.03134659188294081,0.060679646254533204,-0.05541965431589774,0.14190214136916632,0.19022176504049962,-1.0,0.16478972254445695,0.07984790874524715
MA20w,30,10,188,0.7712765957446809,0.090466516471841,0.11508465771913562,0.01691167944247976,0.2020274498198332,0.1888714541893497,-0.6838720051455218,0.47898459224624496,0.09042553191489362
MA20w,30,20,322,0.7111801242236024,0.0625278603162323,0.08725488637146239,-0.024156714307199345,0.1706181920230076,0.18254632928509099,-0.8048560296493397,0.34253145796527995,0.08074534161490683
