보유기간_일_까지,표본수,MAE_평균_pct,MAE_p10,MAE_p25,MAE_중위,MAE_p75,MAE_p90,MAE_p95,MAE_최악,최고가_vs_MA20w_p50,최고가_vs_MA20w_p75,최고가_vs_MA20w_p90,최고가_vs_MA20w_p95
1,77,0.13953189927128148,0.008191023521932595,0.03260021837466853,0.0600767366720516,0.18953687821612353,0.44962186291965356,0.48739715297020114,0.9669496321448783,0.08939529532088986,0.17405532857694572,0.4058174198125076,0.5123761444971644
3,77,0.189608027189767,0.009164866706510556,0.034002002298935796,0.0916114790286977,0.2838403937791274,0.46988865874126695,0.5911898505303764,1.2583403185247275,0.1057540665975758,0.2504499316103952,0.45502208776643277,0.6259101617418721
7,77,0.231790954553266,0.010357898913592801,0.04253433761630476,0.11589403973509937,0.32973805855161786,0.6348777377040874,0.8155972415985309,1.2583403185247275,0.12300976666771368,0.35145858130259544,0.6205990693137409,0.8689956555911715
14,77,0.2647539648687468,0.026887472526382173,0.05803800719054952,0.16893226443592435,0.39603106125970666,0.6451017698094431,0.8155972415985309,1.2583403185247275,0.15943175776758434,0.41700478191566437,0.654950201078389,0.8689956555911715
30,77,0.2893114027447325,0.027293970756287766,0.05974842767295607,0.16893226443592435,0.425491253001421,0.7741271024876236,0.8590928105882012,1.2583403185247275,0.1768651927900602,0.42185914691446325,0.7296078475225595,0.9237449131848896
