asset,symbol,n_entries_3y,first_entry,last_entry,weekly_bars
crypto,0GUSDT,0,,,35
crypto,1000000MOGUSDT,0,,,92
crypto,1000BONKUSDT,0,,,115
crypto,1000CATUSDT,0,,,87
crypto,1000RATSUSDT,0,,,127
crypto,1000SATSUSDT,1,2026-05-04,2026-05-04,127
crypto,1000XECUSDT,2,2025-07-21,2025-08-04,150
crypto,1INCHUSDT,1,2025-07-07,2025-07-07,202
crypto,1MBABYDOGEUSDT,0,,,87
crypto,1MCHEEMSUSDT,0,,,78
crypto,2ZUSDT,0,,,33
crypto,4USDT,0,,,32
crypto,AAOIUSDT,0,,,4
crypto,AAPLUSDT,0,,,38
crypto,AAVEUSDT,1,2023-10-16,2023-10-16,270
crypto,ACEUSDT,0,,,126
crypto,ACHUSDT,1,2026-05-04,2026-05-04,168
crypto,ACTUSDT,0,,,79
crypto,ACUUSDT,0,,,17
crypto,ACXUSDT,0,,,76
crypto,ADAUSDT,1,2023-10-23,2023-10-23,300
crypto,AEROUSDT,0,,,80
crypto,AEVOUSDT,0,,,113
crypto,AGLDUSDT,1,2026-05-04,2026-05-04,148
crypto,AIGENSYNUSDT,0,,,3
crypto,AINUSDT,0,,,45
crypto,AIOUSDT,0,,,40
crypto,AIXBTUSDT,0,,,74
crypto,AKTUSDT,0,,,90
crypto,ALCHUSDT,0,,,71
crypto,ALGOUSDT,1,2026-05-04,2026-05-04,220
crypto,ALICEUSDT,0,,,95
crypto,ALLOUSDT,0,,,27
crypto,ALTUSDT,0,,,120
crypto,AMATUSDT,0,,,5
crypto,AMDUSDT,0,,,5
crypto,AMZNUSDT,0,,,38
crypto,ANIMEUSDT,0,,,69
crypto,ANKRUSDT,0,,,169
crypto,APEUSDT,3,2024-02-26,2024-11-04,215
crypto,API3USDT,1,2025-08-18,2025-08-18,196
crypto,APLDUSDT,0,,,3
crypto,APPUSDT,0,,,36
crypto,APRUSDT,0,,,30
crypto,APTUSDT,2,2024-09-30,2025-09-29,187
crypto,ARBUSDT,2,2025-07-21,2025-08-04,165
crypto,ARCUSDT,0,,,70
crypto,ARIAUSDT,0,,,37
crypto,ARKMUSDT,2,2025-08-11,2025-09-08,147
crypto,ARKUSDT,0,,,86
crypto,ARMUSDT,0,,,36
crypto,ARPAUSDT,0,,,161
crypto,ARUSDT,2,2023-11-27,2025-08-04,229
crypto,ASMLUSDT,0,,,36
crypto,ASRUSDT,0,,,54
crypto,ASTERUSDT,0,,,35
crypto,ASTRUSDT,1,2025-08-18,2025-08-18,169
crypto,ATAUSDT,0,,,109
crypto,ATHUSDT,0,,,101
crypto,ATOMUSDT,5,2023-11-06,2026-05-04,290
crypto,ATUSDT,0,,,28
crypto,AUCTIONUSDT,0,,,65
crypto,AUSDT,0,,,51
crypto,AVAUSDT,0,,,75
crypto,AVAXUSDT,3,2023-10-30,2025-08-04,242
crypto,AVGOUSDT,0,,,14
crypto,AVNTUSDT,0,,,36
crypto,AWEUSDT,0,,,52
crypto,AXLUSDT,0,,,114
crypto,AXSUSDT,5,2023-10-23,2026-04-20,243
crypto,AXTIUSDT,0,,,1
crypto,AZTECUSDT,0,,,14
crypto,B2USDT,0,,,55
crypto,BABAUSDT,0,,,36
crypto,BABYUSDT,0,,,58
crypto,BANANAS31USDT,0,,,61
crypto,BANANAUSDT,0,,,96
crypto,BANDUSDT,1,2025-08-18,2025-08-18,196
crypto,BANKUSDT,0,,,57
crypto,BANUSDT,0,,,78
crypto,BARDUSDT,0,,,35
crypto,BASEDUSDT,0,,,7
crypto,BASUSDT,0,,,38
crypto,BATUSDT,2,2025-07-21,2025-10-06,182
crypto,BAUSDT,0,,,6
crypto,BBUSDT,0,,,105
crypto,BCHUSDT,1,2023-06-19,2023-06-19,333
crypto,BEAMUSDT,0,,,114
crypto,BEATUSDT,0,,,27
crypto,BELUSDT,0,,,166
crypto,BERAUSDT,0,,,67
crypto,BEUSDT,0,,,4
crypto,BGBUSDT,0,,,98
crypto,BICOUSDT,0,,,104
crypto,BIGTIMEUSDT,0,,,136
crypto,BILLUSDT,0,,,2
crypto,BIOUSDT,0,,,72
crypto,BIRBUSDT,0,,,16
crypto,BLESSUSDT,0,,,34
crypto,BLURUSDT,0,,,169
crypto,BNBUSDT,1,2023-11-06,2023-11-06,333
crypto,BNTUSDT,0,,,145
crypto,BOMEUSDT,0,,,113
crypto,BRETTUSDT,0,,,101
crypto,BREVUSDT,0,,,19
crypto,BROCCOLIUSDT,0,,,66
crypto,BRUSDT,0,,,61
crypto,BSBUSDT,0,,,8
crypto,BSVUSDT,0,,,158
crypto,BTCUSDT,0,,,333
crypto,BUSDT,0,,,52
crypto,BZUSDT,0,,,7
crypto,C98USDT,1,2024-11-18,2024-11-18,207
crypto,CAKEUSDT,0,,,112
crypto,CARVUSDT,0,,,84
crypto,CATIUSDT,0,,,87
crypto,CCUSDT,0,,,4
crypto,CELOUSDT,2,2025-08-18,2025-09-29,170
crypto,CELRUSDT,0,,,159
crypto,CETUSUSDT,0,,,80
crypto,CFGUSDT,0,,,9
crypto,CFXUSDT,1,2025-07-14,2025-07-14,169
crypto,CGPTUSDT,0,,,74
crypto,CHILLGUYUSDT,0,,,78
crypto,CHIPUSDT,0,,,4
crypto,CHRUSDT,1,2025-08-11,2025-08-11,163
crypto,CHZUSDT,4,2024-11-18,2026-04-20,213
crypto,CKBUSDT,1,2025-08-18,2025-08-18,165
crypto,CLANKERUSDT,0,,,29
crypto,CLOUSDT,0,,,31
crypto,CLUSDT,0,,,9
crypto,COAIUSDT,0,,,34
crypto,COHRUSDT,0,,,4
crypto,COINUSDT,0,,,38
crypto,COMPUSDT,1,2025-07-21,2025-07-21,202
crypto,COOKIEUSDT,0,,,71
crypto,COPPERUSDT,0,,,10
crypto,COPUSDT,0,,,10
crypto,COSTUSDT,0,,,11
crypto,COTIUSDT,1,2025-11-03,2025-11-03,166
crypto,COWUSDT,0,,,80
crypto,CRCLUSDT,0,,,39
crypto,CRDOUSDT,0,,,3
crypto,CROSSUSDT,0,,,46
crypto,CROUSDT,0,,,79
crypto,CRVUSDT,3,2023-12-11,2024-11-11,231
crypto,CRWVUSDT,0,,,3
crypto,CTKUSDT,0,,,55
crypto,CTSIUSDT,0,,,82
crypto,CUSDT,0,,,44
crypto,CVCUSDT,0,,,84
crypto,CVXUSDT,0,,,76
crypto,CYBERUSDT,1,2025-07-21,2025-07-21,143
