K_weeks_back,X_dist_low_pct,Y_dist_now_pct,H_hold_weeks,count,win_rate,mean_short,mean_capped,median_short,p25,p75,std,max_loss,sharpe_like
4,0.2,0.03,2,307,0.7296416938110749,0.05383519454014671,0.05410325161985353,0.0908521303258144,-0.015923581600479797,0.16672781272893966,0.19534137344065355,-1.082293523469994,0.27559545421391396
4,0.2,0.03,4,258,0.6705426356589147,0.048701704908298775,0.05148463309161592,0.10727754077342194,-0.05876654325422048,0.21328474492176644,0.2669132712898563,-1.497831079356979,0.18246265789987948
4,0.2,0.03,8,227,0.5330396475770925,-0.11377435707204069,-0.08019733909269706,0.026354484786788812,-0.27418311253503114,0.16256340184833568,0.48922089915480577,-2.5469315531247485,-0.23256233997484782
4,0.2,0.03,12,221,0.579185520361991,-0.002045790664307348,0.015832753875285068,0.06913092550790068,-0.16419386745796238,0.2567435017165277,0.43359976569233344,-2.1157966719854113,-0.004718154450662149
4,0.2,0.05,2,531,0.7344632768361582,0.049169727616173824,0.053648574370774436,0.09421241864769325,-0.012159602491701449,0.16740748290540342,0.2372822077387452,-2.7937056576314356,0.2072204573817484
4,0.2,0.05,4,444,0.6554054054054054,0.03688971930035461,0.047219155994151045,0.10554369343891407,-0.06965975414928294,0.21892537391349748,0.34709533246452795,-4.380389303256322,0.10628123126410703
4,0.2,0.05,8,380,0.5473684210526316,-0.08466430298174125,-0.05645569172235441,0.03753510447717545,-0.24928922601695647,0.18024483049089995,0.4861327681332077,-4.055848644715299,-0.1741588070823935
4,0.2,0.05,12,369,0.6016260162601627,0.01906839803922948,0.04199495478518646,0.08219392752203714,-0.15190691661279887,0.2880495159498492,0.461075644404046,-3.1671820993269053,0.04135633332763858
4,0.3,0.03,2,141,0.7092198581560284,0.0582169824326365,0.05880062444306199,0.0914664051005396,-0.028357159596906545,0.20238095238095244,0.2254337308369703,-1.082293523469994,0.2582443284618219
4,0.3,0.03,4,123,0.7642276422764228,0.1063242342604177,0.11037164140966145,0.15877147319104634,0.013831284885541528,0.25363199418880933,0.2616442041547688,-1.497831079356979,0.40636953760888345
4,0.3,0.03,8,106,0.6415094339622641,-0.04698000384608267,-0.020925998868845202,0.07317878088220964,-0.20075894128204647,0.21451204097621487,0.4731277252840809,-2.5283218634197984,-0.09929666205436255
4,0.3,0.03,12,101,0.5742574257425742,0.030538534595362824,0.04664225199206579,0.0829646017699115,-0.15190691661279887,0.26614248272575647,0.40922456956098746,-1.7167799390672598,0.07462536921506031
4,0.3,0.05,2,249,0.7188755020080321,0.0633177321869299,0.06364822826512265,0.09823434991974322,-0.018861194096401634,0.19092987804878048,0.2092503525686524,-1.082293523469994,0.3025931923634688
4,0.3,0.05,4,218,0.7339449541284404,0.09347409240447571,0.09575772120886554,0.1479803444720898,-0.0063639931656162,0.2542001932796908,0.2635225649249974,-1.497831079356979,0.35471001290185483
4,0.3,0.05,8,184,0.6413043478260869,-0.01250163100252151,0.0025077414300174595,0.08128420988042867,-0.17882684215874678,0.21351136025841802,0.42044786813285767,-2.5283218634197984,-0.029734081083676964
4,0.3,0.05,12,175,0.6228571428571429,0.060060241338128956,0.07735255695475804,0.09908869208060589,-0.1010920099202709,0.29255101269649336,0.41796542004406817,-2.39967977584309,0.1436966755091761
4,0.4,0.03,2,52,0.5961538461538461,0.03194362875878077,0.03194362875878077,0.07727183686093436,-0.1003250834681324,0.23119201393661348,0.2691728012765095,-0.8269966828272519,0.11867331545866876
4,0.4,0.03,4,47,0.7021276595744681,0.06969684425903719,0.08028899488365378,0.12116016573796251,-0.07093620200071238,0.31983573492947986,0.34435488387712937,-1.497831079356979,0.20239830338490566
4,0.4,0.03,8,41,0.6829268292682927,-0.010070656507135083,0.01979634540350664,0.05138558066577581,-0.060758679811401706,0.21483841602184794,0.45112869718899107,-2.22454707833631,-0.022323245162380323
4,0.4,0.03,12,37,0.5135135135135135,0.051095260881350434,0.051095260881350434,0.005744125326370697,-0.14874418604651174,0.20721649484536075,0.25972597094547806,-0.4352195238664913,0.1967275767430913
4,0.4,0.05,2,86,0.6162790697674418,0.04438515543016718,0.04438515543016718,0.08285010104661605,-0.0804243133467073,0.23252682697496072,0.25226256605714625,-0.8269966828272519,0.17594824362530428
4,0.4,0.05,4,78,0.7051282051282052,0.09024700368578294,0.09662945342112882,0.11649959620543426,-0.03097711120486424,0.328479637266957,0.3166979540686482,-1.497831079356979,0.28496238300996657
4,0.4,0.05,8,69,0.6956521739130435,0.029109589496034524,0.046856648602357866,0.05981412005457021,-0.060758679811401706,0.23483961601498482,0.4177107319152199,-2.22454707833631,0.06968839264092146
4,0.4,0.05,12,64,0.609375,0.0957130132006019,0.0957130132006019,0.10192333865304276,-0.08636078753100968,0.2672163157444336,0.3175789861241876,-0.7906189671331418,0.30138333259611144
8,0.2,0.03,2,486,0.668724279835391,0.005472593102295541,0.006258812403044743,0.05911158738370331,-0.0551837872967787,0.14176931352936598,0.22666778597859336,-1.2910170749814402,0.024143673873500384
8,0.2,0.03,4,419,0.5155131264916468,-0.06777601465643156,-0.06296889357103512,0.01079489695780178,-0.2001601802672699,0.15738275818897068,0.3246367184955306,-1.9636228656273205,-0.20877494995183254
8,0.2,0.03,8,367,0.4332425068119891,-0.17761505530225455,-0.13804179688621587,-0.048128342245989275,-0.36165797289926727,0.14433929214110314,0.512969017412837,-2.5469315531247485,-0.3462490896585868
8,0.2,0.03,12,359,0.5571030640668524,-0.03762150375478859,-0.012610629295037258,0.045870206489675436,-0.18997390475291032,0.2372699575432956,0.4824192010176819,-4.313956948715405,-0.07798508781454921
8,0.2,0.05,2,815,0.6650306748466258,-0.00098205247061802,0.002764511853734289,0.06372165754495696,-0.060237458540131184,0.14594141067837169,0.25644170815580264,-2.7937056576314356,-0.0038295348977373384
8,0.2,0.05,4,704,0.5397727272727273,-0.06676730170692965,-0.052903343531632355,0.03149962031128223,-0.17926589134449067,0.1553030752774892,0.3803528673051197,-4.380389303256322,-0.1755404190324371
8,0.2,0.05,8,609,0.4663382594417077,-0.14235097243252953,-0.1075530341005915,-0.029649595687331498,-0.3322724379376194,0.1644494034846794,0.5107075015955312,-4.055848644715299,-0.27873287936402447
8,0.2,0.05,12,596,0.5771812080536913,-0.02519765699739171,0.007429965810470201,0.06380584568051162,-0.19441147194196923,0.2650306467059055,0.5158825488680409,-4.313956948715405,-0.04884378634765002
8,0.3,0.03,2,287,0.6759581881533101,0.01862407597274361,0.018910812988318506,0.06688068485821297,-0.056368968470284386,0.1615961574185676,0.22200499629680448,-1.082293523469994,0.08389034608862848
