621 USDT-M perpetual symbols on Bitget (granularity=1h)
[ 104/621] BIGTIMEUSDT          rows= 23442  ( 0.1s)
[ 105/621] BILLUSDT             rows=   960  ( 0.1s)
[ 106/621] BIOUSDT              rows= 12669  ( 0.1s)
[ 107/621] BIRBUSDT             rows=  3290  ( 0.1s)
[ 108/621] BLESSUSDT            rows=  6357  ( 0.1s)
[ 109/621] BLURUSDT             rows= 29042  ( 0.1s)
[ 110/621] BNBUSDT              rows= 56575  ( 0.1s)
[ 111/621] BNTUSDT              rows= 24932  ( 0.1s)
[ 112/621] BOMEUSDT             rows= 19627  ( 0.1s)
[ 113/621] BRETTUSDT            rows= 17545  ( 0.1s)
[ 115/621] BRKBUSDT             rows=   477  ( 0.1s)
[ 114/621] BREVUSDT             rows=  3833  ( 0.1s)
[ 116/621] BROCCOLIUSDT         rows= 11660  ( 0.1s)
[ 117/621] BRUSDT               rows= 10842  ( 0.1s)
[ 118/621] BSBUSDT              rows=  1963  ( 0.1s)
[ 119/621] BSVUSDT              rows= 27165  ( 0.1s)
[ 120/621] BTCUSDT              rows= 56575  ( 0.1s)
[ 122/621] BUSDT                rows=  9335  ( 0.1s)
[ 121/621] BTWUSDT              rows=   256  ( 0.1s)
[ 123/621] BXUSDT               rows=   164  ( 0.1s)
[ 124/621] BZUSDT               rows=  1797  ( 0.1s)
[ 125/621] C98USDT              rows= 35444  ( 0.1s)
[ 126/621] CAKEUSDT             rows= 19436  ( 0.1s)
[ 127/621] CARVUSDT             rows= 14662  ( 0.1s)
[ 128/621] CATIUSDT             rows= 15188  ( 0.1s)
[ 129/621] CBRSUSDT             rows=   817  ( 0.1s)
[ 130/621] CCUSDT               rows=  1245  ( 0.1s)
[ 131/621] CELOUSDT             rows= 29154  ( 0.1s)
[ 132/621] CELRUSDT             rows= 27310  ( 0.1s)
[ 133/621] CETUSUSDT            rows= 14065  ( 0.1s)
[ 134/621] CFGUSDT              rows=  2178  ( 0.1s)
[ 135/621] CFXUSDT              rows= 29018  ( 0.1s)
[ 136/621] CGPTUSDT             rows= 12984  ( 0.1s)
[ 137/621] CHILLGUYUSDT         rows= 13684  ( 0.1s)
[ 138/621] CHIPUSDT             rows=  1313  ( 0.1s)
[ 139/621] CHRUSDT              rows= 27958  ( 0.1s)
[ 140/621] CHZUSDT              rows= 36364  ( 0.1s)
[ 141/621] CIENUSDT             rows=   164  ( 0.1s)
[ 142/621] CKBUSDT              rows= 28269  ( 0.1s)
[ 143/621] CLANKERUSDT          rows=  5538  ( 0.1s)
[ 144/621] CLUSDT               rows=  2184  ( 0.1s)
[ 145/621] COAIUSDT             rows=  6288  ( 0.1s)
[ 146/621] COHRUSDT             rows=  1298  ( 0.1s)
[ 147/621] COINUSDT             rows=  7007  ( 0.1s)
[ 148/621] COMPUSDT             rows= 34509  ( 0.1s)
[ 149/621] COOKIEUSDT           rows= 12573  ( 0.1s)
[ 150/621] COPPERUSDT           rows=  2352  ( 0.1s)
[ 151/621] COPUSDT              rows=  2281  ( 0.1s)
[ 152/621] COSTUSDT             rows=  2518  ( 0.1s)
[ 153/621] COTIUSDT             rows= 28440  ( 0.1s)
[ 154/621] COWUSDT              rows= 14059  ( 0.1s)
[ 155/621] CRCLUSDT             rows=  7203  ( 0.1s)
[ 156/621] CRDOUSDT             rows=  1152  ( 0.1s)
[ 158/621] CROUSDT              rows= 13920  ( 0.1s)
[ 157/621] CROSSUSDT            rows=  8303  ( 0.1s)
[ 159/621] CRVUSDT              rows= 39408  ( 0.1s)
[ 160/621] CRWDUSDT             rows=   164  ( 0.1s)
[ 161/621] CRWVUSDT             rows=  1152  ( 0.1s)
[ 162/621] CSCOUSDT             rows=   647  ( 0.1s)
[ 163/621] CTKUSDT              rows=  9861  ( 0.1s)
[ 164/621] CTRUSDT              rows=   429  ( 0.1s)
[ 165/621] CTSIUSDT             rows= 14348  ( 0.1s)
[ 166/621] CUSDT                rows=  8062  ( 0.1s)
[ 167/621] CVCUSDT              rows= 14733  ( 0.1s)
[ 168/621] CVXUSDT              rows= 13437  ( 0.1s)
[ 169/621] CYBERUSDT            rows= 24691  ( 0.1s)
[ 170/621] CYSUSDT              rows=  4436  ( 0.1s)
[ 171/621] DASHUSDT             rows=  5349  ( 0.1s)
[ 172/621] DEEPUSDT             rows= 14565  ( 0.1s)
[ 173/621] DELLUSDT             rows=   407  ( 0.1s)
[ 174/621] DEXEUSDT             rows= 12909  ( 0.1s)
[ 175/621] DFENUSDT             rows=   331  ( 0.1s)
[ 176/621] DIAUSDT              rows= 14899  ( 0.1s)
