entry_date,entry_close,intra_at_entry,gap_in_atr,exit_date,exit_close,bars_held,ret_pct,exit_reason
2025-09-16,93300,1.4130434782608696,0.01098901098901099,2025-09-30,96500,10,3.4297963558413747,TIMEOUT (10봉)
2025-12-26,132600,5.321683876092136,0.11164581328200192,2026-01-13,173200,10,30.618401206636502,TIMEOUT (10봉)
2026-01-27,174800,2.944640753828033,0.4716014897579143,2026-01-30,211000,3,20.709382151029754,★T (장대양봉 익절)
2026-02-23,204000,1.240694789081886,0.4622823984526112,2026-02-26,275500,3,35.04901960784315,★T (장대양봉 익절)
2026-03-24,296500,-4.20032310177706,0.3705618752154429,2026-03-26,278000,2,-6.2394603709949426,STOP (정배열 깨짐)
2026-04-17,286500,-1.376936316695353,0.13075780089153047,2026-05-04,378000,10,31.937172774869115,TIMEOUT (10봉)
