MA20w_대비_위치_pct,7일내_도달_표본,7일내_도달_비율,14일내_도달_표본,14일내_도달_비율,30일내_도달_표본,30일내_도달_비율
-5%,523,0.7996941896024465,554,0.8470948012232415,588,0.8990825688073395
-10%,375,0.573394495412844,447,0.6834862385321101,510,0.7798165137614679
-15%,254,0.38837920489296635,329,0.5030581039755352,422,0.6452599388379205
-20%,141,0.21559633027522937,222,0.3394495412844037,325,0.4969418960244648
-25%,63,0.0963302752293578,142,0.21712538226299694,253,0.38685015290519875
-30%,21,0.03211009174311927,83,0.12691131498470948,177,0.2706422018348624
-40%,7,0.010703363914373088,27,0.04128440366972477,70,0.10703363914373089
-50%,4,0.0061162079510703364,16,0.024464831804281346,34,0.05198776758409786
-75%,2,0.0030581039755351682,7,0.010703363914373088,8,0.012232415902140673
