MA20w_대비_위치_pct,7일내_도달_표본,7일내_도달_비율,14일내_도달_표본,14일내_도달_비율,30일내_도달_표본,30일내_도달_비율
+5%,439,0.6712538226299695,477,0.7293577981651376,504,0.7706422018348624
+10%,334,0.5107033639143731,392,0.599388379204893,432,0.6605504587155964
+15%,239,0.3654434250764526,314,0.4801223241590214,370,0.5657492354740061
+20%,160,0.24464831804281345,240,0.3669724770642202,301,0.4602446483180428
+25%,114,0.1743119266055046,197,0.3012232415902141,260,0.39755351681957185
+30%,95,0.1452599388379205,173,0.26452599388379205,233,0.3562691131498471
+40%,56,0.0856269113149847,119,0.1819571865443425,175,0.26758409785932724
+50%,38,0.0581039755351682,84,0.12844036697247707,141,0.21559633027522937
+75%,16,0.024464831804281346,39,0.05963302752293578,89,0.13608562691131498
+100%,6,0.009174311926605505,17,0.02599388379204893,55,0.08409785932721713
+150%,2,0.0030581039755351682,9,0.013761467889908258,19,0.0290519877675841
+200%,2,0.0030581039755351682,5,0.00764525993883792,11,0.016819571865443424
