643 USDT-M perpetual symbols on Bitget (granularity=1h)
[   5/643] 1000CATUSDT          rows= 15352  ( 0.1s)
[   4/643] 1000BONKUSDT         rows= 19942  ( 0.1s)
[   2/643] 1000000MOGUSDT       rows= 16151  ( 0.2s)
[   3/643] 10000NEXUSDT         rows=   666  ( 0.2s)
[   1/643] 0GUSDT               rows=  6554  ( 0.2s)
[   6/643] 1000RATSUSDT         rows= 21956  ( 0.1s)
[   7/643] 1000SATSUSDT         rows= 22029  ( 0.1s)
[   8/643] 1000XECUSDT          rows= 25843  ( 0.1s)
[  10/643] 1MBABYDOGEUSDT       rows= 15352  ( 0.1s)
[   9/643] 1INCHUSDT            rows= 34580  ( 0.1s)
[  11/643] 1MCHEEMSUSDT         rows= 13723  ( 0.1s)
[  12/643] 2ZUSDT               rows=  6215  ( 0.1s)
[  13/643] 4USDT                rows=  6046  ( 0.1s)
[  14/643] AAOIUSDT             rows=  1369  ( 0.1s)
[  15/643] AAPLUSDT             rows=  7100  ( 0.1s)
[  16/643] AAVEUSDT             rows= 46078  ( 0.1s)
[  17/643] ABNBUSDT             rows=    64  ( 0.1s)
[  18/643] ACEUSDT              rows= 21885  ( 0.1s)
[  19/643] ACHRUSDT             rows=   548  ( 0.1s)
[  20/643] ACHUSDT              rows= 28942  ( 0.1s)
[  21/643] ACTUSDT              rows= 14014  ( 0.1s)
[  22/643] ACUUSDT              rows=  3545  ( 0.1s)
[  23/643] ACXUSDT              rows= 13411  ( 0.1s)
[  25/643] ADBEUSDT             rows=   235  ( 0.1s)
[  24/643] ADAUSDT              rows= 51094  ( 1.2s)
[  26/643] ADVANTESTUSDT        rows=   314  ( 0.1s)
[  27/643] AEHRUSDT             rows=   187  ( 0.1s)
[  28/643] AEROUSDT             rows= 14156  ( 0.1s)
[  29/643] AEVOUSDT             rows= 19626  ( 0.1s)
[  30/643] AGLDUSDT             rows= 25576  ( 0.1s)
[  31/643] AINUSDT              rows=  8226  ( 0.1s)
[  32/643] AIOUSDT              rows=  7411  ( 0.1s)
[  33/643] AIXBTUSDT            rows= 13055  ( 0.1s)
[  34/643] AKTUSDT              rows= 15790  ( 0.1s)
[  35/643] ALCHUSDT             rows= 12644  ( 0.1s)
[  36/643] ALGOUSDT             rows= 37627  ( 0.1s)
[  37/643] ALICEUSDT            rows= 16680  ( 0.1s)
[  38/643] ALLOUSDT             rows=  5248  ( 0.1s)
[  39/643] ALTUSDT              rows= 20879  ( 0.1s)
[  40/643] AMATUSDT             rows=  1535  ( 0.1s)
[  41/643] AMCUSDT              rows=   235  ( 0.1s)
[  42/643] AMDUSDT              rows=  1535  ( 0.1s)
[  43/643] AMZNUSDT             rows=  7100  ( 0.1s)
[  44/643] ANIMEUSDT            rows= 12256  ( 0.1s)
[  45/643] ANKRUSDT             rows= 29018  ( 0.1s)
[  46/643] ANTHROPICUSDT        rows=   384  ( 0.1s)
[  47/643] APEUSDT              rows= 36763  ( 0.1s)
[  48/643] API3USDT             rows= 33671  ( 0.1s)
[  49/643] APLDUSDT             rows=  1223  ( 0.1s)
[  50/643] APPUSDT              rows=  6765  ( 0.1s)
[  51/643] APRUSDT              rows=  5707  ( 0.1s)
[  52/643] APTUSDT              rows= 32116  ( 0.1s)
[  53/643] ARBUSDT              rows= 28384  ( 0.1s)
[  54/643] ARCUSDT              rows= 12401  ( 0.1s)
[  55/643] ARIAUSDT             rows=  6907  ( 0.1s)
[  56/643] ARKMUSDT             rows= 25321  ( 0.1s)
[  57/643] ARKUSDT              rows= 15189  ( 0.1s)
[  58/643] ARMUSDT              rows=  6789  ( 0.1s)
[  60/643] ARQQUSDT             rows=   548  ( 0.1s)
[  59/643] ARPAUSDT             rows= 27740  ( 1.2s)
[  61/643] ARUSDT               rows= 39165  ( 0.1s)
[  62/643] ASMLUSDT             rows=  6789  ( 0.1s)
[  63/643] ASRUSDT              rows=  9790  ( 0.1s)
[  64/643] ASTERUSDT            rows=  6520  ( 0.1s)
[  65/643] ASTRUSDT             rows= 29064  ( 1.2s)
[  66/643] ASTSUSDT             rows=   718  ( 0.1s)
[  67/643] ATHUSDT              rows= 17591  ( 0.1s)
[  68/643] ATOMUSDT             rows= 49395  ( 0.1s)
[  69/643] ATUSDT               rows=  5452  ( 0.1s)
[  70/643] AUCTIONUSDT          rows= 11662  ( 0.1s)
[  72/643] AVAUSDT              rows= 13242  ( 0.1s)
[  73/643] AVAVUSDT             rows=   402  ( 0.1s)
[  74/643] AVAXUSDT             rows= 41356  ( 0.1s)
[  75/643] AVGOUSDT             rows=  3041  ( 0.1s)
[  71/643] AUSDT                rows=  9262  ( 0.1s)
[  76/643] AVNTUSDT             rows=  6765  ( 0.1s)
[  77/643] AWEUSDT              rows=  9430  ( 0.1s)
[  78/643] AXLUSDT              rows= 19848  ( 0.1s)
[  79/643] AXONUSDT             rows=   402  ( 0.1s)
[  80/643] AXSUSDT              rows= 41491  ( 0.1s)
[  81/643] AXTIUSDT             rows=   911  ( 0.1s)
[  82/643] AZTECUSDT            rows=  3021  ( 0.1s)
[  83/643] B2USDT               rows=  9932  ( 0.1s)
[  85/643] BABYUSDT             rows= 10413  ( 0.1s)
[  84/643] BABAUSDT             rows=  6789  ( 0.1s)
[  86/643] BANANAS31USDT        rows= 10917  ( 0.1s)
[  87/643] BANANAUSDT           rows= 16750  ( 0.1s)
[  88/643] BANDUSDT             rows= 33671  ( 0.1s)
[  89/643] BANKUSDT             rows= 10219  ( 0.1s)
[  90/643] BANUSDT              rows= 13843  ( 0.1s)
[  92/643] BASEDUSDT            rows=  1916  ( 0.1s)
[  91/643] BARDUSDT             rows=  6550  ( 0.1s)
[  93/643] BASUSDT              rows=  7096  ( 0.1s)
[  94/643] BATUSDT              rows= 31269  ( 0.1s)
[  95/643] BAUSDT               rows=  1678  ( 0.1s)
[  98/643] BCHUSDT              rows= 56646  ( 0.1s)
[  96/643] BBSTOCKUSDT          rows=   335  ( 0.2s)
[  99/643] BEAMUSDT             rows= 19848  ( 0.1s)
[  97/643] BBUSDT               rows= 18377  ( 0.2s)
[ 100/643] BEATUSDT             rows=  5226  ( 0.1s)
[ 104/643] BICOUSDT             rows= 18144  ( 0.1s)
[ 101/643] BERAUSDT             rows= 11920  ( 0.1s)
[ 105/643] BIGTIMEUSDT          rows= 23513  ( 0.1s)
[ 103/643] BGBUSDT              rows= 17109  ( 0.1s)
[ 102/643] BEUSDT               rows=  1369  ( 0.2s)
[ 106/643] BILLUSDT             rows=  1031  ( 0.1s)
[ 107/643] BIOUSDT              rows= 12740  ( 0.1s)
[ 108/643] BIRBUSDT             rows=  3361  ( 0.1s)
[ 109/643] BLESSUSDT            rows=  6428  ( 0.1s)
[ 110/643] BLURUSDT             rows= 29113  ( 0.1s)
[ 111/643] BMNRUSDT             rows=    41  ( 0.1s)
[ 112/643] BNBUSDT              rows= 56646  ( 0.1s)
[ 113/643] BNTUSDT              rows= 25003  ( 0.1s)
[ 114/643] BOMEUSDT             rows= 19698  ( 0.1s)
[ 115/643] BRETTUSDT            rows= 17616  ( 0.1s)
[ 116/643] BREVUSDT             rows=  3904  ( 0.1s)
[ 117/643] BRKBUSDT             rows=   548  ( 0.1s)
[ 118/643] BROCCOLIUSDT         rows= 11731  ( 0.1s)
[ 119/643] BRUSDT               rows= 10913  ( 0.1s)
[ 120/643] BSBUSDT              rows=  2034  ( 0.1s)
[ 121/643] BSVUSDT              rows= 27236  ( 0.1s)
[ 122/643] BTCUSDT              rows= 56646  ( 0.1s)
[ 123/643] BTWUSDT              rows=   327  ( 0.1s)
[ 124/643] BUDUSDT              rows=    64  ( 0.1s)
[ 125/643] BUSDT                rows=  9406  ( 0.1s)
[ 126/643] BXUSDT               rows=   235  ( 0.1s)
[ 127/643] BZUSDT               rows=  1868  ( 0.1s)
[ 128/643] C98USDT              rows= 35515  ( 0.1s)
[ 129/643] CAKEUSDT             rows= 19507  ( 0.1s)
[ 130/643] CARVUSDT             rows= 14733  ( 0.1s)
[ 131/643] CATIUSDT             rows= 15259  ( 0.1s)
[ 132/643] CBRSUSDT             rows=   888  ( 0.1s)
[ 133/643] CCLUSDT              rows=    64  ( 0.1s)
[ 134/643] CCUSDT               rows=  1316  ( 0.1s)
[ 135/643] CELOUSDT             rows= 29225  ( 0.1s)
[ 136/643] CELRUSDT             rows= 27381  ( 0.1s)
[ 137/643] CETUSUSDT            rows= 14136  ( 0.1s)
[ 138/643] CFGUSDT              rows=  2249  ( 0.1s)
[ 139/643] CFXUSDT              rows= 29089  ( 0.1s)
[ 140/643] CGNXUSDT             rows=    41  ( 0.1s)
[ 141/643] CGPTUSDT             rows= 13055  ( 0.1s)
[ 142/643] CHILLGUYUSDT         rows= 13755  ( 0.1s)
[ 143/643] CHIPUSDT             rows=  1384  ( 0.1s)
[ 144/643] CHRUSDT              rows= 28029  ( 0.1s)
[ 145/643] CHZUSDT              rows= 36435  ( 0.1s)
[ 146/643] CIENUSDT             rows=   235  ( 0.1s)
[ 147/643] CKBUSDT              rows= 28340  ( 0.1s)
[ 148/643] CLANKERUSDT          rows=  5609  ( 0.1s)
[ 149/643] CLUSDT               rows=  2255  ( 0.1s)
[ 150/643] CMCSAUSDT            rows=    64  ( 0.1s)
[ 151/643] COAIUSDT             rows=  6359  ( 0.1s)
[ 152/643] COHRUSDT             rows=  1369  ( 0.1s)
[ 153/643] COINUSDT             rows=  7078  ( 0.1s)
[ 154/643] COMPUSDT             rows= 34580  ( 0.1s)
[ 155/643] COOKIEUSDT           rows= 12644  ( 0.1s)
[ 156/643] COPPERUSDT           rows=  2423  ( 0.1s)
[ 157/643] COPUSDT              rows=  2352  ( 0.1s)
[ 158/643] COSTUSDT             rows=  2589  ( 0.1s)
[ 159/643] COTIUSDT             rows= 28511  ( 0.1s)
[ 160/643] COWUSDT              rows= 14130  ( 0.1s)
[ 161/643] CRCLUSDT             rows=  7274  ( 0.1s)
[ 162/643] CRDOUSDT             rows=  1223  ( 0.1s)
[ 163/643] CROSSUSDT            rows=  8374  ( 0.1s)
[ 164/643] CROUSDT              rows= 13991  ( 0.1s)
[ 165/643] CRVUSDT              rows= 39479  ( 0.1s)
[ 167/643] CRWVUSDT             rows=  1223  ( 0.1s)
[ 166/643] CRWDUSDT             rows=   235  ( 0.1s)
[ 168/643] CSCOUSDT             rows=   718  ( 0.1s)
[ 169/643] CTKUSDT              rows=  9932  ( 0.1s)
[ 170/643] CTRUSDT              rows=   500  ( 0.1s)
[ 171/643] CTSIUSDT             rows= 14419  ( 0.1s)
[ 172/643] CUSDT                rows=  8133  ( 0.1s)
[ 173/643] CVCUSDT              rows= 14804  ( 0.1s)
[ 174/643] CVXUSDT              rows= 13508  ( 0.1s)
[ 175/643] CYBERUSDT            rows= 24762  ( 0.1s)
[ 176/643] CYSUSDT              rows=  4507  ( 0.1s)
[ 177/643] DASHUSDT             rows=  5420  ( 0.1s)
[ 178/643] DEEPUSDT             rows= 14636  ( 0.1s)
[ 179/643] DELLUSDT             rows=   478  ( 0.1s)
[ 180/643] DEXEUSDT             rows= 12980  ( 0.1s)
