보유_일,표본수,윈율,평균_숏수익,p10_숏수익,p25_숏수익,중위_p50_숏수익,p75_숏수익,p90_숏수익,표준편차,최대손실
1,77,0.7142857142857143,0.03112867204630499,-0.17288630740987984,-0.0215716486902926,0.054738208567719715,0.12095702259636687,0.16831415901229216,0.1340029708705952,-0.38239731768650476
2,77,0.6623376623376623,0.014621463535537449,-0.21703105379813076,-0.04972738287560574,0.0847228229778565,0.1535160905840286,0.19836607064351697,0.2032684207521682,-0.8642078792958925
3,77,0.7272727272727273,0.027318516849794895,-0.28041868474846876,-0.03506787330316752,0.09816513761467893,0.17187127532777113,0.22781521087255388,0.2250239582312236,-0.7659681475272422
4,77,0.7662337662337663,0.03818510098109927,-0.2719418451610388,0.014253802786937553,0.10065573770491798,0.15448044366608293,0.19046571898569167,0.19730117098707584,-0.7763621123218776
5,77,0.7142857142857143,0.05201947675285465,-0.212525382285318,-0.010851055403746201,0.09797151488994404,0.1749571183533447,0.21874958241679007,0.190544808165669,-0.6154233025984912
6,77,0.7142857142857143,0.05570976824611603,-0.16411131387877326,-0.02113970588235281,0.09736215424070349,0.18997995991983962,0.22558259724844057,0.18443795078888278,-0.528751047778709
7,77,0.7012987012987013,0.06010824049768182,-0.2237044243127877,-0.018502943650126058,0.12399902936180551,0.1845201238390093,0.2193221160760144,0.18267988915544586,-0.47120954003407167
8,77,0.6363636363636364,0.05145393659938325,-0.1932892371604881,-0.041594051353549544,0.0853221026360943,0.19071207430340553,0.24878361509943428,0.18858305015134852,-0.4454148471615722
9,77,0.7012987012987013,0.07191884660796725,-0.22188307366572602,-0.0375360923965351,0.13110846245530383,0.22082018927444802,0.26369993642720924,0.2068150875575452,-0.6158964001425684
10,77,0.7142857142857143,0.08060882229478478,-0.24283933562616267,-0.014051973051010469,0.13796354494028917,0.22312276519666274,0.27697259748607733,0.20381083298488872,-0.6021543701239556
11,77,0.6883116883116883,0.0858735224106676,-0.21980700205479353,-0.014705882352941124,0.13536786121311895,0.21808005069173098,0.29615969730067093,0.2048007702892115,-0.5608094728921627
12,77,0.7012987012987013,0.08673878778111103,-0.2024989381694622,-0.0350877192982455,0.14803625377643514,0.23077519981376593,0.30029723825869875,0.2063160308562653,-0.43973176865046093
13,77,0.7272727272727273,0.08904468697340982,-0.21667418225169008,-0.005275916155710769,0.12549069266810176,0.2493261455525606,0.33036238480826674,0.21894763251289373,-0.5203813280736358
14,77,0.7012987012987013,0.08222599989709424,-0.22798411931057974,-0.04534436047340651,0.12650132584620177,0.26407512313552584,0.34625083036415244,0.22773879609166686,-0.543231441048035
15,77,0.7142857142857143,0.09792806344025129,-0.21648639698660385,-0.04356348311853764,0.14261647496223995,0.24328657314629265,0.3464897929858675,0.21899354570208357,-0.5207547169811322
16,77,0.7272727272727273,0.11358840683096379,-0.235423021073328,-0.005524427920615693,0.1718960538979789,0.2828559070169808,0.3667766124900792,0.24934436209499683,-0.8845901639344265
17,77,0.7532467532467533,0.11659753977643188,-0.2220895268925624,0.001261564339781418,0.2007175602949971,0.30512514898688925,0.3509285070773078,0.25698380477819727,-0.981639344262295
18,77,0.7662337662337663,0.12318863692718143,-0.22181206936724024,0.025365103766333608,0.1922467757749453,0.2931070605489211,0.3610504289600335,0.2539902247493627,-0.7967213114754099
19,77,0.8051948051948052,0.1335773288713259,-0.19670875420444967,0.0641025641025641,0.21097770154373918,0.2984978933870672,0.35985353125616687,0.2441522327325312,-0.677704918032787
20,77,0.8051948051948052,0.13257607048848058,-0.18640292051980395,0.04106731085977822,0.19752840342834377,0.28510131108462455,0.3468910622052782,0.24046786287079902,-0.7228529839883553
21,77,0.7792207792207793,0.13351388641281461,-0.17082005731058578,0.03452935675116686,0.20320976491862575,0.2967929558122627,0.35485128899313856,0.23883103933619493,-0.5662299854439594
22,77,0.7792207792207793,0.14534935060552942,-0.138490967917628,0.009971509971510084,0.20611205432937185,0.3256535223748339,0.38903117652898517,0.25580164684360135,-0.7777049180327869
23,77,0.7792207792207793,0.14976780906741094,-0.21717776344828027,0.018836441840631712,0.22505467984010863,0.3346701164294955,0.39942596737859576,0.2715329401235502,-0.8931147540983606
24,77,0.7662337662337663,0.1478435949745629,-0.20221490439973872,0.030790176467508035,0.22933251684017153,0.3337386018237082,0.3913954289615739,0.27314707366331104,-0.7175161379747337
25,77,0.7792207792207793,0.1567484254882281,-0.22739802345336724,0.05248706304784023,0.23414081561519684,0.3447354904982024,0.4087993673770626,0.268841174173208,-0.7243277493960634
26,77,0.8051948051948052,0.1557279502299605,-0.1741712025668692,0.03658536585365857,0.2178217821782178,0.3188546469303568,0.42802324150571736,0.24820011484935262,-0.6444497247633756
27,77,0.7662337662337663,0.14519826356298554,-0.16924824176342734,0.023278796530141643,0.1901940281166492,0.3034564958283671,0.4091942204811408,0.2392272813847091,-0.6604094887331193
28,77,0.7662337662337663,0.1561074123664,-0.166125839007195,0.013190086161046555,0.20566981656475825,0.32103858286823594,0.41833271897303187,0.23985009661426818,-0.5786701516771613
29,77,0.7662337662337663,0.17343306392510074,-0.14466606178614977,0.01851851851851849,0.20455808782657026,0.3640617688348151,0.4488644360972528,0.2533908563306769,-0.6145560407569142
30,77,0.7402597402597403,0.17643283808398424,-0.13848253641813524,-0.008410428931875602,0.19693356047700172,0.3802281368821293,0.43800157454548394,0.25235342745289985,-0.565997386242129
