eval_date,bucket,Symbol,Name,tf,angle_deg,residence_20,next_ret_pct
2026-05-12,B,181710,NHN,1W,0.7555323487526209,1.0,-2.7741083223249667
2026-05-12,A,002100,경농,1W,0.24063782832586378,0.75,-0.7077856420626896
2026-05-12,B,018470,조일알미늄,1W,0.8556799318739788,0.45,-1.095360824742268
2026-05-12,B,009680,모토닉,1M,0.6382143041284798,0.9,-0.8466603951081844
2026-05-12,B,007660,이수페타시스,1W,0.18309786474149345,0.65,3.6604361370716503
2026-05-12,B,005725,넥센우,1M,1.0966014185879895,0.95,-0.3325942350332594
2026-05-12,B,298050,HS효성첨단소재,1W,0.6701375570058118,0.8,-2.3404255319148937
2026-05-12,A,001390,KG케미칼,1M,0.7827423943969712,0.5,-3.5523978685612785
2026-05-12,B,009470,삼화전기,1Q,1.16400565313427,0.65,-3.354037267080745
2026-05-12,B,00104K,CJ4우(전환),1W,0.5265667201150867,0.9,-2.3783185840707963
2026-05-12,A,009190,대양금속,1W,0.42486292971334627,0.35,-3.3356497567755383
2026-05-12,B,071050,한국금융지주,1W,1.284785617313265,1.0,0.8016032064128256
2026-05-12,B,000850,화천기공,1M,0.7982417194027628,0.65,-0.2840909090909091
2026-05-12,B,004980,성신양회,1W,0.31145690646502733,0.55,-1.5414258188824663
