rally_정의,rally_임계_pct,숏보유_일,표본수,윈율,평균_숏수익_capped,중위_숏수익,p10,p25,p75,p90,표준편차,최대손실,Sharpe_like
일봉_14일_저점,+20%,7,1412,0.5920679886685553,0.014790559940775702,0.034963696308322134,-0.1696588224821051,-0.06447588283574085,0.12254954584930114,0.18795363278587093,0.17531208553672742,-1.802827380952381,0.07818200354261477
일봉_14일_저점,+20%,14,1406,0.6038406827880513,0.005659255754051916,0.04864308455209809,-0.26552934162575326,-0.08652874006301098,0.14717537541321532,0.2352783998481307,0.2445182129651212,-1.9804025423728815,0.01105992064102345
일봉_14일_저점,+20%,30,1319,0.5640636846095527,-0.023234241417044867,0.04062616474096159,-0.4334179036287461,-0.1393884499169733,0.15995038340099244,0.3014474912537843,0.38108011498465055,-4.484475577432791,-0.09929469816168379
일봉_14일_저점,+30%,7,784,0.6173469387755102,0.02231036332063334,0.045260871450564955,-0.1709252295166124,-0.05866794942354803,0.1255579453990974,0.18940322580172586,0.18309474735307107,-1.802827380952381,0.11000365535119719
일봉_14일_저점,+30%,14,777,0.6229086229086229,0.013452099140146482,0.06621004566210054,-0.2670851179587173,-0.09442060085836901,0.16003748438150767,0.2486414592437773,0.24107975559348546,-1.4547935237402223,0.04865177495329716
일봉_14일_저점,+30%,30,752,0.6063829787234043,0.008148875518024578,0.05845341313219854,-0.3812271989457274,-0.11593613281719423,0.18608965385044288,0.3334925016899506,0.3672193540002372,-4.437329452428598,-0.009214392915693181
일봉_14일_저점,+50%,7,209,0.6985645933014354,0.06089164429160836,0.09037711313394015,-0.18253372215283256,-0.018502943650126058,0.17029941926238779,0.23246219748180608,0.16768147810119233,-0.869850344711619,0.3631387615444414
일봉_14일_저점,+50%,14,209,0.7033492822966507,0.0659790703518634,0.12650132584620177,-0.2491938452243406,-0.05072164948453617,0.2194538568865857,0.30980107956889186,0.2288712912844976,-0.8610944076969334,0.2882802381267136
일봉_14일_저점,+50%,30,206,0.6990291262135923,0.11628993233943298,0.15652722443559108,-0.20107397904953994,-0.04358887394984551,0.2958675762234879,0.4189728996656796,0.27244689811702305,-1.1954845814977975,0.42198334479585176
일봉_7일_저점,+20%,7,1137,0.5804749340369393,0.012427731079614706,0.03118962186033669,-0.18236129637669563,-0.06837988826815655,0.12134944612285992,0.1937101947288704,0.1828408739152367,-1.802827380952381,0.06060551382299273
일봉_7일_저점,+20%,14,1132,0.5945229681978799,0.000999199274599044,0.043948309104226146,-0.2847885910021816,-0.09631913835700373,0.1480045782404009,0.2378841655641622,0.24661218999296172,-1.8010889292196008,-0.005776677512321176
일봉_7일_저점,+20%,30,1069,0.5612722170252572,-0.03553618011112438,0.03782505910165479,-0.49884858011899086,-0.1547307893361214,0.15804066543438078,0.3107684818149785,0.41856343225583487,-4.484475577432791,-0.132921343717323
일봉_7일_저점,+30%,7,529,0.667296786389414,0.03603902667963629,0.07306763285024143,-0.1695549206866819,-0.04143366267783155,0.14405010438413368,0.21067913880552086,0.19788494854415983,-1.802827380952381,0.16587454399348356
일봉_7일_저점,+30%,14,527,0.6337760910815939,0.019770643813443765,0.08080336291452594,-0.2787235705928225,-0.09859061568175198,0.17085392718526732,0.26810955202435494,0.25082729069043996,-1.4547935237402223,0.0722682714319567
일봉_7일_저점,+30%,30,513,0.621832358674464,0.017049529327350266,0.08778625954198482,-0.4334814091306103,-0.11128308311406898,0.2110453648915187,0.36400836273943793,0.4108355311107865,-4.437329452428598,0.0027246670419522
일봉_7일_저점,+50%,7,150,0.74,0.06426062595741813,0.11746133913607021,-0.18721570860187597,-0.010122505092079126,0.17028397231589873,0.22253816626645387,0.17820366742135046,-0.869850344711619,0.3606021519494223
일봉_7일_저점,+50%,14,150,0.7133333333333334,0.07159971997126952,0.12651596904554996,-0.22431943140904517,-0.03354122346319205,0.21282245583006112,0.3096256787591216,0.21956584681252575,-0.8080607040676702,0.3260967997104043
일봉_7일_저점,+50%,30,150,0.7266666666666667,0.1415176960710015,0.18471105931968723,-0.19824440148225544,-0.018664392232712435,0.3166874430484372,0.40566066582950905,0.2440977360907796,-0.723040380047506,0.5797583309759632
주봉_2주_저점,+20%,7,1465,0.5918088737201365,0.015910163276650964,0.03515151515151527,-0.16844499069765567,-0.063581995593327,0.12040096937651457,0.18717359505570788,0.16853189075328917,-1.802827380952381,0.08965506149155335
주봉_2주_저점,+20%,14,1457,0.608098833218943,0.006494876599176744,0.049645390070921835,-0.2708258013032284,-0.08595223586082823,0.14792899408284033,0.23238678489140577,0.24604122785910726,-1.9804025423728815,0.012371536188249373
주봉_2주_저점,+20%,30,1357,0.5512159174649963,-0.02074641868749073,0.03574660633484161,-0.40617309149048747,-0.13993657349362043,0.15804066543438078,0.30148412316596945,0.3639748303153658,-4.484475577432791,-0.09127957752804428
주봉_2주_저점,+30%,7,865,0.5861271676300578,0.013800682404392507,0.03169329073482441,-0.17726530290696166,-0.06837988826815655,0.12127371273712739,0.1879378791611051,0.18104280564365127,-1.802827380952381,0.06536876542443879
