모집단,트리거_수,닿은_비율_퍼센트,평균_봉수,중앙값_봉수,P25_봉수,P75_봉수,censored_봉수480초과
전체 트리거,13063,99.9693791625201,8.261122597442377,8.0,5.0,10.0,4
주봉 MA20 위 0~10% 밴드,642,100.0,8.736760124610592,8.0,5.0,11.0,0
